# NPC=20: Total hesitation points = 288
X,Y,Z
-42.500000,-1.620000,1.000000
-37.640000,-1.620000,0.220000
-36.830000,-1.580000,-2.920000
-47.770000,-1.580000,-2.920000
-100.750000,-1.570000,-2.900000
-216.920000,-1.570000,-2.910000
-231.030000,-2.500000,-2.510000
-42.500000,-1.620000,1.000000
-52.410000,-1.570000,-1.920000
-127.080000,-1.590000,-2.930000
-127.080000,-1.580000,-2.920000
-160.380000,-1.570000,-2.910000
-218.340000,-2.440000,-2.290000
-227.500000,-2.870000,-1.320000
-42.500000,-1.620000,1.000000
-42.860000,-1.620000,0.860000
33.680000,-1.570000,-2.330000
38.450000,-2.270000,-1.890000
39.060000,-2.870000,-1.230000
39.570000,-2.870000,-1.250000
46.110000,-2.650000,-0.060000
-42.500000,-1.620000,1.000000
-39.190000,-1.620000,0.160000
24.710000,-1.570000,-2.020000
35.900000,-1.570000,-2.680000
35.820000,-1.570000,-2.800000
39.190000,-2.870000,-1.190000
39.250000,-2.870000,-1.170000
39.280000,-2.870000,-1.170000
36.680000,-1.570000,-2.760000
36.280000,-1.570000,-2.810000
35.520000,-1.590000,-2.940000
42.620000,-2.650000,-0.740000
43.180000,-2.650000,-0.560000
39.670000,-2.870000,-1.320000
39.590000,-2.870000,-1.200000
49.700000,-2.870000,-1.290000
-42.500000,-1.620000,1.000000
-42.500000,-1.620000,1.000000
20.180000,-1.570000,-2.280000
25.620000,-1.570000,-1.870000
34.840000,-2.870000,-0.980000
30.020000,-1.570000,-2.610000
-42.500000,-1.620000,1.000000
-42.230000,-1.620000,1.080000
-229.540000,-2.570000,-2.940000
-42.500000,-1.620000,1.000000
-229.120000,-2.620000,-1.930000
-229.080000,-2.620000,-1.970000
-42.500000,-1.620000,1.000000
-229.120000,-2.620000,-1.930000
-229.080000,-2.620000,-1.970000
-42.500000,-1.620000,1.000000
28.080000,-1.570000,-2.600000
32.990000,-1.570000,-2.840000
38.190000,-1.960000,-2.360000
38.910000,-2.480000,-1.790000
38.870000,-2.630000,-1.580000
38.710000,-2.440000,-2.210000
33.740000,-1.570000,-2.870000
29.140000,-1.570000,-2.870000
-142.500000,-1.620000,1.000000
-142.810000,-1.570000,-2.900000
-42.500000,-1.620000,1.000000
-126.590000,-1.580000,-2.930000
-42.500000,-1.620000,1.000000
38.090000,-1.920000,-1.910000
39.590000,-2.870000,-0.950000
35.430000,-1.570000,-2.330000
29.580000,-1.570000,-2.460000
-16.000000,-1.570000,-2.910000
-113.440000,-1.580000,-2.920000
-125.360000,-1.570000,-2.830000
-146.830000,-1.570000,-2.870000
-42.500000,-1.620000,1.000000
-229.830000,-2.780000,-2.130000
-42.500000,-1.620000,1.000000
-218.470000,-2.500000,-1.770000
-218.470000,-2.520000,-1.770000
-228.700000,-2.570000,-2.890000
-42.500000,-1.620000,1.000000
-42.520000,-1.620000,0.990000
-42.660000,-1.570000,-2.810000
-229.570000,-2.570000,-2.870000
-42.500000,-1.620000,1.000000
29.550000,-1.570000,-2.490000
33.840000,-1.570000,-2.790000
35.770000,-1.570000,-2.620000
38.770000,-2.440000,-2.130000
43.630000,-2.710000,-0.900000
49.310000,-2.650000,0.120000
43.590000,-2.650000,-0.180000
39.670000,-2.870000,-1.340000
38.660000,-2.630000,-1.690000
37.110000,-1.570000,-2.620000
31.220000,-1.570000,-2.450000
21.580000,-1.570000,-2.580000
-42.500000,-1.620000,1.000000
-42.130000,-1.570000,-2.640000
-218.300000,-2.440000,-2.420000
-42.500000,-1.620000,1.000000
-42.500000,-1.620000,1.000000
-42.570000,-1.620000,-1.410000
28.730000,-1.570000,-1.920000
43.440000,-2.690000,0.890000
37.930000,-2.650000,0.450000
-91.540000,-1.570000,-2.880000
-150.640000,-1.570000,-2.900000
-150.460000,-1.570000,-2.830000
-218.460000,-2.630000,-1.630000
-218.500000,-2.650000,-1.390000
-228.460000,-2.570000,-2.410000
-165.000000,-1.620000,1.000000
-164.920000,-1.620000,1.030000
-164.920000,-1.620000,0.860000
-165.070000,-1.620000,1.010000
-165.060000,-1.620000,0.710000
-153.430000,-1.570000,-2.300000
-83.770000,-1.570000,-1.910000
-76.140000,-1.570000,-2.000000
-42.500000,-1.620000,1.000000
-228.730000,-2.570000,-2.880000
-140.000000,-1.570000,-2.890000
-210.290000,-1.570000,-2.370000
-214.390000,-1.570000,-2.620000
-211.600000,-1.570000,-2.360000
-42.500000,-1.620000,1.000000
-42.210000,-1.620000,1.110000
-41.570000,-1.570000,-2.220000
32.720000,-1.570000,-2.620000
25.290000,-1.570000,-2.270000
-209.490000,-1.570000,-2.080000
-228.710000,-2.570000,-2.890000
-42.500000,-1.620000,1.000000
-42.490000,-1.620000,0.920000
-41.600000,-1.570000,-2.150000
-42.500000,-1.620000,1.000000
-227.890000,-2.570000,-2.910000
-42.500000,-1.620000,1.000000
-35.950000,-1.570000,-2.190000
-218.310000,-2.440000,-2.010000
-230.170000,-2.590000,-2.360000
-228.810000,-2.570000,-2.910000
-42.500000,-1.620000,1.000000
-23.040000,-1.640000,-0.760000
22.020000,-2.870000,-1.540000
29.660000,-2.650000,0.480000
34.080000,-2.870000,1.710000
42.480000,-2.870000,1.660000
45.230000,-2.870000,1.730000
47.920000,-2.870000,1.790000
50.260000,-2.870000,1.790000
52.130000,-2.870000,1.720000
52.140000,-2.870000,1.730000
52.130000,-2.870000,1.590000
50.550000,-2.870000,1.020000
-142.500000,-1.620000,1.000000
51.200000,-2.620000,-1.780000
-42.500000,-1.620000,1.000000
-42.500000,-1.620000,1.000000
-42.230000,-1.620000,0.860000
-46.450000,0.690000,-0.690000
-50.940000,-1.570000,-2.220000
-57.270000,-1.570000,-2.900000
-83.430000,-1.580000,-2.930000
-142.650000,-1.580000,-2.920000
-158.860000,-1.580000,-2.920000
-159.850000,-1.570000,-2.910000
-159.850000,-1.570000,-2.910000
-178.920000,-1.570000,-2.870000
-198.020000,-1.570000,-2.870000
-218.460000,-2.630000,-1.740000
-228.780000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-37.640000,-1.620000,0.220000
-36.830000,-1.580000,-2.920000
-47.770000,-1.580000,-2.920000
-100.750000,-1.570000,-2.900000
-216.920000,-1.570000,-2.910000
-231.030000,-2.500000,-2.510000
-42.500000,-1.620000,1.000000
35.940000,-1.570000,-2.200000
37.250000,-1.570000,-2.290000
34.490000,-1.570000,-2.470000
28.400000,-1.570000,-2.730000
-13.470000,-1.570000,-2.900000
-42.500000,-1.620000,1.000000
-43.080000,-1.570000,-1.960000
-218.450000,-2.630000,-1.530000
-42.500000,-1.620000,1.000000
37.820000,-2.870000,-1.490000
47.370000,-2.650000,-0.350000
31.200000,-2.650000,-0.260000
23.220000,-2.870000,-1.270000
23.120000,-2.870000,-1.310000
24.370000,-2.870000,-1.390000
30.300000,-2.870000,-1.250000
38.140000,-2.870000,-1.750000
33.870000,-1.570000,-2.430000
-69.360000,-1.570000,-2.250000
-197.230000,-1.570000,-1.930000
-218.310000,-2.440000,-2.290000
-231.460000,-2.500000,-2.490000
-42.500000,-1.620000,1.000000
-42.500000,-1.620000,1.000000
-42.510000,-1.620000,1.010000
-42.670000,-1.620000,0.920000
-42.610000,-1.620000,0.810000
-43.170000,-1.620000,-0.070000
-41.290000,-1.570000,-2.500000
-37.090000,-1.570000,-2.750000
-36.940000,-1.570000,-2.730000
-36.750000,-1.570000,-2.670000
-36.750000,-1.570000,-2.580000
-37.730000,-1.570000,-2.500000
-37.740000,-1.570000,-2.500000
-39.230000,-1.570000,-2.360000
-40.950000,-1.570000,-2.260000
-40.930000,-1.570000,-2.200000
-89.100000,-1.570000,-2.860000
-163.210000,-1.570000,-2.900000
-199.160000,-2.870000,-1.740000
-218.450000,-2.450000,-1.820000
-218.450000,-2.450000,-1.820000
-42.500000,-1.620000,1.000000
-98.890000,-1.570000,-2.840000
-157.370000,-1.570000,-2.350000
-216.080000,-1.570000,-2.230000
-142.500000,-1.620000,1.000000
-191.960000,-1.570000,-2.870000
-164.930000,-1.570000,-2.780000
-146.700000,-1.570000,-2.580000
-131.350000,-1.570000,-2.570000
