# NPC=10: Total hesitation points = 346
X,Y,Z
-42.500000,-1.620000,1.000000
-42.160000,-1.570000,-2.880000
-42.620000,-1.570000,-2.900000
-42.760000,-1.570000,-2.610000
20.210000,-1.570000,-2.180000
25.980000,-1.570000,-2.510000
37.320000,-1.570000,-2.360000
37.770000,-2.650000,-0.790000
49.690000,-2.650000,0.420000
-42.500000,-1.620000,1.000000
-51.070000,-1.570000,-2.340000
-51.030000,-1.570000,-2.340000
-51.200000,-1.570000,-2.510000
-29.760000,-1.580000,-2.920000
-216.600000,-1.570000,-2.880000
-228.510000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-41.260000,-1.570000,-2.770000
-41.250000,-1.570000,-2.780000
33.130000,-1.570000,-2.210000
49.660000,-2.870000,1.400000
49.660000,-2.870000,1.430000
49.720000,-2.870000,-1.200000
-42.500000,-1.620000,1.000000
-43.630000,-1.620000,-0.590000
40.420000,-2.650000,-0.610000
30.630000,-1.570000,-2.600000
9.610000,-1.570000,-2.750000
-1.390000,-1.570000,-2.430000
-18.610000,-1.570000,-2.660000
-108.940000,-1.570000,-2.850000
-217.880000,-2.680000,-1.670000
-228.130000,-2.580000,-2.400000
-42.500000,-1.620000,1.000000
-42.510000,-1.620000,0.980000
35.110000,-1.570000,-2.200000
35.240000,-1.570000,-2.250000
35.880000,-1.570000,-1.990000
36.190000,-2.870000,-1.660000
38.610000,-2.450000,-1.820000
33.510000,-1.570000,-2.750000
26.260000,-1.570000,-2.580000
20.020000,-1.570000,-2.820000
4.500000,-1.570000,-2.740000
-4.750000,-1.570000,-2.730000
-21.430000,-1.570000,-2.900000
-35.270000,-1.580000,-2.920000
-43.460000,-1.570000,-2.900000
-58.730000,-1.570000,-2.740000
-67.670000,-1.570000,-2.270000
-82.090000,-1.570000,-2.810000
-111.920000,-1.570000,-2.330000
-216.940000,-1.570000,-2.880000
-42.500000,-1.620000,1.000000
-40.300000,-1.570000,-2.900000
36.500000,-1.570000,-2.330000
41.490000,-2.650000,-0.830000
39.880000,-2.650000,-0.170000
37.560000,-2.870000,-1.440000
36.310000,-1.570000,-2.700000
30.860000,-1.570000,-2.900000
18.960000,-1.570000,-2.870000
