# Smoke=2: Total hesitation points = 347
X,Y,Z
-44.000000,-1.620000,0.000000
-43.400000,-1.620000,-0.030000
-27.960000,-1.620000,-1.760000
-20.800000,-1.570000,-2.050000
-10.530000,-1.570000,-2.380000
18.680000,-1.570000,-2.170000
37.090000,-1.570000,-2.490000
39.390000,-2.870000,-0.960000
42.130000,-2.870000,-1.070000
42.300000,-2.870000,-1.030000
50.990000,-2.570000,-2.900000
-44.000000,-1.620000,0.000000
-44.440000,-1.620000,-1.220000
-44.460000,-1.620000,-1.130000
-44.220000,-1.620000,-1.030000
38.360000,-2.270000,-2.440000
38.500000,-2.640000,-1.510000
35.510000,-2.870000,-1.750000
30.840000,-2.870000,-1.480000
35.870000,-2.870000,-1.180000
38.850000,-2.440000,-2.630000
-228.730000,-2.570000,-2.890000
-42.500000,-1.620000,1.000000
-43.780000,-1.570000,-2.740000
-124.140000,-1.570000,-2.510000
-201.490000,-1.570000,-2.250000
-215.790000,-1.570000,-2.690000
-42.500000,-1.620000,1.000000
-42.510000,-1.620000,1.000000
-42.570000,-1.620000,0.980000
-42.580000,-1.620000,0.960000
-49.030000,-1.620000,-0.580000
-49.250000,-1.620000,-0.910000
-114.650000,-1.570000,-2.880000
-115.600000,-1.580000,-2.930000
-216.910000,-1.580000,-2.930000
-216.910000,-1.580000,-2.920000
-216.920000,-1.570000,-2.880000
-218.490000,-2.640000,-1.750000
-228.970000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-42.750000,-1.620000,1.110000
-42.860000,-1.620000,1.070000
-0.850000,-1.570000,-2.170000
33.940000,-1.570000,-2.170000
39.380000,-2.650000,-0.350000
48.860000,-2.650000,-0.030000
-42.500000,-1.620000,1.000000
-42.230000,-1.620000,0.860000
-93.610000,-1.570000,-2.900000
-114.240000,-1.570000,-2.460000
-120.800000,-1.570000,-2.900000
-126.540000,-1.580000,-2.930000
-153.120000,-1.570000,-2.680000
-172.000000,-1.570000,-2.870000
-193.410000,-1.570000,-2.900000
-209.930000,-1.570000,-2.830000
-214.790000,-1.570000,-2.690000
-218.300000,-2.440000,-2.330000
-227.890000,-2.620000,-1.570000
-42.500000,-1.620000,1.000000
-42.180000,-1.620000,0.760000
-31.270000,-1.570000,-2.530000
23.650000,-2.870000,-1.290000
31.930000,-2.650000,-0.360000
33.710000,-2.650000,-0.150000
35.770000,-2.650000,0.090000
38.890000,-2.650000,0.700000
42.030000,-2.660000,0.850000
49.200000,-2.650000,-0.570000
49.680000,-2.870000,-0.950000
-42.500000,-1.620000,1.000000
-41.160000,-1.570000,-2.860000
-38.390000,-1.570000,-2.480000
-22.120000,-1.570000,-2.400000
12.770000,-1.580000,-1.840000
35.940000,-1.570000,-2.020000
-7.020000,-1.570000,-2.890000
-17.290000,-1.570000,-2.910000
-45.870000,-1.570000,-2.250000
-45.930000,-1.570000,-2.210000
-63.350000,-1.570000,-2.900000
-87.970000,-1.570000,-2.860000
-125.350000,-1.580000,-2.930000
-138.230000,-1.570000,-2.660000
-172.320000,-1.570000,-2.870000
-186.710000,-1.590000,-2.940000
-216.910000,-1.570000,-2.810000
-228.760000,-2.570000,-2.880000
-228.730000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-40.730000,-1.570000,-2.820000
38.870000,-2.440000,-2.220000
38.870000,-2.440000,-2.520000
52.130000,-2.650000,-0.780000
-42.500000,-1.620000,1.000000
-41.580000,-1.570000,-1.920000
39.170000,-2.870000,-1.230000
48.080000,-2.650000,0.700000
-42.500000,-1.620000,1.000000
-41.060000,-1.570000,-2.220000
-64.400000,-1.570000,-2.360000
-64.280000,-1.570000,-2.370000
