TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:45:54:321,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:45:55:490,0.000,160.000,0.000,0.246,0.050,-0.968,-41.392,1.425,-3.301,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:45:55:585,2.763,236.735,2.527,-0.884,0.008,-0.467,-51.140,0.153,-3.585,隧道,-46.514,0.113,-1.139,underground-connection (2),-46.930,0.116,-1.359,车中车厢内部窗户皮,
2025:06:16:45:55:671,5.158,235.594,1.353,-0.875,-0.033,-0.483,-50.768,-0.233,-3.577,隧道,-46.508,-0.070,-1.227,underground-connection (2),-46.772,-0.080,-1.373,车中车厢内部窗户皮,
2025:06:16:45:55:730,5.575,235.165,0.828,-0.872,-0.040,-0.488,-50.633,-0.290,-3.571,隧道,-46.506,-0.100,-1.260,underground-connection (2),-46.711,-0.110,-1.375,车中车厢内部窗户皮,
2025:06:16:45:55:785,5.478,234.946,0.293,-0.872,-0.038,-0.488,-50.648,-0.271,-3.573,隧道,-46.506,-0.091,-1.257,underground-connection (2),-46.715,-0.100,-1.374,车中车厢内部窗户皮,
2025:06:16:45:55:817,5.019,235.008,0.004,-0.874,-0.025,-0.485,-50.723,-0.153,-3.585,隧道,-46.506,-0.033,-1.243,underground-connection (2),-46.735,-0.039,-1.370,车中车厢内部窗户皮,
2025:06:16:45:55:845,4.664,235.104,0.003,-0.876,-0.003,-0.482,-50.810,0.052,-3.595,隧道,-46.508,0.066,-1.225,underground-connection (2),-46.757,0.065,-1.363,车中车厢内部窗户皮,
2025:06:16:45:55:874,4.401,235.212,359.957,-0.877,0.012,-0.480,-50.829,0.192,-3.581,隧道,-46.509,0.132,-1.214,underground-connection (2),-46.769,0.136,-1.357,车中车厢内部窗户皮,
2025:06:16:45:55:951,4.722,235.791,359.746,-0.880,0.017,-0.475,-50.947,0.241,-3.576,隧道,-46.511,0.154,-1.182,underground-connection (2),-46.830,0.160,-1.354,车中车厢内部窗户皮,
2025:06:16:45:55:979,5.016,235.952,359.655,-0.880,0.017,-0.474,-50.968,0.240,-3.576,隧道,-46.511,0.154,-1.177,underground-connection (2),-46.841,0.160,-1.354,车中车厢内部窗户皮,
2025:06:16:45:56:004,5.181,236.012,359.627,-0.880,0.015,-0.474,-50.963,0.219,-3.578,隧道,-46.511,0.144,-1.179,underground-connection (2),-46.839,0.149,-1.355,车中车厢内部窗户皮,
2025:06:16:45:56:028,5.170,236.081,359.628,-0.880,0.015,-0.474,-50.970,0.220,-3.578,隧道,-46.511,0.144,-1.177,underground-connection (2),-46.842,0.150,-1.355,车中车厢内部窗户皮,
2025:06:16:45:56:054,5.117,236.177,359.627,-0.881,0.017,-0.473,-50.984,0.242,-3.576,隧道,-46.512,0.155,-1.172,underground-connection (2),-46.850,0.161,-1.354,车中车厢内部窗户皮,
2025:06:16:45:56:086,4.822,236.419,359.703,-0.883,0.029,-0.469,-51.062,0.351,-3.565,隧道,-46.514,0.204,-1.149,underground-connection (2),-46.888,0.216,-1.348,车中车厢内部窗户皮,
2025:06:16:45:56:109,4.718,236.693,359.856,-0.885,0.033,-0.465,-46.927,0.237,-1.341,车中车厢内部上部条纹,-51.154,0.393,-3.561,隧道,-46.515,0.222,-1.125,underground-connection (2),
2025:06:16:45:56:139,4.665,237.255,359.926,-0.921,0.008,-0.390,-53.243,0.176,-3.583,隧道,-47.995,0.128,-1.358,车中车厢内部窗户皮,-46.520,0.293,-1.062,underground-connection (2),
2025:06:16:45:56:162,4.575,237.925,359.966,-0.962,-0.046,-0.270,-58.496,-0.677,-3.533,隧道,-50.858,-0.313,-1.390,车中车厢内部窗户皮,-50.869,-0.406,-1.396,车中车厢内部窗户皮,
