TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:27:12:149,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:374,0.000,160.000,0.000,0.480,-0.097,-0.872,-40.032,0.719,-3.526,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:495,355.898,201.121,2.299,-0.216,-0.091,-0.972,-43.539,-0.335,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:548,356.080,201.136,2.367,-0.216,-0.103,-0.971,-43.539,-0.389,-3.562,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:568,356.105,201.084,2.400,-0.215,-0.105,-0.971,-43.533,-0.399,-3.561,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:590,356.149,201.036,2.398,-0.213,-0.104,-0.971,-43.525,-0.395,-3.561,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:612,356.194,201.001,2.397,-0.213,-0.114,-0.970,-43.524,-0.441,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:635,356.229,200.968,2.400,-0.212,-0.112,-0.971,-43.521,-0.433,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:656,356.228,200.968,2.382,-0.212,-0.110,-0.971,-43.519,-0.421,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:679,356.212,200.981,2.366,-0.213,-0.112,-0.971,-43.522,-0.430,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:701,356.177,200.993,2.376,-0.213,-0.112,-0.971,-43.522,-0.429,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:13:723,356.161,201.020,2.392,-0.213,-0.112,-0.971,-43.525,-0.431,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
