TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:16:01:285,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:16:02:440,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:16:02:537,346.779,288.580,358.783,-0.891,0.151,0.428,-43.262,0.184,1.346,车中车厢内部窗户皮,-47.667,0.930,3.462,隧道,0.000,0.000,0.000,Null,
2025:06:11:16:02:642,346.730,288.417,358.945,-0.859,0.128,0.495,-43.165,0.156,1.349,车中车厢内部窗户皮,-46.942,0.719,3.526,隧道,-43.126,0.151,1.326,车中车厢左车门4-2,
2025:06:11:16:02:698,346.816,288.002,358.959,-0.863,0.128,0.489,-43.176,0.158,1.349,车中车厢内部窗户皮,-47.018,0.726,3.524,隧道,-43.140,0.152,1.328,车中车厢左车门4-2,
2025:06:11:16:02:752,346.631,287.839,358.869,-0.863,0.128,0.489,-43.177,0.158,1.349,车中车厢内部窗户皮,-47.019,0.726,3.524,隧道,-43.141,0.152,1.328,车中车厢左车门4-2,
2025:06:11:16:02:781,346.561,287.868,358.808,-0.863,0.128,0.489,-43.177,0.158,1.349,车中车厢内部窗户皮,-47.019,0.726,3.524,隧道,-43.141,0.152,1.328,车中车厢左车门4-2,
2025:06:11:16:02:802,346.458,287.947,358.725,-0.863,0.134,0.487,-43.179,0.162,1.348,车中车厢内部窗户皮,-47.021,0.757,3.514,隧道,-43.143,0.156,1.328,车中车厢左车门4-2,
2025:06:11:16:02:836,346.257,288.133,358.688,-0.861,0.137,0.489,-43.174,0.163,1.348,车中车厢内部窗户皮,-46.983,0.770,3.510,隧道,-43.137,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:02:848,346.209,288.210,358.650,-0.861,0.138,0.490,-43.171,0.163,1.348,车中车厢内部窗户皮,-46.969,0.772,3.510,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:02:880,346.174,288.504,358.536,-0.882,0.141,0.450,-43.229,0.173,1.347,车中车厢内部窗户皮,-47.428,0.846,3.487,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:02:902,346.206,288.699,358.553,-0.890,0.142,0.433,-43.255,0.176,1.347,车中车厢内部窗户皮,-47.636,0.876,3.478,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:02:925,346.166,288.848,358.616,-0.894,0.144,0.425,-43.268,0.179,1.346,车中车厢内部窗户皮,-47.739,0.898,3.472,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:02:946,346.076,288.964,358.686,-0.897,0.146,0.418,-43.279,0.182,1.346,车中车厢内部窗户皮,-47.822,0.921,3.465,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:02:969,345.965,289.054,358.740,-0.898,0.148,0.415,-43.283,0.184,1.346,车中车厢内部窗户皮,-47.854,0.938,3.459,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:02:992,345.861,289.132,358.792,-0.902,0.150,0.404,-43.302,0.189,1.345,车中车厢内部窗户皮,-47.999,0.971,3.449,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:03:013,345.738,289.162,358.839,-0.905,0.153,0.397,-43.315,0.192,1.345,车中车厢内部窗户皮,-48.089,0.999,3.441,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:03:035,345.687,289.173,358.925,-0.906,0.154,0.395,-43.320,0.194,1.345,车中车厢内部窗户皮,-48.126,1.010,3.437,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:03:059,345.633,289.154,358.986,-0.909,0.155,0.386,-43.337,0.197,1.344,车中车厢内部窗户皮,-48.250,1.036,3.430,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:03:080,345.609,289.125,358.963,-0.912,0.156,0.380,-43.348,0.199,1.344,车中车厢内部窗户皮,-48.335,1.052,3.425,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:03:102,345.663,289.091,358.981,-0.914,0.155,0.375,-43.360,0.200,1.344,车中车厢内部窗户皮,-48.425,1.060,3.422,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
2025:06:11:16:03:125,345.744,288.970,359.073,-0.917,0.154,0.369,-43.374,0.202,1.344,车中车厢内部窗户皮,-48.530,1.068,3.420,隧道,-43.134,0.157,1.327,车中车厢左车门4-2,
