TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:30:27:239,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:371,0.000,160.000,0.000,0.202,-0.147,-0.968,-41.528,0.443,-3.556,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:460,343.276,184.247,357.881,-0.074,0.084,-0.994,-42.838,0.450,-3.556,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:509,342.493,181.977,354.529,0.078,0.183,-0.980,-42.161,0.888,-3.474,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:558,341.779,181.184,353.090,0.039,0.266,-0.963,-42.331,1.243,-3.367,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:604,340.376,178.371,351.126,0.054,0.334,-0.941,-42.259,1.533,-3.243,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:626,339.903,177.604,351.285,0.072,0.353,-0.933,-42.180,1.610,-3.202,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:649,339.410,176.592,351.446,0.128,0.377,-0.917,-41.935,1.720,-3.143,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:671,339.051,175.605,351.805,0.193,0.393,-0.899,-41.639,1.806,-3.097,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:692,338.703,174.501,352.267,0.288,0.406,-0.867,-41.192,1.901,-3.046,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:714,338.578,173.576,352.776,0.309,0.406,-0.860,-41.088,1.916,-3.038,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:736,338.460,172.368,353.332,0.347,0.407,-0.845,-40.890,1.944,-3.023,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:759,338.523,171.552,353.702,0.373,0.405,-0.835,-40.750,1.954,-3.018,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:780,338.592,170.511,354.002,0.393,0.402,-0.827,-40.638,1.960,-3.014,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:802,338.756,169.638,354.159,0.406,0.399,-0.822,-40.563,1.957,-3.016,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:30:28:826,338.841,168.783,354.314,0.417,0.397,-0.818,-40.498,1.958,-3.016,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
