TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:33:44:337,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:503,0.000,160.000,0.000,0.322,-0.009,-0.947,-41.006,1.171,-3.389,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:603,356.839,184.150,357.120,-0.095,0.079,-0.992,-42.934,0.430,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:658,356.858,184.341,357.153,-0.096,0.079,-0.992,-42.936,0.431,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:709,356.906,184.359,357.158,-0.095,0.079,-0.992,-42.932,0.428,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:766,356.994,184.341,357.185,-0.095,0.077,-0.993,-42.932,0.421,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:784,356.995,184.330,357.212,-0.094,0.077,-0.993,-42.930,0.421,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:806,357.039,184.320,357.233,-0.093,0.076,-0.993,-42.927,0.418,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:826,357.103,184.337,357.187,-0.094,0.075,-0.993,-42.927,0.413,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:850,357.137,184.341,357.150,-0.092,0.075,-0.993,-42.922,0.411,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:872,357.154,184.341,357.175,-0.092,0.074,-0.993,-42.919,0.409,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:894,357.177,184.335,357.217,-0.090,0.074,-0.993,-42.911,0.408,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:915,357.193,184.328,357.237,-0.089,0.074,-0.993,-42.906,0.407,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:33:45:937,357.187,184.305,357.262,-0.088,0.076,-0.993,-42.903,0.416,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
