TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:09:24:447,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:09:25:652,0.000,160.000,0.000,0.214,-0.123,-0.969,-41.477,0.653,-3.536,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:09:25:755,356.402,346.432,355.466,-0.440,-0.047,0.897,-43.735,-0.049,3.595,隧道,-42.625,0.069,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:25:789,356.563,343.889,355.787,-0.524,-0.051,0.850,-44.053,-0.069,3.593,隧道,-42.655,0.067,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:25:843,356.576,343.284,355.804,-0.489,-0.068,0.870,-43.917,-0.113,3.589,隧道,-42.647,0.064,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:25:893,356.664,341.761,355.862,-0.493,-0.098,0.864,-43.938,-0.197,3.581,隧道,-42.653,0.057,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:25:921,356.755,339.816,355.952,-0.520,-0.108,0.847,-44.047,-0.232,3.577,隧道,-42.667,0.055,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:25:944,356.833,339.056,355.990,-0.525,-0.129,0.841,-44.071,-0.293,3.571,隧道,-42.672,0.050,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:25:966,356.906,338.278,356.002,-0.532,-0.138,0.835,-44.104,-0.323,3.568,隧道,-42.677,0.047,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:25:989,357.016,337.427,356.036,-0.537,-0.149,0.830,-44.127,-0.357,3.565,隧道,-42.681,0.044,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:009,357.164,336.573,356.043,-0.545,-0.154,0.824,-44.165,-0.374,3.563,隧道,-42.687,0.043,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:033,357.236,335.915,356.054,-0.550,-0.156,0.820,-44.188,-0.383,3.562,隧道,-42.691,0.042,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:055,357.311,335.163,356.078,-0.553,-0.158,0.818,-44.202,-0.389,3.562,隧道,-42.694,0.041,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:076,357.295,334.804,356.094,-0.554,-0.157,0.818,-44.206,-0.387,3.562,隧道,-42.695,0.041,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:109,357.329,334.018,356.104,-0.561,-0.153,0.814,-44.240,-0.379,3.563,隧道,-42.700,0.042,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:133,357.394,333.432,356.105,-0.561,-0.136,0.816,-44.240,-0.325,3.568,隧道,-42.702,0.046,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:156,357.486,333.114,356.111,-0.569,-0.087,0.818,-44.272,-0.181,3.582,隧道,-42.704,0.058,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:187,357.747,332.549,356.061,-0.571,-0.065,0.818,-44.284,-0.117,3.588,隧道,-42.706,0.063,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:210,358.043,332.201,356.010,-0.573,-0.057,0.818,-44.293,-0.093,3.591,隧道,-42.707,0.065,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:232,358.440,331.897,355.954,-0.574,-0.057,0.817,-44.298,-0.093,3.591,隧道,-42.709,0.065,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:254,359.062,331.533,355.873,-0.576,-0.060,0.815,-44.309,-0.103,3.590,隧道,-42.711,0.064,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:277,359.794,331.255,355.768,-0.578,-0.068,0.813,-44.318,-0.127,3.587,隧道,-42.712,0.062,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:299,0.795,330.906,355.608,-0.580,-0.083,0.810,-44.329,-0.173,3.583,隧道,-42.715,0.058,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:322,1.951,330.507,355.307,-0.578,-0.101,0.809,-44.323,-0.227,3.578,隧道,-42.716,0.054,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:20:09:26:343,3.509,330.055,355.236,-0.578,-0.169,0.799,-44.330,-0.436,3.557,隧道,-42.720,0.036,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
