TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:44:28:699,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:44:29:937,0.000,160.000,0.000,0.328,0.028,-0.944,-140.993,1.335,-3.339,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:44:30:059,359.544,206.372,0.477,-0.445,0.036,-0.895,-143.670,0.168,-1.354,车中车厢内部窗户皮,-144.774,0.258,-3.575,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:123,359.841,206.053,0.266,-0.439,0.031,-0.898,-143.652,0.155,-1.355,车中车厢内部窗户皮,-144.740,0.231,-3.577,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:186,359.730,205.951,359.973,-0.440,0.018,-0.898,-143.655,0.122,-1.358,车中车厢内部窗户皮,-144.746,0.166,-3.584,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:224,359.595,206.061,359.725,-0.442,0.012,-0.897,-143.663,0.109,-1.359,车中车厢内部窗户皮,-144.761,0.140,-3.586,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:248,359.456,206.268,359.713,-0.446,0.006,-0.895,-143.675,0.093,-1.361,车中车厢内部窗户皮,-144.785,0.108,-3.589,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:271,359.404,206.338,359.764,-0.447,0.002,-0.895,-143.679,0.084,-1.361,车中车厢内部窗户皮,-144.793,0.090,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:291,359.356,206.396,359.734,-0.448,-0.003,-0.894,-143.682,0.071,-1.362,车中车厢内部窗户皮,-144.799,0.063,-3.594,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:314,359.325,206.454,359.620,-0.448,-0.004,-0.894,-143.685,0.069,-1.363,车中车厢内部窗户皮,-144.805,0.059,-3.594,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:337,359.225,206.480,359.434,-0.448,-0.006,-0.894,-143.685,0.065,-1.363,车中车厢内部窗户皮,-144.805,0.051,-3.595,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:358,359.012,206.439,359.240,-0.448,-0.008,-0.894,-143.683,0.058,-1.363,车中车厢内部窗户皮,-144.800,0.037,-3.596,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:379,358.762,206.341,359.107,-0.446,-0.005,-0.895,-143.677,0.067,-1.363,车中车厢内部窗户皮,-144.789,0.056,-3.594,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:405,358.457,206.199,359.028,-0.445,-0.001,-0.896,-143.673,0.077,-1.362,车中车厢内部窗户皮,-144.781,0.076,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:424,358.105,206.057,359.071,-0.443,0.004,-0.897,-143.665,0.089,-1.361,车中车厢内部窗户皮,-144.766,0.100,-3.590,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:447,357.885,205.912,359.093,-0.441,0.005,-0.897,-143.660,0.091,-1.361,车中车厢内部窗户皮,-144.755,0.104,-3.590,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:469,357.793,205.751,359.152,-0.438,0.006,-0.899,-143.650,0.092,-1.361,车中车厢内部窗户皮,-144.737,0.106,-3.590,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:491,357.826,205.459,359.346,-0.434,0.003,-0.901,-143.637,0.087,-1.361,车中车厢内部窗户皮,-144.710,0.095,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:512,357.908,205.081,359.643,-0.428,0.000,-0.904,-143.619,0.078,-1.362,车中车厢内部窗户皮,-144.677,0.077,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:537,357.983,204.519,-0.004,-0.420,-0.004,-0.907,-143.593,0.069,-1.362,车中车厢内部窗户皮,-144.626,0.060,-3.594,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:558,358.157,203.735,0.234,-0.408,-0.008,-0.913,-143.555,0.060,-1.363,车中车厢内部窗户皮,-144.553,0.041,-3.596,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:578,358.455,202.178,0.551,-0.384,-0.015,-0.923,-143.483,0.044,-1.364,车中车厢内部窗户皮,-144.413,0.008,-3.599,隧道,0.000,0.000,0.000,Null,
2025:06:09:44:30:603,359.009,199.927,1.080,-0.336,-0.030,-0.942,-143.344,0.007,-1.367,车中车厢内部窗户皮,-143.284,0.012,-1.199,SM_Plug_01a (4),-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:624,359.786,197.171,1.727,-0.258,-0.051,-0.965,-143.733,-0.156,-3.585,隧道,-143.875,-0.122,-3.588,隧道,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:647,0.732,194.043,2.226,0.037,-0.069,-0.997,-142.372,-0.229,-3.577,隧道,-143.875,-0.122,-3.588,隧道,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:668,1.673,190.682,2.610,0.137,-0.084,-0.987,-141.913,-0.296,-3.571,隧道,-143.875,-0.122,-3.588,隧道,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:692,2.680,186.322,2.902,0.229,-0.109,-0.967,-141.473,-0.420,-3.559,隧道,-143.875,-0.122,-3.588,隧道,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:713,3.324,182.694,2.814,0.272,-0.122,-0.955,-141.255,-0.486,-3.552,隧道,-143.875,-0.122,-3.588,隧道,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:737,4.146,178.232,2.600,0.311,-0.137,-0.941,-141.044,-0.563,-3.545,隧道,-141.757,-0.248,-1.385,车中车厢内部窗户皮,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:757,4.737,174.986,2.383,0.305,-0.142,-0.942,-141.062,-0.584,-3.542,隧道,-141.762,-0.259,-1.386,车中车厢内部窗户皮,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:780,5.437,171.525,2.001,0.363,-0.155,-0.919,-140.746,-0.660,-3.535,隧道,-141.594,-0.299,-1.388,车中车厢内部窗户皮,-144.138,-0.065,-3.594,隧道,
2025:06:09:44:30:801,6.147,168.566,1.747,0.398,-0.198,-0.896,-140.546,-0.878,-3.478,隧道,-141.471,-0.418,-1.397,车中车厢内部窗户皮,-140.656,-0.824,-3.231,应急疏散平台左侧空气墙,
2025:06:09:44:30:825,6.745,166.101,1.544,0.418,-0.211,-0.883,-140.394,-0.965,-3.514,隧道,-141.396,-0.460,-1.400,车中车厢内部窗户皮,-140.614,-0.854,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:30:846,7.219,164.271,1.320,0.364,-0.237,-0.901,-140.732,-1.047,-3.426,隧道,-141.548,-0.516,-1.404,车中车厢内部窗户皮,-140.883,-0.948,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:30:869,7.391,164.163,1.341,0.300,-0.243,-0.923,-141.069,-1.048,-3.426,隧道,-141.726,-0.516,-1.404,车中车厢内部窗户皮,-141.191,-0.949,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:30:890,7.843,163.557,1.262,0.278,-0.256,-0.926,-141.175,-1.099,-3.410,隧道,-141.768,-0.555,-1.438,车中部车厢窗户外皮,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:30:913,8.136,164.060,1.247,0.206,-0.256,-0.945,-141.527,-1.078,-3.417,隧道,-141.607,-0.979,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:30:936,8.242,164.463,1.333,0.185,-0.257,-0.949,-141.629,-1.077,-3.417,隧道,-141.700,-0.978,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:30:957,8.268,164.942,1.264,0.121,-0.256,-0.959,-141.921,-1.065,-3.421,隧道,-141.968,-0.966,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:30:979,8.148,165.408,1.186,0.128,-0.249,-0.960,-141.891,-1.033,-3.431,隧道,-141.942,-0.934,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:003,7.904,165.873,1.083,0.098,-0.239,-0.966,-142.029,-0.983,-3.446,隧道,-142.069,-0.886,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:024,7.739,166.248,1.085,0.088,-0.233,-0.968,-142.071,-0.959,-3.453,隧道,-142.108,-0.862,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:046,7.543,166.415,1.327,0.085,-0.226,-0.970,-142.089,-0.928,-3.462,隧道,-142.125,-0.832,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:069,7.670,165.999,1.397,0.099,-0.225,-0.969,-142.024,-0.926,-3.463,隧道,-142.066,-0.830,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:091,7.889,165.539,1.506,0.109,-0.229,-0.967,-141.975,-0.941,-3.458,隧道,-142.021,-0.845,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:113,8.144,165.117,1.841,0.116,-0.231,-0.966,-141.944,-0.950,-3.456,隧道,-141.993,-0.853,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:135,8.681,164.550,2.039,0.129,-0.239,-0.962,-141.882,-0.990,-3.443,隧道,-141.935,-0.893,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:157,9.228,163.927,2.015,0.223,-0.265,-0.938,-141.445,-1.126,-3.402,隧道,-141.529,-1.027,-3.050,应急疏散平台左侧空气墙,-141.283,-1.000,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:179,9.733,163.344,1.934,0.286,-0.279,-0.917,-141.138,-1.212,-3.376,隧道,-141.750,-0.613,-1.411,车中车厢内部窗户皮,-141.240,-1.112,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:202,10.084,163.015,1.766,0.310,-0.287,-0.906,-141.013,-1.258,-3.362,隧道,-141.680,-0.641,-1.413,车中车厢内部窗户皮,-141.120,-1.159,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:225,10.203,162.632,1.514,0.344,-0.291,-0.893,-140.833,-1.295,-3.351,隧道,-141.579,-0.663,-1.415,车中车厢内部窗户皮,-140.949,-1.197,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:245,9.981,162.198,1.366,0.362,-0.288,-0.887,-140.737,-1.291,-3.352,隧道,-141.527,-0.660,-1.415,车中车厢内部窗户皮,-140.860,-1.192,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:268,9.540,162.243,1.281,0.352,-0.281,-0.893,-140.754,-1.254,-3.363,隧道,-141.523,-0.640,-1.413,车中车厢内部窗户皮,-140.877,-1.156,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:290,9.249,164.841,1.088,0.307,-0.274,-0.911,-140.947,-1.205,-3.378,隧道,-141.610,-0.614,-1.411,车中车厢内部窗户皮,-141.058,-1.106,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:312,8.915,168.394,0.652,0.251,-0.267,-0.930,-141.236,-1.154,-3.394,隧道,-141.767,-0.588,-1.425,车中部车厢窗户外皮,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:331,8.888,171.181,0.322,0.197,-0.266,-0.944,-141.515,-1.126,-3.402,隧道,-141.588,-1.027,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:356,8.932,173.713,0.138,0.154,-0.269,-0.951,-141.736,-1.128,-3.402,隧道,-141.793,-1.028,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:379,9.183,175.701,0.047,0.116,-0.276,-0.954,-141.924,-1.149,-3.395,隧道,-141.966,-1.049,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:424,9.397,177.219,0.226,0.088,-0.283,-0.955,-142.056,-1.174,-3.388,隧道,-142.087,-1.074,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:446,9.669,178.967,1.773,0.059,-0.285,-0.957,-142.193,-1.183,-3.385,隧道,-142.213,-1.083,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:465,10.059,179.506,2.201,0.049,-0.291,-0.955,-142.235,-1.208,-3.378,隧道,-142.252,-1.108,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:489,10.399,179.832,2.336,0.044,-0.297,-0.954,-142.261,-1.231,-3.370,隧道,-142.276,-1.132,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:511,10.584,179.795,2.156,0.046,-0.298,-0.953,-142.249,-1.237,-3.369,隧道,-142.265,-1.137,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:534,10.771,179.483,2.463,0.054,-0.297,-0.953,-142.213,-1.232,-3.370,隧道,-142.231,-1.132,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:555,11.092,178.997,2.762,0.063,-0.301,-0.952,-142.174,-1.250,-3.365,隧道,-142.195,-1.150,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:577,11.303,178.541,2.544,0.073,-0.300,-0.951,-142.128,-1.247,-3.365,隧道,-142.152,-1.148,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:599,11.112,178.014,2.121,0.085,-0.292,-0.953,-142.074,-1.213,-3.376,隧道,-142.103,-1.113,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:622,10.878,177.427,1.845,0.096,-0.286,-0.953,-142.022,-1.187,-3.384,隧道,-142.055,-1.087,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:644,10.686,176.812,1.872,0.109,-0.279,-0.954,-141.965,-1.159,-3.392,隧道,-142.004,-1.059,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:667,10.335,176.137,1.996,0.121,-0.271,-0.955,-141.908,-1.126,-3.402,隧道,-141.952,-1.026,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:690,10.077,176.022,1.752,0.125,-0.263,-0.957,-141.890,-1.090,-3.413,隧道,-141.938,-0.990,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:711,10.025,175.696,1.366,0.131,-0.261,-0.956,-141.876,-1.080,-3.416,隧道,-141.927,-0.981,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:732,9.796,175.854,1.027,0.129,-0.256,-0.958,-141.894,-1.062,-3.422,隧道,-141.944,-0.962,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:755,9.502,177.199,1.122,0.106,-0.252,-0.962,-142.040,-1.041,-3.428,隧道,-142.082,-0.942,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:778,8.846,178.798,1.318,0.079,-0.241,-0.967,-142.171,-0.990,-3.444,隧道,-142.203,-0.892,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:801,8.900,180.566,1.231,0.048,-0.242,-0.969,-142.316,-0.994,-3.442,隧道,-142.336,-0.896,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:821,9.525,181.965,1.116,0.025,-0.254,-0.967,-142.429,-1.047,-3.426,隧道,-142.439,-0.948,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:844,9.785,183.098,1.126,0.010,-0.276,-0.961,-142.498,-1.147,-3.396,隧道,-142.502,-1.048,-3.050,应急疏散平台左侧空气墙,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:865,9.969,184.211,1.023,-0.006,-0.277,-0.961,-142.578,-1.049,-3.050,应急疏散平台左侧空气墙,-142.580,-1.148,-3.396,隧道,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:889,10.098,184.996,1.126,-0.018,-0.278,-0.960,-142.633,-1.057,-3.050,应急疏散平台左侧空气墙,-142.639,-1.156,-3.393,隧道,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
2025:06:09:44:31:911,10.162,185.635,1.433,-0.024,-0.283,-0.959,-142.657,-1.076,-3.050,应急疏散平台左侧空气墙,-142.665,-1.175,-3.387,隧道,-141.329,-1.055,-3.050,应急疏散平台左侧空气墙,
