TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:09:44:28:699,-142.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:09:44:29:937,-142.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:059,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:123,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:186,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:224,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:248,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:271,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:291,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:314,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:337,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:358,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:379,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:405,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:424,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:447,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:469,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:491,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:512,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:537,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:558,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:578,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:603,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:624,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:647,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:668,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:692,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:713,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:737,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:757,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:780,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:801,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:825,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:846,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:869,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:890,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:913,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:936,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:957,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:30:979,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:003,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:024,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:046,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:069,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:091,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:113,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:135,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:157,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:179,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:202,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:225,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:245,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:268,-142.470,-1.621,1.012,1.826,0.000,0.694,1.953,0.000,0.000,0.000,
2025:06:09:44:31:290,-142.413,-1.621,1.046,0.786,0.000,0.585,0.980,0.000,0.000,0.000,
2025:06:09:44:31:312,-142.427,-1.621,1.032,-0.841,0.000,-0.810,1.168,0.000,0.000,0.000,
2025:06:09:44:31:331,-142.438,-1.621,1.022,-0.677,0.000,-0.606,0.909,-8.414,0.000,-8.102,
2025:06:09:44:31:356,-142.444,-1.621,1.016,-0.371,0.000,-0.376,0.528,-8.414,0.000,-8.102,
2025:06:09:44:31:379,-142.451,-1.621,0.999,0.047,0.000,-0.323,0.326,-8.414,0.000,-8.102,
2025:06:09:44:31:424,-142.453,-1.621,0.994,-0.072,0.000,-0.163,0.179,-8.414,0.000,-8.102,
2025:06:09:44:31:446,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,7.315,0.000,5.910,
2025:06:09:44:31:465,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,7.315,0.000,5.910,
2025:06:09:44:31:489,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,7.315,0.000,5.910,
2025:06:09:44:31:511,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,7.315,0.000,5.910,
2025:06:09:44:31:534,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,7.315,0.000,5.910,
2025:06:09:44:31:555,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,1.099,0.000,2.191,
2025:06:09:44:31:577,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,1.099,0.000,2.191,
2025:06:09:44:31:599,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,1.099,0.000,2.191,
2025:06:09:44:31:622,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,1.099,0.000,2.191,
2025:06:09:44:31:644,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,1.099,0.000,2.191,
2025:06:09:44:31:667,-142.455,-1.621,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:09:44:31:690,-142.456,-1.621,0.985,-0.085,0.000,-0.334,0.345,0.000,0.000,0.000,
2025:06:09:44:31:711,-142.469,-1.621,0.989,0.158,0.000,0.411,0.440,0.000,0.000,0.000,
