TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:10:12:00:502,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:12:01:690,0.000,160.000,0.000,0.330,-0.120,-0.936,-40.902,0.646,-3.536,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:12:01:802,11.054,263.832,2.398,-0.953,-0.298,-0.059,-48.334,-1.701,0.634,车中车内底板.001,-54.311,-3.573,0.266,隧道,-52.321,-2.950,0.389,道床,
2025:07:10:12:01:869,9.693,263.314,3.571,-0.959,-0.274,-0.079,-48.884,-1.701,0.471,车中车内底板.001,-55.512,-3.594,-0.073,隧道,-53.257,-2.950,0.112,道床,
2025:07:10:12:01:925,9.516,263.179,3.921,-0.961,-0.268,-0.073,-49.024,-1.701,0.499,车中车内底板.001,-55.821,-3.599,-0.016,隧道,-53.495,-2.950,0.161,道床,
2025:07:10:12:01:978,9.358,263.175,3.949,-0.961,-0.263,-0.089,-49.143,-1.701,0.382,车中车内底板.001,-55.981,-3.576,-0.250,隧道,-53.697,-2.950,-0.039,道床,
2025:07:10:12:02:006,9.622,263.504,3.748,-0.961,-0.264,-0.080,-49.141,-1.701,0.445,车中车内底板.001,-56.024,-3.589,-0.125,隧道,-53.695,-2.950,0.068,道床,
2025:07:10:12:02:029,9.613,263.663,3.680,-0.962,-0.260,-0.077,-49.230,-1.701,0.454,车中车内底板.001,-56.214,-3.590,-0.107,隧道,-53.846,-2.950,0.083,道床,
2025:07:10:12:02:049,9.512,263.740,3.814,-0.964,-0.255,-0.076,-49.378,-1.701,0.451,车中车内底板.001,-56.516,-3.590,-0.113,隧道,-54.098,-2.950,0.078,道床,
2025:07:10:12:02:071,9.470,263.878,3.905,-0.965,-0.252,-0.074,-49.451,-1.701,0.463,车中车内底板.001,-56.675,-3.592,-0.091,隧道,-54.222,-2.950,0.097,道床,
