TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:15:53:26:619,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:53:27:577,19.358,247.645,2.065,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:53:27:629,7.225,251.734,3.598,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:53:27:708,5.080,252.124,3.019,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:53:27:756,3.135,252.045,2.037,-0.943,-0.074,-0.325,-54.252,-0.833,-3.050,应急疏散平台左侧空气墙,-55.451,-0.927,-3.463,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:27:778,2.834,251.946,1.940,-0.943,-0.062,-0.328,-56.326,-0.824,-3.807,应急疏散平台左侧空气墙,-55.477,-0.768,-3.511,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:27:800,2.577,251.897,1.942,-0.943,-0.058,-0.329,-55.477,-0.717,-3.527,隧道,-55.477,-0.768,-3.511,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:27:821,2.377,251.829,1.853,-0.942,-0.055,-0.330,-55.451,-0.674,-3.538,隧道,-55.477,-0.768,-3.511,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:27:845,2.307,251.763,1.726,-0.941,-0.055,-0.333,-55.400,-0.669,-3.558,隧道,-55.477,-0.768,-3.511,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:27:866,2.251,251.712,1.615,-0.941,-0.055,-0.334,-55.273,-0.655,-3.535,隧道,-55.477,-0.768,-3.511,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:27:888,2.079,251.683,1.539,-0.939,-0.053,-0.340,-55.067,-0.621,-3.539,隧道,-55.477,-0.768,-3.511,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:27:909,1.839,251.627,1.450,-0.938,-0.049,-0.343,-54.935,-0.568,-3.544,隧道,-49.034,-0.257,-1.385,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:27:932,1.586,251.537,1.284,-0.937,-0.045,-0.346,-54.839,-0.509,-3.550,隧道,-48.970,-0.226,-1.383,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:27:954,1.444,251.439,1.123,-0.935,-0.044,-0.352,-54.587,-0.487,-3.552,隧道,-48.834,-0.215,-1.382,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:27:976,1.374,251.354,1.015,-0.934,-0.043,-0.355,-54.500,-0.472,-3.554,隧道,-48.785,-0.207,-1.382,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:27:999,1.313,251.264,0.923,-0.932,-0.043,-0.359,-54.352,-0.466,-3.554,隧道,-48.706,-0.203,-1.382,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:28:021,1.363,251.153,0.948,-0.931,-0.045,-0.362,-54.232,-0.481,-3.553,隧道,-48.647,-0.212,-1.382,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:28:044,1.290,250.988,0.915,-0.929,-0.045,-0.367,-54.031,-0.477,-3.553,隧道,-48.542,-0.209,-1.382,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:28:065,1.158,250.873,0.884,-0.928,-0.044,-0.371,-53.916,-0.455,-3.555,隧道,-48.477,-0.197,-1.381,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:28:087,0.978,250.741,0.874,-0.927,-0.041,-0.374,-53.822,-0.418,-3.559,隧道,-48.420,-0.178,-1.380,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:28:109,0.827,250.596,0.837,-0.925,0.003,-0.380,-53.683,0.109,-3.589,隧道,-48.262,0.094,-1.361,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:28:132,0.772,250.554,0.800,-0.924,0.022,-0.381,-53.582,0.342,-3.566,隧道,-48.209,0.212,-1.348,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:15:53:28:155,0.773,250.455,0.806,-0.925,0.077,-0.372,-53.573,0.992,-3.443,隧道,-53.428,0.726,-3.524,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:28:176,0.911,250.337,0.831,-0.929,0.075,-0.363,-53.889,0.988,-3.444,隧道,-53.428,0.726,-3.524,隧道,0.000,0.000,0.000,Null,
2025:07:15:53:28:199,1.032,250.179,0.871,-0.935,0.050,-0.351,-48.664,0.400,-1.308,车中车厢内部上部条纹,-54.583,0.716,-3.527,隧道,0.000,0.000,0.000,Null,
