TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:13:22:772,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:13:23:761,354.209,205.822,356.149,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:13:23:839,354.060,205.371,356.315,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:13:23:914,354.106,205.353,356.316,-0.402,0.137,-0.905,-44.511,0.742,-3.519,隧道,-43.528,0.407,-1.307,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:23:952,354.032,205.232,356.283,-0.401,0.123,-0.908,-44.509,0.673,-3.534,隧道,-43.529,0.373,-1.317,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:23:980,354.149,205.057,356.256,-0.399,0.121,-0.909,-44.495,0.663,-3.535,隧道,-43.522,0.368,-1.318,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:003,354.211,205.034,356.257,-0.399,0.120,-0.909,-44.495,0.660,-3.535,隧道,-43.522,0.367,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:027,354.271,205.031,356.297,-0.399,0.119,-0.909,-44.496,0.657,-3.535,隧道,-43.523,0.366,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:051,354.321,205.034,356.329,-0.399,0.119,-0.909,-44.496,0.655,-3.536,隧道,-43.522,0.364,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:064,354.328,205.028,356.335,-0.399,0.119,-0.909,-44.495,0.655,-3.536,隧道,-43.522,0.364,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:097,354.370,205.058,356.335,-0.399,0.119,-0.909,-44.497,0.653,-3.536,隧道,-43.523,0.364,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:120,354.406,205.048,356.335,-0.399,0.118,-0.909,-44.493,0.651,-3.536,隧道,-43.521,0.363,-1.320,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:141,354.479,205.040,356.345,-0.399,0.118,-0.909,-44.495,0.647,-3.536,隧道,-43.522,0.361,-1.320,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:164,354.556,205.022,356.343,-0.399,0.116,-0.910,-44.492,0.642,-3.537,隧道,-43.521,0.358,-1.321,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:187,354.695,205.005,356.323,-0.399,0.114,-0.910,-44.494,0.632,-3.538,隧道,-43.522,0.354,-1.322,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:208,354.799,204.999,356.317,-0.399,0.113,-0.910,-44.493,0.625,-3.538,隧道,-43.522,0.350,-1.323,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:230,354.926,204.982,356.308,-0.399,0.111,-0.910,-44.494,0.615,-3.539,隧道,-43.523,0.345,-1.324,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:254,355.029,204.952,356.321,-0.400,0.110,-0.910,-44.497,0.609,-3.540,隧道,-43.524,0.342,-1.325,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:274,355.160,204.939,356.302,-0.400,0.108,-0.910,-44.497,0.599,-3.541,隧道,-43.525,0.337,-1.326,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:297,355.265,204.917,356.307,-0.400,0.091,-0.912,-44.499,0.521,-3.549,隧道,-43.528,0.299,-1.334,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:13:24:320,355.352,204.914,356.310,-0.400,0.054,-0.915,-43.531,0.209,-1.349,车中车厢内部窗户皮,-44.502,0.340,-3.567,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:340,355.466,204.947,356.311,-0.401,0.025,-0.916,-43.535,0.140,-1.356,车中车厢内部窗户皮,-44.508,0.201,-3.580,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:366,355.610,205.005,356.332,-0.402,0.009,-0.916,-43.540,0.100,-1.360,车中车厢内部窗户皮,-44.518,0.122,-3.588,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:387,355.771,205.078,356.353,-0.404,-0.014,-0.915,-43.548,0.044,-1.364,车中车厢内部窗户皮,-44.534,0.009,-3.599,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:408,355.961,205.175,356.364,-0.406,-0.021,-0.914,-43.554,0.026,-1.366,车中车厢内部窗户皮,-44.545,-0.026,-3.597,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:430,356.180,205.287,356.356,-0.409,-0.035,-0.912,-43.564,-0.006,-1.368,车中车厢内部窗户皮,-44.560,-0.091,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:454,356.379,205.425,356.369,-0.412,-0.045,-0.910,-43.577,-0.032,-1.370,车中车厢内部窗户皮,-44.581,-0.141,-3.586,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:477,356.642,205.581,356.383,-0.414,-0.060,-0.908,-43.585,-0.070,-1.372,车中车厢内部窗户皮,-44.592,-0.217,-3.579,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:497,356.810,205.696,356.380,-0.417,-0.074,-0.906,-43.596,-0.105,-1.375,车中车厢内部窗户皮,-44.608,-0.285,-3.572,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:521,357.035,205.873,356.435,-0.430,-0.072,-0.900,-43.635,-0.102,-1.375,车中车厢内部窗户皮,-44.684,-0.278,-3.573,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:541,357.204,206.054,356.436,-0.436,-0.081,-0.896,-43.657,-0.124,-1.376,车中车厢内部窗户皮,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:566,357.329,206.324,356.527,-0.527,-0.106,-0.843,-45.327,-0.479,-3.553,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:585,357.364,206.645,356.582,-0.559,-0.101,-0.823,-45.573,-0.466,-3.554,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:608,357.375,207.163,356.693,-0.624,-0.072,-0.778,-46.126,-0.329,-3.568,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:630,357.399,207.745,356.807,-0.634,-0.066,-0.770,-46.225,-0.299,-3.571,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:657,357.410,208.594,356.933,-0.640,-0.062,-0.766,-46.283,-0.282,-3.572,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:679,357.344,209.495,357.032,-0.651,-0.061,-0.757,-46.394,-0.278,-3.573,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:701,357.255,210.470,357.118,-0.652,-0.057,-0.756,-46.405,-0.258,-3.575,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:730,357.213,211.770,357.274,-0.661,-0.051,-0.749,-46.505,-0.223,-3.578,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:757,357.284,213.569,357.548,-0.680,-0.048,-0.732,-46.720,-0.214,-3.579,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:779,357.378,214.464,357.752,-0.681,-0.046,-0.731,-46.735,-0.199,-3.580,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:800,357.421,215.941,357.997,-0.697,-0.045,-0.716,-46.929,-0.202,-3.580,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:824,357.425,217.406,358.173,-0.706,-0.044,-0.707,-47.047,-0.202,-3.580,隧道,-44.724,-0.322,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:11:13:24:846,357.433,218.902,358.319,-0.721,-0.045,-0.691,-44.949,-0.070,-1.373,车中车厢内部窗户皮,-47.253,-0.215,-3.579,隧道,-44.954,-0.070,-1.377,车中部车厢窗户外皮,
2025:06:11:13:24:868,357.416,220.258,358.401,-0.743,-0.045,-0.668,-45.109,-0.075,-1.373,车中车厢内部窗户皮,-47.561,-0.225,-3.578,隧道,-44.954,-0.070,-1.377,车中部车厢窗户外皮,
2025:06:11:13:24:889,357.424,221.633,358.519,-0.786,-0.055,-0.616,-45.486,-0.123,-1.376,车中车厢内部窗户皮,-45.586,-0.130,-1.455,GameObject,-48.280,-0.318,-3.569,隧道,
