TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:09:57:38:885,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:57:39:882,9.772,185.897,351.743,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:57:39:919,9.109,175.019,355.258,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:57:39:989,8.055,175.017,353.997,0.374,-0.469,-0.800,-41.108,-1.650,-2.097,planty,-41.108,-1.650,-2.097,应急疏散平台,-41.506,-1.151,-1.247,车中车厢座椅,
2025:07:09:57:40:036,6.107,175.418,353.182,0.417,-0.503,-0.757,-40.984,-1.734,-1.878,应急疏散平台,-41.348,-1.295,-1.217,车中车厢座椅,-41.223,-1.446,-1.444,车中车厢内部下部条纹,
2025:07:09:57:40:056,4.187,175.362,353.277,0.403,-0.493,-0.771,-41.062,-1.665,-1.878,应急疏散平台,-41.402,-1.248,-1.226,车中车厢座椅,-41.288,-1.387,-1.444,车中车厢内部下部条纹,
2025:07:09:57:40:076,3.531,175.122,353.598,0.407,-0.491,-0.770,-41.045,-1.659,-1.878,应急疏散平台,-41.389,-1.245,-1.227,车中车厢座椅,-41.274,-1.383,-1.444,车中车厢内部下部条纹,
2025:07:09:57:40:100,2.803,174.786,353.970,0.354,-0.509,-0.784,-41.254,-1.692,-1.878,应急疏散平台,-41.550,-1.267,-1.222,车中车厢座椅,-41.450,-1.411,-1.444,车中车厢内部下部条纹,
2025:07:09:57:40:120,2.557,174.435,354.261,0.348,-0.512,-0.785,-41.275,-1.701,-1.878,应急疏散平台,-41.566,-1.273,-1.221,车中车厢座椅,-41.467,-1.418,-1.444,车中车厢内部下部条纹,
2025:07:09:57:40:143,2.148,173.991,354.633,0.356,-0.508,-0.784,-41.245,-1.690,-1.878,应急疏散平台,-41.542,-1.265,-1.223,车中车厢座椅,-41.442,-1.408,-1.444,车中车厢内部下部条纹,
