TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:53:36:664,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:37:708,346.837,297.565,348.825,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:37:789,344.882,237.775,2.676,-0.905,0.188,-0.382,-51.892,2.002,-2.992,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:37:877,344.563,239.182,3.248,-0.904,0.185,-0.386,-51.850,1.966,-3.011,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:37:921,344.478,242.610,3.872,-0.909,0.185,-0.373,-52.175,2.016,-2.980,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:37:961,344.857,246.777,3.403,-0.920,0.173,-0.352,-52.901,2.014,-2.982,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:37:987,344.957,247.543,3.086,-0.917,0.169,-0.362,-52.682,1.933,-3.029,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:013,345.128,248.239,2.673,-0.907,0.164,-0.388,-52.119,1.788,-3.107,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:041,345.370,248.721,2.330,-0.898,0.156,-0.412,-51.630,1.643,-3.184,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:066,345.599,248.785,2.137,-0.889,0.150,-0.432,-51.262,1.531,-3.244,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:092,345.973,248.588,2.103,-0.884,0.142,-0.446,-51.050,1.426,-3.300,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:116,346.273,248.495,1.981,-0.881,0.134,-0.453,-50.972,1.342,-3.337,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:140,346.458,248.176,1.985,-0.905,0.121,-0.408,-52.138,1.345,-3.336,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:164,346.603,247.865,1.953,-0.929,0.112,-0.352,-53.856,1.426,-3.300,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:187,346.777,247.530,1.891,-0.945,0.100,-0.310,-55.530,1.447,-3.289,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:211,346.876,247.246,1.822,-0.946,0.094,-0.311,-55.629,1.364,-3.330,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:235,346.928,247.054,1.671,-0.948,0.087,-0.305,-55.988,1.303,-3.349,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:260,346.973,246.955,1.416,-0.950,0.084,-0.302,-56.164,1.281,-3.355,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:284,347.042,246.854,1.323,-0.951,0.082,-0.297,-56.427,1.272,-3.358,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:307,347.102,246.755,1.216,-0.952,0.082,-0.296,-56.460,1.269,-3.359,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:331,347.135,246.744,1.108,-0.953,0.080,-0.291,-56.737,1.259,-3.362,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:356,347.142,246.812,1.026,-0.955,0.080,-0.286,-56.963,1.285,-3.354,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:379,347.133,246.899,0.949,-0.958,0.082,-0.277,-57.449,1.343,-3.336,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:401,347.070,247.037,0.917,-0.959,0.084,-0.272,-57.653,1.397,-3.316,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:53:38:426,346.999,247.238,0.836,-0.968,0.125,-0.216,-59.376,2.238,-2.798,隧道,-59.950,2.313,-2.926,隧道,0.000,0.000,0.000,Null,
2025:06:15:53:38:448,346.920,247.502,0.732,-0.971,0.141,-0.191,-60.020,2.600,-2.480,隧道,-59.950,2.580,-2.510,隧道,0.000,0.000,0.000,Null,
2025:06:15:53:38:471,346.872,247.740,0.643,-0.973,0.152,-0.171,-60.390,2.844,-2.182,隧道,-59.950,2.580,-2.510,隧道,0.000,0.000,0.000,Null,
