TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:27:29:243,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:27:30:403,0.000,160.000,0.000,0.381,0.059,-0.923,-40.742,1.475,-3.274,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:27:30:500,2.840,237.186,358.931,-0.819,0.011,-0.573,-46.020,0.122,-1.455,GameObject,-49.063,0.162,-3.584,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:595,2.776,237.207,358.880,-0.816,0.012,-0.578,-45.976,0.128,-1.455,GameObject,-48.978,0.172,-3.583,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:660,2.611,237.215,358.895,-0.810,0.015,-0.587,-45.901,0.138,-1.455,GameObject,-48.835,0.190,-3.581,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:711,2.392,237.212,358.919,-0.808,0.018,-0.589,-45.883,0.151,-1.455,GameObject,-48.796,0.216,-3.579,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:736,2.306,237.240,358.918,-0.807,0.008,-0.591,-45.867,0.110,-1.455,GameObject,-48.776,0.138,-3.586,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:759,2.283,237.248,358.915,-0.806,0.002,-0.593,-45.854,0.086,-1.455,GameObject,-48.757,0.092,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:780,2.278,237.261,358.908,-0.804,-0.006,-0.595,-45.833,0.054,-1.455,GameObject,-48.726,0.031,-3.597,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:800,2.290,237.262,358.901,-0.803,-0.011,-0.596,-45.828,0.036,-1.455,GameObject,-48.720,-0.003,-3.600,隧道,0.000,0.000,0.000,Null,
2025:06:15:27:30:822,2.332,237.283,358.891,-0.859,-0.025,-0.512,-50.187,-0.141,-3.586,隧道,-46.486,-0.033,-1.381,车中部车厢窗户外皮,0.000,0.000,0.000,Null,
2025:06:15:27:30:843,2.370,237.352,358.869,-0.874,-0.040,-0.484,-50.735,-0.292,-3.571,隧道,-46.507,-0.099,-1.230,underground-connection (2),-46.770,-0.111,-1.375,车中车厢内部窗户皮,
2025:06:15:27:30:863,2.279,237.719,358.826,-0.882,-0.051,-0.468,-51.071,-0.410,-3.560,隧道,-46.514,-0.146,-1.142,underground-connection (2),-46.962,-0.172,-1.380,车中车厢内部窗户皮,
2025:06:15:27:30:885,2.090,238.410,358.927,-0.908,-0.107,-0.406,-51.503,-0.968,-3.050,应急疏散平台左侧空气墙,-52.331,-1.066,-3.421,隧道,-46.962,-0.172,-1.380,车中车厢内部窗户皮,
2025:06:15:27:30:906,1.729,239.485,359.334,-0.930,-0.116,-0.347,-53.270,-1.252,-3.050,应急疏散平台左侧空气墙,-54.033,-1.347,-3.335,隧道,-48.900,-0.705,-1.418,车中车厢内部窗户皮,
2025:06:15:27:30:928,1.253,240.606,359.854,-0.953,-0.109,-0.284,-55.991,-1.451,-3.050,应急疏散平台左侧空气墙,-56.651,-1.526,-3.246,隧道,-50.534,-0.826,-1.426,车中车厢内部中部条纹,
2025:06:15:27:30:950,0.609,241.688,0.322,-0.968,-0.103,-0.228,-59.517,-1.722,-3.050,应急疏散平台左侧空气墙,-59.831,-1.755,-3.124,隧道,-52.661,-0.991,-1.434,车中车厢内部中部条纹,
2025:06:15:27:30:973,0.117,242.550,0.640,-0.972,-0.094,-0.214,-60.761,-1.669,-3.050,应急疏散平台左侧空气墙,-46.369,-0.282,0.111,32,-53.397,-0.959,-1.433,车中车厢内部中部条纹,
2025:06:15:27:30:995,359.720,243.419,0.889,-0.975,-0.090,-0.203,-61.785,-1.680,-3.050,应急疏散平台左侧空气墙,-46.341,-0.262,0.162,32,-54.011,-0.966,-1.433,车中车厢内部中部条纹,
2025:06:15:27:31:017,359.381,244.325,1.086,-0.978,-0.085,-0.189,-63.270,-1.713,-3.050,应急疏散平台左侧空气墙,-46.329,-0.242,0.222,32,-54.181,-0.924,-1.295,车中车厢座椅,
2025:06:15:27:31:038,359.236,244.944,1.197,-0.978,-0.090,-0.187,-63.476,-1.834,-3.050,应急疏散平台左侧空气墙,-48.317,-0.443,-0.150,18,-46.329,-0.260,0.230,32,
