TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:33:01:478,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:33:02:696,0.000,160.000,0.000,0.374,-0.106,-0.921,-40.660,0.606,-3.540,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:33:02:830,358.079,162.042,359.954,0.352,-0.067,-0.934,-40.782,-0.239,-3.576,隧道,-41.613,-0.081,-1.373,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:02:871,358.506,162.352,359.853,0.349,-0.072,-0.934,-40.799,-0.264,-3.574,隧道,-41.621,-0.094,-1.374,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:02:923,358.558,162.442,359.794,0.348,-0.071,-0.935,-40.804,-0.260,-3.574,隧道,-41.624,-0.092,-1.374,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:02:968,358.787,162.631,359.684,0.345,-0.061,-0.937,-40.821,-0.209,-3.579,隧道,-41.634,-0.066,-1.372,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:02:992,359.022,162.724,359.692,0.343,-0.060,-0.937,-40.830,-0.203,-3.580,隧道,-41.639,-0.063,-1.372,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:015,359.080,162.749,359.682,0.343,-0.056,-0.938,-40.831,-0.187,-3.582,隧道,-41.640,-0.055,-1.371,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:037,359.145,162.811,359.730,0.343,-0.054,-0.938,-40.834,-0.175,-3.583,隧道,-41.642,-0.049,-1.371,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:059,359.210,162.889,359.754,0.342,-0.050,-0.938,-40.836,-0.158,-3.584,隧道,-41.644,-0.040,-1.370,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:083,359.201,162.948,359.779,0.342,-0.047,-0.938,-40.835,-0.145,-3.586,隧道,-41.644,-0.034,-1.370,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:090,359.215,162.987,359.792,0.342,-0.046,-0.938,-40.836,-0.141,-3.586,隧道,-41.644,-0.032,-1.370,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:130,359.172,163.094,359.800,0.342,-0.041,-0.939,-40.836,-0.115,-3.589,隧道,-41.645,-0.018,-1.369,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:158,359.197,163.182,359.767,0.343,-0.031,-0.939,-40.832,-0.069,-3.593,隧道,-41.645,0.005,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:180,359.203,163.251,359.750,0.342,-0.030,-0.939,-40.835,-0.065,-3.594,隧道,-41.647,0.007,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:202,359.170,163.296,359.763,0.342,-0.029,-0.939,-40.835,-0.060,-3.594,隧道,-41.647,0.009,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:225,359.130,163.323,359.743,0.342,-0.028,-0.939,-40.836,-0.056,-3.594,隧道,-41.647,0.011,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:248,359.068,163.360,359.687,0.343,-0.026,-0.939,-40.833,-0.047,-3.595,隧道,-41.646,0.016,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:269,359.012,163.383,359.638,0.342,-0.025,-0.939,-40.835,-0.040,-3.596,隧道,-41.647,0.019,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:290,358.996,163.391,359.604,0.343,-0.024,-0.939,-40.832,-0.033,-3.597,隧道,-41.646,0.023,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:315,359.038,163.368,359.575,0.343,-0.024,-0.939,-40.829,-0.036,-3.596,隧道,-41.644,0.021,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:335,359.117,163.329,359.545,0.345,-0.025,-0.938,-40.822,-0.041,-3.596,隧道,-41.641,0.019,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:358,359.211,163.245,359.523,0.348,-0.027,-0.937,-40.804,-0.049,-3.595,隧道,-41.631,0.015,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:380,359.330,163.100,359.539,0.352,-0.029,-0.936,-40.781,-0.058,-3.594,隧道,-41.620,0.010,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:33:03:403,359.517,162.907,359.569,0.383,-0.066,-0.921,-41.914,-0.015,-0.445,100,-40.611,-0.238,-3.577,隧道,-41.528,-0.081,-1.373,车中车厢内部窗户皮,
2025:06:10:33:03:423,359.737,162.692,359.570,0.389,-0.075,-0.918,-41.914,-0.026,-0.420,100,-40.578,-0.284,-3.572,隧道,-41.509,-0.104,-1.375,车中车厢内部窗户皮,
2025:06:10:33:03:447,359.897,162.403,359.546,0.403,-0.086,-0.911,-41.895,-0.040,-0.409,100,-40.499,-0.337,-3.567,隧道,-41.467,-0.131,-1.377,车中车厢内部窗户皮,
2025:06:10:33:03:470,359.982,161.862,359.475,0.411,-0.087,-0.907,-41.869,-0.045,-0.432,100,-40.449,-0.345,-3.566,隧道,-41.441,-0.135,-1.377,车中车厢内部窗户皮,
2025:06:10:33:03:490,0.072,161.105,359.384,0.424,-0.084,-0.902,-40.371,-0.333,-3.567,隧道,-41.401,-0.129,-1.377,车中车厢内部窗户皮,-41.441,-0.135,-1.377,车中车厢内部窗户皮,
