TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:09:00:774,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:01:847,355.372,248.001,353.179,-0.932,0.112,-0.345,-53.271,1.999,-2.994,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:01:913,355.283,247.939,352.890,-0.934,0.080,-0.349,-54.451,1.084,-3.464,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:01:996,355.266,247.888,352.911,-0.933,0.080,-0.350,-54.433,1.089,-3.486,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:040,355.152,247.839,352.921,-0.932,0.082,-0.352,-54.169,1.093,-3.412,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:075,355.113,247.816,352.922,-0.932,0.083,-0.353,-54.137,1.099,-3.410,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:105,355.131,247.815,352.880,-0.932,0.082,-0.353,-54.136,1.095,-3.412,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:124,355.159,247.838,352.877,-0.932,0.082,-0.353,-54.134,1.090,-3.413,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:160,355.150,247.822,352.915,-0.931,0.082,-0.355,-54.083,1.089,-3.413,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:183,355.153,247.854,352.932,-0.931,0.082,-0.355,-54.079,1.089,-3.413,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:205,355.172,247.878,352.941,-0.932,0.082,-0.354,-54.095,1.087,-3.414,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:229,355.160,247.883,352.937,-0.931,0.082,-0.355,-54.086,1.088,-3.414,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:251,355.136,247.892,352.931,-0.932,0.075,-0.356,-54.122,1.006,-3.439,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:02:274,355.115,247.907,352.951,-0.932,0.053,-0.358,-48.495,0.411,-1.305,车中车厢内部上部条纹,-54.266,0.739,-3.520,隧道,0.000,0.000,0.000,Null,
2025:06:10:09:02:297,355.127,247.908,352.977,-0.932,0.048,-0.358,-48.516,0.384,-1.313,车中车厢内部上部条纹,-54.295,0.685,-3.533,隧道,0.000,0.000,0.000,Null,
2025:06:10:09:02:321,355.137,247.895,353.007,-0.933,0.033,-0.359,-48.556,0.288,-1.335,车中车厢内部上部条纹,-54.309,0.492,-3.552,隧道,0.000,0.000,0.000,Null,
2025:06:10:09:02:344,355.137,247.877,353.007,-0.933,0.031,-0.360,-48.557,0.275,-1.338,车中车厢内部上部条纹,-54.306,0.465,-3.554,隧道,0.000,0.000,0.000,Null,
2025:06:10:09:02:365,355.145,247.852,353.013,-0.933,0.027,-0.360,-48.566,0.251,-1.342,车中车厢内部上部条纹,-54.317,0.419,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:10:09:02:388,355.159,247.815,353.060,-0.933,0.023,-0.359,-54.351,0.365,-3.564,隧道,-48.589,0.224,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
