TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:25:31:219,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:25:32:180,357.615,160.596,356.300,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:25:32:201,357.399,160.484,356.484,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:25:32:275,357.402,160.499,356.496,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:25:32:312,357.358,160.500,356.515,0.366,0.047,-0.929,-40.704,0.304,-3.570,隧道,-41.579,0.191,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:342,357.387,160.435,356.601,0.367,0.046,-0.929,-40.701,0.300,-3.570,隧道,-41.577,0.189,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:370,357.408,160.398,356.590,0.367,0.046,-0.929,-40.700,0.296,-3.571,隧道,-41.577,0.187,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:398,357.426,160.360,356.603,0.367,0.045,-0.929,-40.699,0.294,-3.571,隧道,-41.576,0.186,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:425,357.429,160.342,356.608,0.367,0.045,-0.929,-40.700,0.294,-3.571,隧道,-41.577,0.186,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:457,357.398,160.341,356.612,0.366,0.046,-0.930,-40.706,0.296,-3.571,隧道,-41.580,0.187,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:477,357.391,160.380,356.621,0.365,0.046,-0.930,-40.710,0.297,-3.571,隧道,-41.582,0.187,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:501,357.369,160.402,356.629,0.364,0.046,-0.930,-40.717,0.298,-3.571,隧道,-41.585,0.188,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:524,357.361,160.400,356.642,0.364,0.046,-0.930,-40.719,0.298,-3.571,隧道,-41.586,0.188,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:545,357.394,160.409,356.636,0.362,0.046,-0.931,-40.727,0.295,-3.571,隧道,-41.590,0.187,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:566,357.405,160.414,356.627,0.361,0.045,-0.932,-40.734,0.294,-3.571,隧道,-41.594,0.186,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:590,357.422,160.427,356.625,0.359,0.045,-0.932,-40.743,0.292,-3.571,隧道,-41.598,0.185,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:612,357.431,160.431,356.628,0.357,0.045,-0.933,-40.753,0.291,-3.571,隧道,-41.603,0.184,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:634,357.432,160.449,356.646,0.355,0.044,-0.934,-40.766,0.290,-3.571,隧道,-41.610,0.184,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:656,357.455,160.460,356.660,0.352,0.044,-0.935,-40.781,0.287,-3.572,隧道,-41.617,0.182,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:677,357.495,160.451,356.669,0.351,0.043,-0.935,-40.787,0.283,-3.572,隧道,-41.620,0.180,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:700,357.501,160.448,356.680,0.349,0.043,-0.936,-40.800,0.281,-3.572,隧道,-41.627,0.180,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:722,357.498,160.433,356.685,0.348,0.042,-0.937,-40.805,0.279,-3.572,隧道,-41.629,0.179,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:745,357.544,160.436,356.646,0.346,0.041,-0.937,-40.813,0.272,-3.573,隧道,-41.633,0.175,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:767,357.580,160.443,356.633,0.344,0.039,-0.938,-40.825,0.262,-3.574,隧道,-41.639,0.170,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:790,357.613,160.444,356.660,0.343,0.038,-0.939,-40.831,0.257,-3.575,隧道,-41.642,0.167,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:809,357.624,160.442,356.672,0.341,0.037,-0.939,-40.839,0.253,-3.575,隧道,-41.646,0.166,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:833,357.654,160.434,356.686,0.338,0.036,-0.940,-40.855,0.248,-3.576,隧道,-41.654,0.163,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:857,357.683,160.398,356.715,0.337,0.035,-0.941,-40.859,0.245,-3.576,隧道,-41.656,0.162,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:878,357.696,160.278,356.783,0.337,0.035,-0.941,-40.862,0.244,-3.576,隧道,-41.657,0.161,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:900,357.727,160.077,356.875,0.339,0.036,-0.940,-40.851,0.247,-3.576,隧道,-41.651,0.163,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:924,357.770,159.752,356.904,0.316,0.028,-0.948,-40.971,0.208,-3.579,隧道,-41.711,0.143,-1.356,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:944,357.848,159.406,356.901,0.319,0.010,-0.948,-40.950,0.127,-3.588,隧道,-41.700,0.102,-1.360,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:25:32:968,357.947,158.851,356.922,0.287,-0.030,-0.957,-41.768,0.007,-1.401,车中部车厢窗户外皮,-41.110,-0.063,-3.594,隧道,0.000,0.000,0.000,Null,
2025:06:11:25:32:990,358.027,158.274,356.927,0.293,-0.025,-0.956,-41.079,-0.037,-3.596,隧道,-41.762,0.021,-1.366,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:011,358.135,157.537,356.920,0.302,-0.022,-0.953,-41.031,-0.025,-3.598,隧道,-41.738,0.027,-1.366,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:034,358.229,156.854,356.885,0.301,-0.030,-0.953,-41.033,-0.062,-3.594,隧道,-41.737,0.008,-1.367,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:055,358.381,156.129,356.781,0.323,-0.021,-0.946,-40.919,-0.020,-3.598,隧道,-41.680,0.029,-1.365,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:078,358.545,155.276,356.703,0.331,-0.018,-0.943,-40.872,-0.008,-3.599,隧道,-41.655,0.035,-1.365,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:102,358.752,154.415,356.517,0.343,-0.020,-0.939,-40.803,-0.017,-3.598,隧道,-41.620,0.031,-1.365,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:124,358.925,153.638,356.415,0.347,-0.019,-0.938,-40.781,-0.012,-3.599,隧道,-41.608,0.033,-1.365,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:146,359.081,152.829,356.273,0.347,-0.018,-0.938,-40.781,-0.005,-3.600,隧道,-41.607,0.037,-1.365,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:170,359.251,151.794,356.122,0.353,-0.017,-0.935,-40.742,0.000,-3.600,隧道,-41.586,0.039,-1.365,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:200,359.464,150.128,355.968,0.376,-0.007,-0.926,-40.611,0.045,-3.596,隧道,-41.518,0.062,-1.363,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:238,359.733,148.116,355.518,0.634,-0.022,-0.773,-38.752,-0.047,-3.595,隧道,-41.045,0.166,-1.354,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:264,359.764,146.445,355.397,0.701,-0.041,-0.712,-38.023,-0.181,-3.582,隧道,-41.045,0.166,-1.354,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:287,359.776,144.687,355.303,0.798,0.080,-0.598,-39.485,0.371,-1.318,车中车厢内部上部条纹,-36.528,0.666,-3.534,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:308,359.783,142.949,355.164,0.878,0.125,-0.463,-34.349,1.222,-3.373,隧道,-36.528,0.666,-3.534,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:331,359.787,141.254,355.066,0.886,0.119,-0.448,-33.983,1.209,-3.377,隧道,-36.528,0.666,-3.534,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:353,359.840,139.245,354.970,0.897,0.059,-0.438,-33.359,0.673,-3.534,隧道,-33.802,0.651,-3.536,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:375,359.934,137.222,354.827,0.906,0.032,-0.423,-32.870,0.420,-3.559,隧道,-33.802,0.651,-3.536,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:398,0.057,134.997,354.617,0.930,0.037,-0.365,-31.058,0.529,-3.548,隧道,-33.802,0.651,-3.536,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:418,0.175,133.075,354.360,0.932,0.018,-0.363,-30.932,0.302,-3.570,隧道,-36.624,0.191,-1.351,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:441,0.259,130.776,354.135,0.939,0.030,-0.342,-36.243,0.276,-1.338,车中车厢内部上部条纹,-30.169,0.471,-3.554,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:464,0.370,128.490,353.686,0.947,0.020,-0.322,-29.230,0.354,-3.565,隧道,-35.752,0.218,-1.348,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:486,0.451,125.983,353.247,0.956,0.028,-0.292,-35.025,0.293,-1.335,车中车厢内部上部条纹,-27.778,0.504,-3.550,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:508,0.470,123.910,352.958,0.960,0.029,-0.278,-34.617,0.312,-1.332,车中车厢内部上部条纹,-26.972,0.542,-3.547,隧道,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:532,0.448,121.525,352.603,0.943,0.020,-0.331,-29.577,0.351,-3.565,隧道,-35.901,0.217,-1.348,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:553,0.375,119.281,352.166,0.941,0.021,-0.337,-29.842,0.357,-3.565,隧道,-36.027,0.220,-1.347,车中车厢内部窗户皮,-41.766,0.007,-1.367,车中车厢内部窗户皮,
2025:06:11:25:33:576,0.269,116.942,351.679,0.943,0.026,-0.333,-35.932,0.257,-1.342,车中车厢内部上部条纹,-29.661,0.431,-3.558,隧道,-29.813,0.373,-3.563,隧道,
2025:06:11:25:33:597,0.112,114.372,351.082,0.964,0.032,-0.264,-34.108,0.355,-1.322,车中车厢内部上部条纹,-26.011,0.627,-3.538,隧道,-29.813,0.373,-3.563,隧道,
2025:06:11:25:33:621,359.979,112.446,350.614,0.991,0.016,-0.134,-25.655,0.343,-1.324,车中车厢内部上部条纹,-9.313,0.602,-3.541,隧道,-20.343,0.494,-3.551,隧道,
2025:06:11:25:33:641,359.872,110.312,350.081,0.997,0.009,-0.078,-13.147,0.329,-1.328,车中车厢内部上部条纹,15.292,0.573,-3.544,隧道,-20.343,0.494,-3.551,隧道,
2025:06:11:25:33:672,359.924,108.299,349.666,0.998,-0.035,-0.047,-27.758,-0.430,0.264,10,-17.119,-0.800,-0.238,28,-21.119,-0.661,-0.049,42,
2025:06:11:25:33:699,0.093,105.636,348.775,0.997,-0.067,-0.034,-19.358,-1.465,0.174,11,-15.840,-1.701,0.053,车中车内底板.001,2.759,-2.950,-0.582,道床,
2025:06:11:25:33:721,0.223,104.174,348.713,0.997,-0.070,-0.024,-17.513,-1.653,0.371,12,-16.817,-1.701,0.354,车中车内底板.001,1.097,-2.950,-0.073,道床,
2025:06:11:25:33:742,0.487,102.292,348.115,0.997,-0.059,-0.043,-16.950,-1.419,-0.127,28,-20.229,-1.226,0.014,33,-19.564,-1.265,-0.015,11,
2025:06:11:25:33:765,0.699,101.533,347.707,0.997,-0.056,-0.054,-28.014,-0.732,0.191,10,-24.962,-0.905,0.025,41,-16.865,-1.362,-0.415,28,
2025:06:11:25:33:788,0.852,100.431,347.439,0.997,-0.050,-0.065,-28.071,-0.644,0.035,10,-25.070,-0.796,-0.163,41,-21.280,-0.987,-0.412,42,
2025:06:11:25:33:808,1.082,99.933,346.968,0.996,-0.053,-0.073,-28.014,-0.687,-0.072,10,-25.013,-0.847,-0.291,41,-20.866,-1.068,-0.594,27,
2025:06:11:25:33:832,1.201,99.416,346.813,0.996,-0.057,-0.065,-28.160,-0.730,0.047,10,-24.984,-0.911,-0.161,41,-21.398,-1.115,-0.395,42,
2025:06:11:25:33:855,1.221,99.246,346.892,0.995,-0.056,-0.084,-27.517,-0.751,-0.275,55,-20.941,-1.119,-0.830,27,-17.191,-1.328,-1.146,车中车厢座椅,
2025:06:11:25:33:875,1.343,99.321,346.963,0.994,-0.056,-0.098,-11.661,-1.650,-2.044,planty,-3.107,-2.132,-2.885,隧道,-11.660,-1.650,-2.044,应急疏散平台.006|应急疏散平台|Dupli|,
2025:06:11:25:33:898,1.422,99.421,347.173,0.993,-0.059,-0.104,-13.382,-1.650,-2.072,planty,-5.545,-2.118,-2.897,隧道,-11.940,-1.736,-2.224,应急疏散平台.006|应急疏散平台|Dupli|,
2025:06:11:25:33:921,1.340,100.187,347.506,0.990,-0.057,-0.128,-24.812,-0.937,-1.292,车中车厢座椅,-23.549,-1.010,-1.455,GameObject,-10.637,-1.758,-3.123,隧道,
2025:06:11:25:33:942,1.282,100.887,347.852,0.987,-0.055,-0.152,-14.701,-1.454,-3.285,隧道,-35.891,-0.279,-0.023,16,-16.230,-1.369,-3.050,应急疏散平台左侧空气墙,
2025:06:11:25:33:963,1.272,101.674,348.182,0.984,-0.054,-0.168,-17.029,-1.309,-3.347,隧道,-28.351,-0.689,-1.417,车中车厢内部窗户皮,-18.769,-1.214,-3.050,应急疏散平台左侧空气墙,
2025:06:11:25:33:986,1.271,102.562,348.725,0.981,-0.054,-0.188,-19.642,-1.164,-3.391,隧道,-21.418,-1.067,-3.050,应急疏散平台左侧空气墙,-18.769,-1.214,-3.050,应急疏散平台左侧空气墙,
2025:06:11:25:34:008,1.264,103.490,349.121,0.976,-0.054,-0.211,-22.013,-1.038,-3.429,隧道,-31.385,-0.523,-1.405,车中车厢内部窗户皮,-23.768,-0.941,-3.050,应急疏散平台左侧空气墙,
2025:06:11:25:34:030,1.195,104.627,349.534,0.971,-0.053,-0.232,-23.836,-0.931,-3.461,隧道,-25.559,-0.837,-3.050,应急疏散平台左侧空气墙,-23.768,-0.941,-3.050,应急疏散平台左侧空气墙,
2025:06:11:25:34:053,1.101,105.527,349.778,0.967,-0.052,-0.249,-25.053,-0.843,-3.488,隧道,-33.190,-0.410,-1.396,车中车厢内部窗户皮,-25.423,-0.824,-3.393,应急疏散平台左侧空气墙,
2025:06:11:25:34:075,0.903,106.590,350.123,0.963,-0.048,-0.267,-33.798,-0.353,-1.414,车中部车厢窗户外皮,-26.196,-0.735,-3.521,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:098,0.653,107.581,350.328,0.959,-0.044,-0.280,-26.977,-0.631,-3.538,隧道,-26.196,-0.735,-3.521,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:120,0.471,108.507,350.426,0.955,-0.040,-0.294,-27.758,-0.539,-3.547,隧道,-26.196,-0.735,-3.521,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:142,0.264,109.465,350.564,0.952,-0.034,-0.303,-28.182,-0.426,-3.558,隧道,-26.196,-0.735,-3.521,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:164,0.034,110.451,350.702,0.948,-0.029,-0.317,-28.877,-0.338,-3.567,隧道,-26.196,-0.735,-3.521,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:188,359.983,111.793,350.723,0.943,-0.027,-0.331,-29.492,-0.285,-3.572,隧道,-26.196,-0.735,-3.521,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:208,359.835,112.906,350.800,0.937,-0.024,-0.347,-30.163,-0.228,-3.578,隧道,-36.114,-0.078,-1.373,车中车厢内部窗户皮,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:228,359.713,114.203,350.929,0.932,-0.021,-0.361,-30.705,-0.184,-3.582,隧道,-36.406,-0.056,-1.371,车中车厢内部窗户皮,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:251,359.628,115.856,351.145,0.922,-0.019,-0.386,-31.558,-0.147,-3.586,隧道,-31.232,-0.158,-3.584,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:274,359.550,117.836,351.471,0.912,-0.018,-0.410,-32.327,-0.118,-3.588,隧道,-31.232,-0.158,-3.584,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
2025:06:11:25:34:296,359.533,119.893,351.678,0.899,-0.019,-0.438,-33.107,-0.120,-3.588,隧道,-31.232,-0.158,-3.584,隧道,-24.980,-0.824,-3.697,应急疏散平台左侧空气墙,
