TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:43:32:438,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:33:643,0.000,160.000,0.000,0.774,0.051,-0.631,-37.419,1.544,-3.237,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:33:741,0.376,290.477,358.716,-0.994,0.058,-0.092,-82.698,2.422,-2.647,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:33:831,0.066,285.190,359.453,-0.986,0.058,-0.159,-68.947,1.619,-3.197,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:33:897,359.521,283.522,0.012,-0.982,0.062,-0.179,-66.057,1.568,-3.224,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:33:947,358.939,281.153,0.286,-0.976,0.070,-0.206,-62.878,1.529,-3.245,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:33:975,358.776,279.512,0.255,-0.971,0.073,-0.228,-60.978,1.452,-3.286,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:003,358.712,278.520,0.299,-0.969,0.073,-0.238,-60.306,1.409,-3.309,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:016,358.706,278.309,0.300,-0.969,0.073,-0.235,-60.502,1.419,-3.304,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:050,358.920,277.819,0.203,-0.970,0.069,-0.232,-60.851,1.366,-3.329,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:072,359.022,277.507,0.118,-0.970,0.067,-0.233,-60.777,1.334,-3.339,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:094,359.032,277.270,0.036,-0.972,0.065,-0.225,-61.450,1.328,-3.341,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:115,359.126,277.013,359.891,-0.972,0.063,-0.225,-61.509,1.293,-3.352,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:137,359.382,276.975,359.748,-0.975,0.052,-0.218,-62.451,1.145,-3.402,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:160,359.557,276.958,359.698,-0.976,0.048,-0.213,-62.950,1.068,-3.420,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:181,359.203,276.939,359.768,-0.977,0.051,-0.209,-63.451,1.165,-3.428,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:205,358.590,276.940,359.691,-0.986,0.046,-0.158,-69.774,1.352,-3.334,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:226,358.202,277.025,359.379,-0.992,0.042,-0.121,-77.396,1.561,-3.228,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:43:34:249,358.407,277.270,359.093,-0.990,0.015,0.140,-45.009,0.113,1.353,车中车厢内部窗户皮,-45.899,0.126,1.479,GameObject (1),-60.650,0.343,3.566,隧道,
2025:06:16:43:34:269,358.970,277.574,358.929,-0.978,-0.019,0.207,-54.785,-0.161,3.584,隧道,-45.899,0.126,1.479,GameObject (1),-60.650,0.343,3.566,隧道,
2025:06:16:43:34:280,359.293,277.765,358.880,-0.969,-0.042,0.242,-52.826,-0.367,3.564,隧道,-45.899,0.126,1.479,GameObject (1),-60.650,0.343,3.566,隧道,
2025:06:16:43:34:314,0.218,278.484,358.606,-0.960,-0.072,0.272,-43.851,-0.012,1.363,车中车厢内部窗户皮,-51.550,-0.589,3.542,隧道,-60.650,0.343,3.566,隧道,
2025:06:16:43:34:336,0.591,278.887,358.489,-0.962,-0.042,0.270,-43.846,0.026,1.360,车中车厢内部窗户皮,-51.704,-0.321,3.568,隧道,-60.650,0.343,3.566,隧道,
