TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:19:49:13:244,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:49:14:428,0.000,160.000,0.000,0.266,-0.237,-0.934,-41.179,-0.017,-3.598,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:49:14:537,359.915,81.475,1.920,0.968,-0.244,0.066,-29.470,-3.167,1.900,隧道右侧空气墙,-36.246,-1.460,1.438,车中车厢内部下部条纹,-38.278,-0.948,1.300,车中车厢座椅,
2025:06:19:49:14:623,0.151,81.508,1.916,0.964,-0.258,0.062,-28.603,-3.606,1.900,隧道右侧空气墙,-35.823,-1.671,1.439,车中车厢内部下部条纹,-38.247,-1.021,1.284,车中车厢座椅,
2025:06:19:49:14:680,0.246,81.474,1.950,0.962,-0.266,0.060,-28.205,-3.841,1.900,隧道右侧空气墙,-35.648,-1.779,1.438,车中车厢内部下部条纹,-38.251,-1.057,1.277,车中车厢座椅,
2025:06:19:49:14:729,0.315,81.414,1.964,0.961,-0.271,0.058,-38.242,-1.083,1.271,车中车厢座椅,-30.938,-3.146,1.714,隧道,-31.633,-2.950,1.672,道床,
2025:06:19:49:14:758,0.326,81.410,1.966,0.960,-0.272,0.058,-38.232,-1.089,1.270,车中车厢座椅,-30.964,-3.150,1.707,隧道,-31.670,-2.950,1.664,道床,
2025:06:19:49:14:778,0.361,81.425,1.968,0.960,-0.274,0.056,-36.113,-1.701,1.385,车中车内底板.001,-38.175,-1.113,1.265,车中车厢座椅,-30.990,-3.163,1.682,隧道,
2025:06:19:49:14:799,0.365,81.449,1.953,0.960,-0.274,0.055,-36.123,-1.701,1.378,车中车内底板.001,-38.144,-1.124,1.263,车中车厢座椅,-30.988,-3.169,1.671,隧道,
2025:06:19:49:14:828,0.351,81.491,1.922,0.960,-0.274,0.054,-36.126,-1.701,1.369,车中车内底板.001,-38.095,-1.138,1.260,车中车厢座椅,-30.966,-3.177,1.657,隧道,
2025:06:19:49:14:848,0.357,81.513,1.910,0.960,-0.275,0.053,-36.128,-1.701,1.366,车中车内底板.001,-38.078,-1.144,1.258,车中车厢座椅,-30.961,-3.179,1.652,隧道,
2025:06:19:49:14:877,0.389,81.567,1.865,0.960,-0.274,0.052,-36.119,-1.701,1.360,车中车内底板.001,-38.035,-1.154,1.256,车中车厢座椅,-30.925,-3.185,1.642,隧道,
2025:06:19:49:14:899,0.385,81.603,1.828,0.960,-0.274,0.052,-36.101,-1.701,1.358,车中车内底板.001,-38.011,-1.158,1.256,车中车厢座椅,-30.888,-3.186,1.639,隧道,
2025:06:19:49:14:922,0.393,81.645,1.802,0.961,-0.271,0.052,-36.047,-1.701,1.360,车中车内底板.001,-37.982,-1.155,1.256,车中车厢座椅,-30.793,-3.185,1.641,隧道,
2025:06:19:49:14:943,0.408,81.689,1.785,0.962,-0.270,0.052,-36.008,-1.701,1.362,车中车内底板.001,-37.969,-1.151,1.257,车中车厢座椅,-30.729,-3.183,1.645,隧道,
2025:06:19:49:14:967,0.404,81.728,1.764,0.962,-0.268,0.053,-35.952,-1.701,1.373,车中车内底板.001,-37.999,-1.132,1.261,车中车厢座椅,-30.662,-3.173,1.664,隧道,
2025:06:19:49:14:988,0.410,81.754,1.752,0.962,-0.270,0.051,-36.007,-1.701,1.359,车中车内底板.001,-36.589,-1.538,1.328,车中车厢座椅,-30.719,-3.185,1.641,隧道,
2025:06:19:49:15:021,0.399,81.793,1.754,0.999,0.048,0.016,17.965,2.990,2.004,隧道,20.028,3.090,2.038,隧道.002,-17.123,-2.783,2.256,隧道,
2025:06:19:49:15:043,0.371,81.866,1.712,0.998,0.058,-0.014,18.408,3.582,0.184,隧道,20.028,3.675,0.161,隧道.002,-17.123,-2.783,2.256,隧道,
2025:06:19:49:15:067,0.305,82.077,1.652,0.998,0.032,-0.061,21.828,2.146,-2.874,隧道.002,20.028,3.675,0.161,隧道.002,-17.123,-2.783,2.256,隧道,
2025:06:19:49:15:093,0.192,82.645,1.611,0.996,0.013,-0.091,-16.919,0.399,-1.309,车中车厢内部上部条纹,7.337,0.705,-3.530,隧道,-17.123,-2.783,2.256,隧道,
2025:06:19:49:15:118,0.126,83.296,1.668,0.994,0.002,-0.109,-20.739,0.118,-1.358,车中车厢内部窗户皮,-20.757,0.118,-1.356,SM_Plug_01a (4),-0.486,0.156,-3.585,隧道,
2025:06:19:49:15:139,0.134,83.882,1.772,0.993,0.009,-0.114,-21.916,0.273,-1.339,车中车厢内部上部条纹,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:161,0.152,84.521,1.819,0.993,0.032,-0.112,-3.744,1.307,-3.348,隧道,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:183,0.201,85.155,1.792,0.991,0.034,-0.127,-8.091,1.250,-3.365,隧道,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:205,0.292,86.078,1.770,0.990,0.047,-0.133,-10.804,1.564,-3.226,隧道,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:229,0.413,86.930,1.701,0.988,0.059,-0.139,-13.299,1.819,-3.090,隧道,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:251,0.461,87.763,1.611,0.987,0.053,-0.152,-14.831,1.564,-3.227,隧道,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:273,0.573,88.493,1.442,0.986,0.039,-0.163,-15.753,1.123,-3.403,隧道,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:295,0.737,89.628,1.154,0.983,0.029,-0.181,-17.915,0.808,-3.499,隧道,-2.686,0.455,-3.555,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:317,0.867,90.454,0.970,0.981,0.019,-0.191,-30.406,0.312,-1.332,车中车厢内部上部条纹,-19.051,0.534,-3.547,隧道,-22.923,0.263,-1.223,underground-connection (1),
2025:06:19:49:15:338,1.068,91.301,0.890,0.979,0.011,-0.203,-19.943,0.339,-3.640,隧道,-20.295,0.335,-3.567,隧道,-31.016,0.210,-1.349,车中车厢内部窗户皮,
2025:06:19:49:15:362,1.319,92.259,0.908,0.977,0.004,-0.214,-31.544,0.120,-1.370,车中部车厢窗户外皮,-21.417,0.159,-3.584,隧道,-31.016,0.210,-1.349,车中车厢内部窗户皮,
2025:06:19:49:15:384,1.609,93.099,1.004,0.974,-0.006,-0.225,-22.442,-0.052,-3.595,隧道,-21.417,0.159,-3.584,隧道,-31.016,0.210,-1.349,车中车厢内部窗户皮,
2025:06:19:49:15:407,1.935,94.199,0.982,0.968,-0.013,-0.250,-24.620,-0.151,-3.585,隧道,-33.205,-0.040,-1.370,车中车厢内部窗户皮,-31.016,0.210,-1.349,车中车厢内部窗户皮,
2025:06:19:49:15:429,2.245,95.082,0.928,0.962,-0.027,-0.272,-38.307,-0.036,-0.156,14,-26.250,-0.378,-3.563,隧道,-31.016,0.210,-1.349,车中车厢内部窗户皮,
2025:06:19:49:15:451,2.495,96.162,0.887,0.946,-0.045,-0.321,-40.290,-0.019,0.284,50,-29.015,-0.554,-3.545,隧道,-31.016,0.210,-1.349,车中车厢内部窗户皮,
2025:06:19:49:15:473,2.773,97.036,0.904,0.941,-0.053,-0.336,-40.357,-0.033,0.270,50,-29.688,-0.632,-3.538,隧道,-31.016,0.210,-1.349,车中车厢内部窗户皮,
2025:06:19:49:15:495,3.200,98.152,0.974,0.927,-0.070,-0.370,-40.388,-0.070,0.196,50,-31.098,-0.773,-3.509,隧道,-36.403,-0.372,-1.394,车中车厢内部窗户皮,
2025:06:19:49:15:517,3.678,98.984,1.094,0.921,-0.079,-0.380,-40.371,-0.090,0.159,50,-31.537,-0.844,-3.488,隧道,-36.604,-0.412,-1.396,车中车厢内部窗户皮,
2025:06:19:49:15:538,4.267,99.744,1.213,0.917,-0.089,-0.389,-31.915,-0.939,-3.459,隧道,-32.878,-0.845,-3.050,应急疏散平台左侧空气墙,-36.654,-0.448,-1.400,车中车厢内部窗户皮,
