TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:19:49:13:244,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:19:49:14:428,-42.500,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:537,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:623,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:680,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:729,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:758,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:778,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:799,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:828,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:848,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:877,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:899,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:922,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:943,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:967,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:14:988,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:021,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:043,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:067,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:093,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:118,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:139,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:161,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:183,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:205,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:229,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:251,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:273,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:295,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:317,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:338,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:362,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:384,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:407,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:429,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:451,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:473,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:495,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:517,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:538,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:562,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:584,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:605,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:627,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:651,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:672,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:694,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:717,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:738,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:762,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:783,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:807,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:829,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:850,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:871,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:918,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:937,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:15:967,-42.495,-1.621,0.998,0.279,0.000,-0.097,0.296,0.000,0.000,0.000,
2025:06:19:49:15:997,-42.489,-1.621,0.996,0.133,0.000,-0.045,0.141,2.795,0.000,-0.972,
2025:06:19:49:16:017,-42.483,-1.621,0.994,0.356,0.000,-0.121,0.376,2.795,0.000,-0.972,
2025:06:19:49:16:040,-42.479,-1.621,0.993,0.221,0.000,-0.076,0.234,2.795,0.000,-0.972,
2025:06:19:49:16:062,-42.477,-1.621,0.992,0.126,0.000,-0.051,0.136,2.795,0.000,-0.972,
2025:06:19:49:16:084,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-2.206,0.000,0.759,
2025:06:19:49:16:104,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-2.206,0.000,0.759,
2025:06:19:49:16:126,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-2.206,0.000,0.759,
2025:06:19:49:16:148,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-2.206,0.000,0.759,
2025:06:19:49:16:169,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-2.206,0.000,0.759,
2025:06:19:49:16:193,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-0.588,0.000,0.214,
2025:06:19:49:16:214,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-0.588,0.000,0.214,
2025:06:19:49:16:237,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-0.588,0.000,0.214,
2025:06:19:49:16:259,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-0.588,0.000,0.214,
2025:06:19:49:16:282,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,-0.588,0.000,0.214,
2025:06:19:49:16:303,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:326,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:348,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:369,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:393,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:415,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:435,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:458,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:482,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:503,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:526,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:548,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:570,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:593,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:613,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:636,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:659,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:681,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:703,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:724,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:746,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:767,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:789,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:812,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:835,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:856,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:880,-42.476,-1.621,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:934,-42.474,-1.621,0.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:16:952,-42.466,-1.621,0.951,0.510,0.000,-2.077,2.139,0.000,0.000,0.000,
2025:06:19:49:16:979,-42.464,-1.621,0.940,0.128,0.000,-0.674,0.686,0.000,0.000,0.000,
2025:06:19:49:17:003,-42.459,-1.621,0.915,0.112,0.000,-0.576,0.587,0.000,0.000,0.000,
2025:06:19:49:17:023,-42.458,-1.621,0.908,0.090,0.000,-0.457,0.466,0.000,0.000,0.000,
2025:06:19:49:17:046,-42.452,-1.621,0.881,0.103,0.000,-0.512,0.522,0.000,0.000,0.000,
2025:06:19:49:17:067,-42.449,-1.621,0.863,0.218,0.000,-1.095,1.116,1.025,0.000,-5.121,
2025:06:19:49:17:096,-42.444,-1.621,0.838,0.110,0.000,-0.569,0.580,1.025,0.000,-5.121,
2025:06:19:49:17:121,-42.440,-1.621,0.818,0.226,0.000,-1.184,1.206,1.025,0.000,-5.121,
2025:06:19:49:17:141,-42.438,-1.621,0.810,0.095,0.000,-0.508,0.517,1.025,0.000,-5.121,
2025:06:19:49:17:165,-42.433,-1.621,0.780,0.101,0.000,-0.596,0.605,1.080,0.000,-6.650,
2025:06:19:49:17:185,-42.430,-1.621,0.761,0.178,0.000,-1.117,1.131,1.080,0.000,-6.650,
2025:06:19:49:17:211,-42.429,-1.621,0.750,0.095,0.000,-0.663,0.670,1.080,0.000,-6.650,
2025:06:19:49:17:230,-42.426,-1.621,0.744,0.054,0.000,-0.131,0.142,1.080,0.000,-6.650,
2025:06:19:49:17:255,-42.424,-1.621,0.740,0.080,0.000,-0.256,0.268,1.080,0.000,-6.650,
2025:06:19:49:17:277,-42.424,-1.621,0.738,0.023,0.000,-0.095,0.098,-1.879,0.000,10.823,
2025:06:19:49:17:296,-42.423,-1.621,0.734,0.008,0.000,-0.080,0.080,-1.879,0.000,10.823,
2025:06:19:49:17:319,-42.423,-1.621,0.731,0.007,0.000,-0.145,0.145,-1.879,0.000,10.823,
2025:06:19:49:17:342,-42.423,-1.621,0.730,0.000,0.000,-0.062,0.062,-1.879,0.000,10.823,
2025:06:19:49:17:364,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,-1.879,0.000,10.823,
2025:06:19:49:17:386,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,-0.227,0.000,0.949,
2025:06:19:49:17:412,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,-0.227,0.000,0.949,
2025:06:19:49:17:429,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,-0.227,0.000,0.949,
2025:06:19:49:17:451,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,-0.227,0.000,0.949,
2025:06:19:49:17:476,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,-0.227,0.000,0.949,
2025:06:19:49:17:497,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:49:17:518,-42.423,-1.621,0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
