TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:40:05:679,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:40:06:833,0.000,160.000,0.000,0.170,0.040,-0.985,-41.722,1.282,-3.355,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:40:06:943,3.024,195.778,355.323,-0.439,-0.026,-0.898,-43.628,0.014,-1.367,车中车厢内部窗户皮,-44.719,-0.051,-3.595,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:032,2.959,195.897,355.292,-0.448,-0.025,-0.894,-43.655,0.017,-1.366,车中车厢内部窗户皮,-44.771,-0.045,-3.596,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:085,2.940,196.017,355.279,-0.451,-0.024,-0.892,-43.665,0.019,-1.366,车中车厢内部窗户皮,-44.792,-0.040,-3.596,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:131,2.899,196.111,355.252,-0.456,0.002,-0.890,-43.678,0.083,-1.361,车中车厢内部窗户皮,-44.821,0.088,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:160,2.868,196.184,355.207,-0.458,0.008,-0.889,-43.685,0.099,-1.360,车中车厢内部窗户皮,-44.834,0.121,-3.588,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:189,2.882,196.231,355.151,-0.461,0.018,-0.887,-43.691,0.123,-1.358,车中车厢内部窗户皮,-44.846,0.169,-3.583,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:211,2.880,196.258,355.178,-0.463,0.024,-0.886,-43.698,0.137,-1.357,车中车厢内部窗户皮,-44.861,0.197,-3.581,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:234,2.890,196.282,355.182,-0.464,0.025,-0.885,-43.702,0.141,-1.356,车中车厢内部窗户皮,-44.868,0.204,-3.580,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:253,2.887,196.294,355.175,-0.466,0.029,-0.884,-43.706,0.151,-1.355,车中车厢内部窗户皮,-44.877,0.224,-3.578,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:277,2.886,196.305,355.187,-0.466,0.041,-0.884,-43.707,0.180,-1.352,车中车厢内部窗户皮,-44.878,0.283,-3.572,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:299,2.839,196.303,355.209,-0.466,0.045,-0.884,-43.706,0.190,-1.351,车中车厢内部窗户皮,-44.877,0.302,-3.570,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:320,2.818,196.304,355.234,-0.467,0.049,-0.883,-43.707,0.201,-1.350,车中车厢内部窗户皮,-44.880,0.323,-3.568,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:344,2.829,196.305,355.253,-0.467,0.050,-0.883,-43.709,0.205,-1.349,车中车厢内部窗户皮,-44.882,0.331,-3.567,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:365,2.848,196.307,355.286,-0.467,0.054,-0.882,-43.710,0.213,-1.348,车中车厢内部窗户皮,-44.884,0.348,-3.566,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:387,2.875,196.295,355.320,-0.467,0.054,-0.882,-43.709,0.215,-1.348,车中车厢内部窗户皮,-44.883,0.352,-3.565,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:410,2.884,196.286,355.334,-0.467,0.056,-0.883,-43.707,0.218,-1.348,车中车厢内部窗户皮,-44.878,0.358,-3.565,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:432,2.884,196.273,355.276,-0.464,0.058,-0.884,-43.698,0.224,-1.347,车中车厢内部窗户皮,-44.861,0.370,-3.564,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:07:454,2.880,196.264,355.236,-0.463,0.059,-0.884,-43.695,0.225,-1.347,车中车厢内部窗户皮,-44.856,0.373,-3.563,隧道,-43.695,0.225,-1.346,车中车厢内部上部条纹,
2025:06:09:40:07:478,2.906,196.255,355.228,-0.461,0.060,-0.885,-44.842,0.379,-3.563,隧道,-43.688,0.228,-1.346,车中车厢内部上部条纹,-43.701,0.230,-1.371,车中部车厢窗户外皮,
2025:06:09:40:07:499,2.936,196.251,355.223,-0.461,0.060,-0.886,-44.841,0.377,-3.563,隧道,-43.687,0.227,-1.346,车中车厢内部上部条纹,-43.692,0.228,-1.355,车中部车厢窗户外皮,
2025:06:09:40:07:520,2.943,196.251,355.197,-0.460,0.060,-0.886,-44.836,0.377,-3.563,隧道,-43.685,0.227,-1.346,车中车厢内部上部条纹,-43.693,0.228,-1.360,车中部车厢窗户外皮,
2025:06:09:40:07:542,2.988,196.251,355.157,-0.459,0.060,-0.886,-44.831,0.377,-3.563,隧道,-43.683,0.227,-1.346,车中车厢内部上部条纹,-43.688,0.228,-1.356,车中部车厢窗户外皮,
2025:06:09:40:07:565,3.020,196.243,355.091,-0.459,0.059,-0.886,-43.684,0.226,-1.349,车中车厢内部窗户皮,-44.830,0.374,-3.563,隧道,-43.682,0.226,-1.346,车中车厢内部上部条纹,
2025:06:09:40:07:587,3.076,196.224,355.116,-0.458,0.059,-0.887,-43.678,0.224,-1.347,车中车厢内部窗户皮,-44.822,0.371,-3.563,隧道,-43.679,0.226,-1.346,车中车厢内部上部条纹,
2025:06:09:40:07:610,3.196,196.174,355.218,-0.454,0.055,-0.889,-43.666,0.215,-1.348,车中车厢内部窗户皮,-44.797,0.352,-3.565,隧道,-43.679,0.226,-1.346,车中车厢内部上部条纹,
2025:06:09:40:07:631,3.394,196.100,355.298,-0.405,0.025,-0.914,-43.523,0.140,-1.356,车中车厢内部窗户皮,-44.509,0.202,-3.580,隧道,-43.679,0.226,-1.346,车中车厢内部上部条纹,
2025:06:09:40:07:653,3.604,196.029,355.329,-0.223,-0.073,-0.972,-43.559,-0.253,-3.575,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:677,3.815,195.971,355.341,-0.209,-0.085,-0.974,-43.491,-0.308,-3.570,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:698,4.007,195.935,355.399,-0.209,-0.091,-0.974,-43.489,-0.334,-3.567,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:720,4.296,195.937,355.433,-0.221,-0.090,-0.971,-43.548,-0.330,-3.568,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:743,4.564,196.026,355.414,-0.232,-0.085,-0.969,-43.601,-0.312,-3.569,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:765,4.841,196.203,355.422,-0.237,-0.086,-0.968,-43.627,-0.317,-3.569,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:787,5.043,196.436,355.484,-0.245,-0.085,-0.966,-43.665,-0.309,-3.570,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:809,5.370,196.757,355.551,-0.252,-0.088,-0.964,-43.699,-0.326,-3.568,隧道,-43.230,0.011,-1.309,SM_Plug_01a (4),-43.956,-0.059,-3.594,隧道,
2025:06:09:40:07:832,5.742,197.187,355.562,-0.263,-0.090,-0.961,-43.754,-0.336,-3.567,隧道,-43.164,-0.134,-1.409,车中部车厢窗户外皮,-43.956,-0.059,-3.594,隧道,
