TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:50:25:295,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:50:26:455,0.000,160.000,0.000,-0.123,-0.015,-0.992,-142.982,1.047,-3.426,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:50:26:572,349.347,26.790,357.855,0.794,0.117,0.596,-139.221,0.552,3.546,隧道,-142.174,0.117,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:616,349.540,27.259,357.682,0.774,0.117,0.623,-139.433,0.532,3.548,隧道,-142.189,0.115,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:667,349.438,26.959,357.605,0.550,0.144,0.823,-140.816,0.502,3.551,隧道,-142.302,0.113,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:718,349.118,26.199,357.282,0.547,0.148,0.824,-140.830,0.514,3.549,隧道,-142.305,0.113,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:733,349.026,25.998,357.185,0.547,0.150,0.824,-140.831,0.517,3.549,隧道,-142.306,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:757,348.961,25.801,357.134,0.548,0.150,0.823,-140.827,0.519,3.549,隧道,-142.306,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:780,348.872,25.639,357.075,0.547,0.152,0.824,-140.834,0.523,3.549,隧道,-142.307,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:800,348.782,25.508,357.020,0.545,0.153,0.824,-140.839,0.526,3.548,隧道,-142.308,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:825,348.713,25.452,356.968,0.536,0.155,0.830,-140.877,0.529,3.548,隧道,-142.311,0.115,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:846,348.638,25.405,356.875,0.535,0.156,0.831,-140.883,0.532,3.548,隧道,-142.312,0.115,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:867,348.550,25.340,356.847,0.532,0.166,0.830,-140.893,0.560,3.545,隧道,-142.313,0.117,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:50:26:892,348.466,25.317,356.795,0.532,0.172,0.829,-140.893,0.576,3.543,隧道,-142.313,0.118,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
