TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:51:07:795,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:08:795,352.176,207.025,359.253,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:08:838,352.216,206.985,359.327,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:08:917,352.279,206.985,359.399,-0.484,0.161,-0.860,-45.011,0.892,-3.473,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:08:954,352.336,206.983,359.451,-0.484,0.160,-0.860,-45.013,0.887,-3.475,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:08:985,352.485,206.935,359.554,-0.484,0.158,-0.861,-45.013,0.875,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:006,352.475,206.905,359.578,-0.484,0.158,-0.860,-45.014,0.875,-3.478,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:028,352.482,206.881,359.588,-0.484,0.158,-0.861,-45.013,0.875,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:052,352.498,206.846,359.594,-0.484,0.157,-0.861,-45.011,0.873,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:073,352.517,206.840,359.626,-0.485,0.157,-0.860,-45.017,0.872,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:094,352.501,206.811,359.641,-0.484,0.157,-0.861,-45.014,0.873,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:118,352.516,206.788,359.656,-0.484,0.157,-0.861,-45.012,0.871,-3.480,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:139,352.515,206.781,359.689,-0.484,0.157,-0.861,-45.011,0.871,-3.480,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:171,352.502,206.763,359.716,-0.484,0.157,-0.861,-45.010,0.872,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:195,352.502,206.756,359.708,-0.484,0.157,-0.861,-45.010,0.872,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:224,352.466,206.752,359.700,-0.484,0.158,-0.861,-45.013,0.875,-3.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:246,352.460,206.763,359.688,-0.485,0.158,-0.860,-45.016,0.875,-3.478,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:268,352.465,206.785,359.668,-0.487,0.150,-0.860,-45.033,0.837,-3.490,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:289,352.501,206.810,359.669,-0.489,0.145,-0.860,-45.045,0.815,-3.497,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:314,352.546,206.838,359.676,-0.490,0.142,-0.860,-45.056,0.798,-3.502,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:335,352.589,206.882,359.674,-0.491,0.140,-0.860,-45.064,0.791,-3.504,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:09:355,352.640,206.935,359.672,-0.493,0.138,-0.859,-45.075,0.782,-3.507,隧道,-43.810,0.427,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:379,352.703,207.007,359.665,-0.495,0.136,-0.858,-45.093,0.770,-3.510,隧道,-43.819,0.421,-1.302,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:403,352.758,207.094,359.653,-0.497,0.134,-0.857,-45.104,0.764,-3.512,隧道,-43.825,0.418,-1.303,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:424,352.831,207.199,359.624,-0.500,0.131,-0.856,-45.127,0.750,-3.516,隧道,-43.837,0.411,-1.305,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:445,352.920,207.326,359.580,-0.510,0.137,-0.849,-45.195,0.783,-3.506,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:468,353.072,207.592,359.457,-0.540,0.155,-0.827,-45.404,0.893,-3.473,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:494,353.290,208.130,359.289,-0.568,0.166,-0.806,-45.612,0.966,-3.451,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:513,353.624,208.937,359.084,-0.583,0.162,-0.796,-45.736,0.960,-3.453,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:537,354.191,210.072,358.795,-0.658,0.159,-0.736,-46.451,1.014,-3.465,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:561,354.983,211.532,358.553,-0.741,0.142,-0.657,-47.451,1.009,-3.446,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:585,356.122,213.637,358.480,-0.850,0.177,-0.496,-49.638,1.543,-3.237,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:609,357.253,215.820,358.399,-0.889,0.152,-0.432,-51.085,1.529,-3.245,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:632,358.750,218.849,358.564,-0.947,0.125,-0.295,-55.452,1.768,-3.117,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:14:51:09:642,359.349,220.013,358.568,-0.952,0.115,-0.282,-56.185,1.720,-3.143,隧道,-43.870,0.428,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
