TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:23:14:981,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:23:16:163,0.000,160.000,0.000,0.194,0.030,-0.981,-41.619,1.336,-3.339,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:23:16:260,340.542,20.433,352.938,0.460,0.345,0.818,-41.162,1.043,3.427,隧道,-42.344,0.157,1.326,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:296,339.245,22.354,352.341,0.481,0.366,0.797,-41.075,1.121,3.404,隧道,-42.330,0.164,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:349,338.959,22.633,352.269,0.482,0.373,0.792,-41.067,1.143,3.397,隧道,-42.329,0.166,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:392,338.903,23.600,351.847,0.489,0.376,0.787,-41.038,1.156,3.393,隧道,-42.323,0.168,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:416,339.036,23.826,351.524,0.492,0.374,0.787,-41.029,1.151,3.395,隧道,-42.322,0.168,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:437,339.199,23.944,351.230,0.488,0.372,0.790,-41.044,1.143,3.397,隧道,-42.323,0.167,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:460,339.364,23.983,351.009,0.453,0.378,0.808,-41.172,1.137,3.399,隧道,-42.334,0.167,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:481,339.542,23.968,350.861,0.416,0.379,0.827,-41.297,1.117,3.405,隧道,-42.344,0.165,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:503,339.741,23.908,350.739,0.388,0.358,0.849,-41.392,1.044,3.427,隧道,-42.353,0.158,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:525,339.912,23.795,350.686,0.388,0.350,0.853,-41.394,1.020,3.434,隧道,-42.354,0.156,1.326,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:547,340.079,23.620,350.681,0.387,0.337,0.859,-41.400,0.984,3.445,隧道,-42.355,0.152,1.326,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:570,340.197,23.432,350.766,0.382,0.315,0.869,-41.416,0.923,3.464,隧道,-42.357,0.147,1.326,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:591,340.340,23.182,350.869,0.379,0.304,0.874,-41.427,0.890,3.474,隧道,-42.359,0.144,1.326,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:614,340.462,22.989,350.953,0.376,0.286,0.882,-41.439,0.841,3.489,隧道,-42.361,0.140,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:636,340.600,22.778,351.038,0.371,0.253,0.894,-41.456,0.752,3.516,隧道,-42.364,0.132,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:659,340.753,22.545,351.127,0.362,0.246,0.899,-41.482,0.730,3.522,隧道,-42.366,0.130,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:681,340.877,22.355,351.206,0.357,0.238,0.903,-41.497,0.710,3.529,隧道,-42.368,0.128,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:703,341.016,22.157,351.282,0.353,0.238,0.905,-41.510,0.707,3.529,隧道,-42.370,0.128,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:725,341.099,22.039,351.321,0.350,0.238,0.906,-41.521,0.706,3.530,隧道,-42.371,0.128,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:748,341.217,21.871,351.354,0.347,0.236,0.908,-41.530,0.702,3.531,隧道,-42.372,0.128,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:23:16:769,341.292,21.801,351.362,0.344,0.236,0.909,-41.539,0.699,3.531,隧道,-42.373,0.127,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
