TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:17:57:657,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:17:58:813,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:17:58:920,355.114,249.918,3.226,-0.948,-0.020,-0.316,-46.362,0.002,-0.292,11,-56.223,-0.202,-3.580,隧道,-47.152,-0.015,-0.556,86,
2025:06:20:17:59:011,355.095,249.937,3.220,-0.949,-0.020,-0.313,-56.361,-0.209,-3.579,隧道,-56.223,-0.202,-3.580,隧道,-47.152,-0.015,-0.556,86,
2025:06:20:17:59:075,355.079,249.968,3.178,-0.949,-0.020,-0.314,-56.326,-0.205,-3.580,隧道,-46.873,-0.009,-0.452,26,-47.343,-0.019,-0.607,86,
2025:06:20:17:59:125,355.044,249.993,3.134,-0.949,-0.019,-0.313,-56.362,-0.197,-3.581,隧道,-46.901,-0.007,-0.458,26,-47.343,-0.019,-0.607,86,
2025:06:20:17:59:155,355.007,250.059,3.029,-0.950,-0.019,-0.313,-56.389,-0.190,-3.581,隧道,-46.927,-0.005,-0.463,26,-47.357,-0.014,-0.605,86,
2025:06:20:17:59:181,355.041,250.086,3.041,-0.950,-0.019,-0.312,-56.425,-0.200,-3.580,隧道,-46.906,-0.008,-0.452,26,-47.370,-0.017,-0.605,86,
2025:06:20:17:59:208,355.039,250.122,3.024,-0.950,-0.019,-0.312,-56.445,-0.201,-3.580,隧道,-46.907,-0.008,-0.451,26,-47.387,-0.018,-0.608,86,
2025:06:20:17:59:232,355.044,250.165,3.013,-0.950,-0.019,-0.310,-56.518,-0.205,-3.580,隧道,-46.910,-0.009,-0.444,26,-47.409,-0.019,-0.607,86,
2025:06:20:17:59:258,355.054,250.181,2.982,-0.951,-0.020,-0.310,-56.528,-0.208,-3.580,隧道,-46.909,-0.010,-0.443,26,-47.415,-0.020,-0.608,86,
2025:06:20:17:59:288,355.112,250.208,2.945,-0.950,-0.021,-0.311,-56.480,-0.222,-3.578,隧道,-46.897,-0.014,-0.443,26,-47.412,-0.025,-0.612,86,
2025:06:20:17:59:315,355.151,250.245,2.956,-0.951,-0.021,-0.309,-56.555,-0.230,-3.577,隧道,-46.897,-0.016,-0.435,26,-47.419,-0.027,-0.605,86,
2025:06:20:17:59:338,355.176,250.297,2.955,-0.951,-0.022,-0.307,-56.660,-0.250,-3.575,隧道,-46.892,-0.021,-0.423,26,-47.418,-0.033,-0.593,86,
2025:06:20:17:59:360,355.220,250.367,2.944,-0.952,-0.024,-0.306,-56.696,-0.270,-3.573,隧道,-46.884,-0.027,-0.416,26,-47.416,-0.040,-0.587,86,
2025:06:20:17:59:383,355.276,250.432,2.947,-0.952,-0.027,-0.305,-56.766,-0.326,-3.568,隧道,-46.865,-0.042,-0.401,26,-47.407,-0.058,-0.574,86,
