TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:16:37:41:043,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:37:41:996,333.535,301.632,358.368,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:37:42:038,334.177,307.111,357.254,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:37:42:121,334.376,306.119,357.197,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:37:42:164,334.975,303.787,357.649,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:16:37:42:186,335.030,303.657,357.822,-0.796,0.052,0.603,-145.906,0.294,3.571,隧道,-142.946,0.100,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:208,335.102,303.455,358.037,-0.799,0.053,0.599,-145.940,0.297,3.571,隧道,-142.950,0.100,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:230,335.134,303.344,358.131,-0.798,0.052,0.600,-145.937,0.295,3.571,隧道,-142.951,0.100,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:253,335.180,303.135,358.152,-0.801,0.052,0.596,-145.972,0.296,3.571,隧道,-142.955,0.100,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:276,335.261,302.837,358.071,-0.805,0.051,0.591,-146.019,0.294,3.571,隧道,-142.961,0.100,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:298,335.264,302.575,357.918,-0.809,0.051,0.586,-146.063,0.296,3.571,隧道,-142.966,0.100,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:319,335.309,302.317,357.728,-0.812,0.050,0.582,-146.101,0.293,3.571,隧道,-142.971,0.100,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:340,335.405,302.023,357.541,-0.815,0.048,0.578,-146.143,0.286,3.572,隧道,-142.976,0.099,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:363,335.544,301.672,357.349,-0.819,0.046,0.572,-146.199,0.278,3.573,隧道,-142.983,0.098,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:386,335.599,301.314,357.220,-0.823,0.045,0.567,-146.249,0.279,3.573,隧道,-142.990,0.099,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:407,335.670,300.962,357.115,-0.826,0.045,0.562,-146.295,0.278,3.573,隧道,-142.996,0.098,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:430,335.798,300.510,357.023,-0.829,0.043,0.557,-146.347,0.272,3.573,隧道,-143.003,0.098,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:452,336.036,300.106,357.073,-0.833,0.040,0.552,-146.398,0.258,3.575,隧道,-143.010,0.097,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:475,336.391,299.524,357.189,-0.838,0.035,0.545,-146.482,0.241,3.576,隧道,-143.020,0.095,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:497,336.772,298.848,357.371,-0.842,0.031,0.538,-146.554,0.222,3.578,隧道,-143.031,0.093,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:07:16:37:42:519,337.198,298.087,357.573,-0.848,0.025,0.529,-146.657,0.198,3.580,隧道,-143.163,0.094,1.402,车中部车厢窗户外皮,-143.044,0.091,1.327,车中车厢左车门4-2,
2025:07:16:37:42:541,337.690,297.107,357.818,-0.856,0.021,0.517,-146.795,0.180,3.582,隧道,-143.164,0.092,1.389,车中部车厢窗户外皮,-143.063,0.089,1.328,车中车厢左车门4-2,
2025:07:16:37:42:563,338.246,295.911,358.072,-0.865,0.016,0.501,-146.989,0.157,3.585,隧道,-143.165,0.088,1.372,车中部车厢窗户外皮,-143.088,0.087,1.328,车中车厢左车门4-2,
2025:07:16:37:42:586,338.949,294.307,358.383,-0.878,0.007,0.479,-143.174,0.083,1.355,车中车厢内部窗户皮,-147.261,0.117,3.588,隧道,-143.128,0.083,1.330,车中车厢左车门4-2,
2025:07:16:37:42:608,339.598,292.570,358.695,-0.889,0.002,0.458,-143.217,0.080,1.356,车中车厢内部窗户皮,-147.555,0.087,3.591,隧道,-143.128,0.083,1.330,车中车厢左车门4-2,
2025:07:16:37:42:630,340.467,290.155,358.983,-0.905,-0.010,0.426,-143.288,0.071,1.356,车中车厢内部窗户皮,-148.047,0.019,3.598,隧道,-143.128,0.083,1.330,车中车厢左车门4-2,
2025:07:16:37:42:652,341.261,287.934,359.088,-0.921,-0.013,0.389,-143.378,0.068,1.357,车中车厢内部窗户皮,-148.687,-0.007,3.599,隧道,-143.128,0.083,1.330,车中车厢左车门4-2,
2025:07:16:37:42:674,342.247,285.239,359.178,-0.956,-0.023,0.291,-143.691,0.054,1.358,车中车厢内部窗户皮,-151.015,-0.122,3.588,隧道,-143.128,0.083,1.330,车中车厢左车门4-2,
2025:07:16:37:42:696,343.261,282.631,359.309,-0.978,-0.036,0.208,-154.573,-0.358,3.565,隧道,-151.015,-0.122,3.588,隧道,-143.128,0.083,1.330,车中车厢左车门4-2,
2025:07:16:37:42:726,344.731,279.030,359.487,-0.998,-0.042,-0.041,-215.495,-2.950,-2.002,道床.003,-240.000,-3.969,-3.020,Plane (1),-185.463,-1.701,-0.755,车中车内底板.001,
2025:07:16:37:42:749,346.036,275.805,359.498,-0.992,-0.053,-0.112,-178.507,-1.849,-3.050,应急疏散平台左侧空气墙,-164.287,-1.085,-1.438,车中车厢内部下部条纹,-178.676,-1.858,-3.069,隧道,
2025:07:16:37:42:771,347.034,272.923,359.615,-0.986,-0.064,-0.156,-168.334,-1.599,-3.050,应急疏散平台左侧空气墙,-169.152,-1.652,-3.179,隧道,-158.090,-0.930,-1.432,车中车厢内部中部条纹,
2025:07:16:37:42:793,347.571,270.358,359.893,-0.988,-0.040,-0.150,-169.248,-1.009,-3.050,应急疏散平台左侧空气墙,-171.603,-1.105,-3.409,隧道,-158.466,-0.568,-1.408,车中车厢内部窗户皮,
2025:07:16:37:42:816,348.098,267.815,359.988,-0.983,-0.042,-0.179,-164.809,-0.875,-3.050,应急疏散平台左侧空气墙,-167.000,-0.969,-3.450,隧道,-155.778,-0.486,-1.402,车中车厢内部窗户皮,
2025:07:16:37:42:838,348.357,266.262,0.094,-0.990,0.014,-0.140,-159.048,0.303,-1.334,车中车厢内部上部条纹,-174.682,0.518,-3.549,隧道,-155.778,-0.486,-1.402,车中车厢内部窗户皮,
2025:07:16:37:42:859,348.703,264.203,0.228,-0.990,0.014,-0.139,-159.196,0.317,-1.330,车中车厢内部上部条纹,-175.032,0.546,-3.546,隧道,-155.778,-0.486,-1.402,车中车厢内部窗户皮,
2025:07:16:37:42:882,348.842,262.212,0.255,-0.992,0.020,-0.123,-178.746,0.824,-3.494,隧道,-179.951,0.849,-3.643,隧道,-155.778,-0.486,-1.402,车中车厢内部窗户皮,
2025:07:16:37:42:905,348.975,260.242,0.339,-0.994,0.044,-0.098,-183.507,1.891,-3.051,隧道,-179.951,0.849,-3.643,隧道,-155.778,-0.486,-1.402,车中车厢内部窗户皮,
