TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:19:03:256,0.000,135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:417,0.000,135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:529,352.337,121.058,1.810,0.924,0.055,-0.377,-40.778,0.262,-1.341,车中车厢内部上部条纹,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:592,352.576,120.955,1.817,0.924,0.048,-0.379,-40.785,0.240,-1.344,车中车厢内部上部条纹,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:654,352.631,120.921,1.778,0.923,0.045,-0.383,-40.814,0.228,-1.346,车中车厢内部上部条纹,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:701,352.614,120.945,1.749,0.839,0.053,-0.542,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:724,352.603,120.961,1.782,0.826,0.054,-0.562,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:757,352.617,120.986,1.796,0.822,0.055,-0.567,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:790,352.656,121.012,1.772,0.817,0.055,-0.575,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:818,352.662,121.009,1.805,0.814,0.056,-0.578,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:840,352.694,120.995,1.815,0.812,0.056,-0.581,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:862,352.731,120.988,1.826,0.811,0.056,-0.582,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:885,352.744,120.995,1.780,0.811,0.056,-0.582,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:907,352.740,121.009,1.764,0.810,0.074,-0.582,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:930,352.733,121.030,1.739,0.809,0.078,-0.582,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:951,352.736,121.036,1.813,0.810,0.089,-0.580,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:974,352.775,121.017,1.817,0.841,0.092,-0.534,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:04:995,352.789,121.018,1.810,0.908,0.080,-0.410,-41.101,0.322,-1.329,车中车厢内部上部条纹,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:19:05:018,352.774,121.016,1.781,0.907,0.078,-0.414,-41.126,0.314,-1.331,车中车厢内部上部条纹,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
