TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:16:19:03:256,-44.000,0.000,0.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:16:19:04:417,-44.000,-0.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:529,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:592,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:654,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:701,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:724,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:757,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:790,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:818,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:840,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:862,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:885,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:907,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:930,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:951,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:974,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:04:995,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:018,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:039,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:062,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:083,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:107,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:136,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:157,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:179,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:202,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:223,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:247,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:268,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:291,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:313,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:334,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:357,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:380,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:401,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:424,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:447,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:468,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:491,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:513,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:534,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:557,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:579,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:601,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:624,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:646,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:668,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:19:05:691,-44.000,-1.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
