TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:34:39:905,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:34:41:086,0.000,180.000,0.000,0.081,-0.197,-0.977,-164.632,0.319,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:34:41:209,359.361,315.115,356.317,-0.753,-0.166,0.636,-167.994,-0.559,3.545,隧道,-165.373,0.020,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:281,359.288,314.650,356.800,-0.756,-0.160,0.635,-168.011,-0.537,3.547,隧道,-165.376,0.022,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:334,359.203,314.592,356.916,-0.735,-0.164,0.658,-167.832,-0.531,3.548,隧道,-165.359,0.022,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:392,359.075,314.888,357.069,-0.759,-0.154,0.633,-168.035,-0.516,3.549,隧道,-165.377,0.024,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:421,359.027,314.983,357.127,-0.758,-0.152,0.635,-168.025,-0.505,3.550,隧道,-165.375,0.025,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:441,359.009,315.016,357.175,-0.752,-0.152,0.641,-167.977,-0.503,3.550,隧道,-165.371,0.025,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:464,359.073,315.001,357.244,-0.721,-0.169,0.672,-167.729,-0.535,3.547,隧道,-165.348,0.022,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:487,359.146,314.959,357.300,-0.716,-0.174,0.676,-167.690,-0.549,3.546,隧道,-165.345,0.021,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:511,359.195,314.886,357.349,-0.706,-0.186,0.683,-167.625,-0.585,3.542,隧道,-165.340,0.017,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:532,359.167,314.815,357.393,-0.698,-0.199,0.688,-167.578,-0.624,3.539,隧道,-165.336,0.013,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:553,359.163,314.747,357.437,-0.695,-0.202,0.690,-167.558,-0.635,3.537,隧道,-165.335,0.012,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:583,359.197,314.601,357.514,-0.696,-0.202,0.689,-167.565,-0.636,3.537,隧道,-165.336,0.012,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:604,359.300,314.443,357.570,-0.697,-0.199,0.689,-167.568,-0.625,3.538,隧道,-165.337,0.013,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:628,359.408,314.224,357.600,-0.699,-0.199,0.687,-167.583,-0.627,3.538,隧道,-165.339,0.013,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:648,359.432,314.040,357.568,-0.700,-0.196,0.687,-167.588,-0.616,3.539,隧道,-165.340,0.014,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:672,359.440,313.845,357.509,-0.701,-0.195,0.686,-167.599,-0.615,3.539,隧道,-165.341,0.014,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:694,359.451,313.737,357.437,-0.700,-0.194,0.687,-167.593,-0.608,3.540,隧道,-165.341,0.014,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:715,359.526,313.691,357.392,-0.715,-0.215,0.666,-167.714,-0.705,3.530,隧道,-165.354,0.005,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:739,359.679,313.686,357.380,-0.717,-0.300,0.629,-167.761,-1.032,3.431,隧道,-165.372,-0.032,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:760,359.815,313.744,357.423,-0.714,-0.305,0.630,-167.742,-1.045,3.427,隧道,-165.370,-0.033,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:781,359.865,313.843,357.477,-0.714,-0.304,0.631,-167.736,-1.039,3.429,隧道,-165.369,-0.032,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:805,359.885,313.947,357.585,-0.711,-0.305,0.634,-167.713,-1.039,3.429,隧道,-165.367,-0.032,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:827,359.875,314.026,357.681,-0.710,-0.320,0.627,-167.720,-1.097,3.411,隧道,-165.369,-0.039,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:849,359.938,314.079,357.758,-0.708,-0.320,0.630,-167.701,-1.095,3.412,隧道,-165.367,-0.039,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:872,0.015,314.100,357.889,-0.706,-0.320,0.632,-167.687,-1.089,3.413,隧道,-165.365,-0.038,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:893,0.126,313.975,358.046,-0.705,-0.324,0.630,-167.687,-1.107,3.408,隧道,-165.367,-0.040,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:914,0.243,313.570,358.222,-0.708,-0.328,0.625,-167.711,-1.127,3.402,隧道,-165.371,-0.043,1.335,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:41:927,0.325,313.237,358.278,-0.710,-0.331,0.621,-167.731,-1.144,3.397,隧道,-165.375,-0.045,1.336,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:15:34:42:076,1.962,298.689,358.233,-0.975,0.071,0.209,-176.358,0.893,3.473,隧道,-166.419,0.172,1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:34:42:104,5.502,285.410,0.281,-0.997,0.057,-0.057,-240.000,4.397,-3.216,Plane (1),-216.685,3.052,-1.891,隧道.003,-219.979,3.643,-0.567,隧道.004,
2025:06:15:34:42:132,7.258,281.237,0.488,-0.973,-0.177,-0.147,-169.407,-0.696,0.387,82,-170.352,-0.868,0.245,22,-174.932,-1.701,-0.446,车中车内底板.001,
2025:06:15:34:42:160,9.069,278.000,0.416,-0.937,-0.280,-0.209,-176.372,-3.270,-1.482,隧道,-168.600,-0.951,0.251,78,-171.115,-1.701,-0.310,车中车内底板.001,
2025:06:15:34:42:182,10.232,276.272,0.368,-0.901,-0.377,-0.216,-173.549,-3.442,-0.995,隧道,-168.535,-1.340,0.206,78,-169.396,-1.701,0.000,车中车内底板.001,
2025:06:15:34:42:204,10.923,274.601,0.221,-0.884,-0.451,-0.125,-172.347,-3.599,-0.002,隧道,-168.699,-1.735,0.512,GameObject (2),-171.076,-2.950,0.177,道床,
2025:06:15:34:42:234,11.370,273.864,0.315,-0.890,-0.455,-0.032,-172.170,-3.515,0.755,隧道,-168.693,-1.735,0.881,GameObject (2),-171.066,-2.950,0.795,道床,
2025:06:15:34:42:266,12.039,272.721,0.547,-0.917,-0.395,0.057,-167.741,-1.038,1.168,SM_Fire_Extinguisher_Cabinet_01a,-172.914,-3.267,1.488,隧道,-169.281,-1.701,1.263,车中车内底板.001,
2025:06:15:34:42:293,12.271,272.449,0.998,-0.932,-0.353,0.075,-168.096,-1.038,1.244,SM_Fire_Extinguisher_Cabinet_01a,-173.686,-3.156,1.695,隧道,-169.847,-1.701,1.385,车中车内底板.001,
2025:06:15:34:42:315,12.494,272.372,1.335,-0.944,-0.320,0.084,-174.468,-3.083,1.831,隧道,-175.244,-3.347,1.900,隧道右侧空气墙,-170.009,-1.570,1.436,车中车厢内部下部条纹,
