TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:23:39:081,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:23:40:242,0.000,160.000,0.000,0.431,-0.184,-0.883,-40.291,-0.397,-3.561,隧道,-41.364,0.062,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:23:40:361,0.719,165.744,355.076,0.410,-0.155,-0.899,-40.475,-0.658,-3.535,隧道,-41.455,-0.289,-1.388,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:23:40:403,359.695,169.282,353.645,0.358,-0.127,-0.925,-40.793,-0.502,-3.551,隧道,-41.631,-0.204,-1.382,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:23:40:458,359.013,169.465,354.427,0.351,-0.086,-0.932,-40.834,-0.308,-3.570,隧道,-41.661,-0.107,-1.375,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:23:40:514,359.291,169.200,357.656,0.398,-0.098,-0.912,-40.597,-0.365,-3.564,隧道,-41.552,-0.132,-1.377,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:23:40:535,359.616,168.716,358.361,0.426,-0.105,-0.899,-40.446,-0.406,-3.560,隧道,-41.480,-0.150,-1.378,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:23:40:557,359.837,168.097,359.030,0.443,-0.112,-0.890,-40.353,-0.439,-3.557,隧道,-41.437,-0.165,-1.379,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:23:40:579,0.480,167.263,359.798,0.466,-0.126,-0.876,-40.270,-0.498,-3.452,疏散标识-12,-40.218,-0.512,-3.550,隧道,-41.371,-0.199,-1.381,车中车厢内部窗户皮,
2025:06:10:23:40:602,0.769,166.407,0.194,0.481,-0.133,-0.867,-40.127,-0.547,-3.546,隧道,-41.328,-0.215,-1.383,车中车厢内部窗户皮,-41.356,-0.197,-1.381,车中车厢内部窗户皮,
2025:06:10:23:40:623,0.729,165.600,0.326,0.496,-0.133,-0.858,-40.037,-0.551,-3.546,隧道,-41.288,-0.215,-1.383,车中车厢内部窗户皮,-41.356,-0.197,-1.381,车中车厢内部窗户皮,
2025:06:10:23:40:645,0.473,164.916,0.270,0.512,-0.129,-0.849,-39.943,-0.534,-3.547,隧道,-41.248,-0.205,-1.382,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:669,0.202,164.022,0.289,0.529,-0.124,-0.840,-39.836,-0.513,-3.549,隧道,-41.203,-0.194,-1.381,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:689,0.015,163.170,0.274,0.577,-0.120,-0.808,-39.505,-0.512,-3.550,隧道,-41.054,-0.192,-1.381,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:711,359.790,162.396,0.255,0.588,-0.114,-0.801,-39.429,-0.488,-3.552,隧道,-41.024,-0.178,-1.380,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:734,359.368,161.651,0.208,0.599,-0.105,-0.794,-39.346,-0.445,-3.556,隧道,-40.988,-0.158,-1.379,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:757,358.802,160.961,0.187,0.583,-0.094,-0.807,-39.466,-0.385,-3.562,隧道,-41.046,-0.130,-1.377,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:778,358.242,160.281,0.217,0.552,-0.082,-0.830,-39.691,-0.313,-3.569,隧道,-41.151,-0.096,-1.374,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:801,357.887,159.622,0.154,0.559,-0.075,-0.826,-39.643,-0.282,-3.572,隧道,-41.132,-0.082,-1.373,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:823,357.728,159.064,359.882,0.566,-0.071,-0.822,-39.599,-0.262,-3.574,隧道,-41.115,-0.072,-1.373,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:846,357.747,158.759,359.418,0.555,-0.061,-0.830,-39.674,-0.212,-3.579,隧道,-41.151,-0.049,-1.371,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
2025:06:10:23:40:867,357.815,158.594,358.697,0.555,-0.060,-0.829,-39.674,-0.205,-3.580,隧道,-41.153,-0.046,-1.371,车中车厢内部窗户皮,-41.269,-0.206,-1.382,车中车厢内部窗户皮,
