TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:10:23:39:081,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:10:23:40:242,-42.497,-1.181,0.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:23:40:361,-42.462,-1.621,0.855,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:23:40:403,-42.455,-1.621,0.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:23:40:458,-42.444,-1.621,0.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:23:40:514,-42.438,-1.621,0.743,0.375,0.000,-1.600,1.643,0.000,0.000,0.000,
2025:06:10:23:40:535,-42.433,-1.621,0.716,0.085,0.000,-0.433,0.442,0.000,0.000,0.000,
2025:06:10:23:40:557,-42.430,-1.621,0.700,0.194,0.000,-0.934,0.954,0.000,0.000,0.000,
2025:06:10:23:40:579,-42.428,-1.621,0.692,0.105,0.000,-0.474,0.485,0.000,0.000,0.000,
2025:06:10:23:40:602,-42.423,-1.621,0.670,0.119,0.000,-0.473,0.488,2.014,0.000,-8.513,
2025:06:10:23:40:623,-42.418,-1.621,0.649,0.307,0.000,-1.290,1.326,2.014,0.000,-8.513,
2025:06:10:23:40:645,-42.415,-1.621,0.638,0.160,0.000,-0.626,0.646,2.014,0.000,-8.513,
2025:06:10:23:40:669,-42.405,-1.621,0.605,0.211,0.000,-0.724,0.755,2.014,0.000,-8.513,
2025:06:10:23:40:689,-42.399,-1.621,0.585,0.373,0.000,-1.209,1.266,2.014,0.000,-8.513,
2025:06:10:23:40:711,-42.392,-1.621,0.563,0.209,0.000,-0.627,0.661,1.719,0.000,-3.581,
2025:06:10:23:40:734,-42.389,-1.621,0.557,0.207,0.000,-0.369,0.424,1.719,0.000,-3.581,
2025:06:10:23:40:757,-42.385,-1.621,0.548,0.206,0.000,-0.488,0.530,1.719,0.000,-3.581,
2025:06:10:23:40:778,-42.383,-1.621,0.543,0.125,0.000,-0.330,0.353,1.719,0.000,-3.581,
2025:06:10:23:40:801,-42.377,-1.621,0.528,0.119,0.000,-0.283,0.307,1.719,0.000,-3.581,
2025:06:10:23:40:823,-42.371,-1.621,0.515,0.343,0.000,-0.800,0.870,-2.547,0.000,9.262,
2025:06:10:23:40:846,-42.369,-1.621,0.508,0.159,0.000,-0.363,0.396,-2.547,0.000,9.262,
2025:06:10:23:40:867,-42.360,-1.621,0.489,0.160,0.000,-0.358,0.392,-2.547,0.000,9.262,
2025:06:10:23:40:891,-42.354,-1.621,0.475,0.360,0.000,-0.804,0.881,-2.547,0.000,9.262,
2025:06:10:23:40:912,-42.351,-1.621,0.469,0.164,0.000,-0.366,0.401,-2.547,0.000,9.262,
2025:06:10:23:40:934,-42.343,-1.621,0.451,0.167,0.000,-0.380,0.415,0.458,0.000,-0.823,
2025:06:10:23:40:957,-42.337,-1.621,0.437,0.348,0.000,-0.793,0.866,0.458,0.000,-0.823,
2025:06:10:23:40:979,-42.334,-1.621,0.431,0.167,0.000,-0.382,0.417,0.458,0.000,-0.823,
2025:06:10:23:41:002,-42.322,-1.621,0.402,0.278,0.000,-0.659,0.716,0.458,0.000,-0.823,
2025:06:10:23:41:023,-42.314,-1.621,0.383,0.479,0.000,-1.138,1.234,1.140,0.000,-2.936,
2025:06:10:23:41:047,-42.310,-1.621,0.373,0.249,0.000,-0.591,0.641,1.140,0.000,-2.936,
2025:06:10:23:41:068,-42.297,-1.621,0.342,0.260,0.000,-0.614,0.666,1.140,0.000,-2.936,
2025:06:10:23:41:092,-42.292,-1.621,0.332,0.248,0.000,-0.585,0.635,1.140,0.000,-2.936,
2025:06:10:23:41:112,-42.283,-1.621,0.310,0.557,0.000,-1.298,1.413,1.140,0.000,-2.936,
2025:06:10:23:41:134,-42.269,-1.621,0.279,0.243,0.000,-0.547,0.598,2.783,0.000,-6.391,
2025:06:10:23:41:157,-42.259,-1.621,0.256,0.617,0.000,-1.362,1.495,2.783,0.000,-6.391,
2025:06:10:23:41:179,-42.249,-1.621,0.235,0.267,0.000,-0.562,0.623,2.783,0.000,-6.391,
2025:06:10:23:41:192,-42.243,-1.621,0.223,0.000,0.000,0.000,0.000,2.783,0.000,-6.391,
2025:06:10:23:41:246,-42.214,-1.621,0.172,0.440,0.000,-0.734,0.856,-5.566,0.000,12.982,
2025:06:10:23:41:289,-42.187,-1.621,0.133,0.737,0.000,-0.966,1.215,-5.566,0.000,12.982,
2025:06:10:23:41:316,-42.168,-1.621,0.112,0.394,0.000,-0.431,0.584,-5.566,0.000,12.982,
2025:06:10:23:41:344,-42.140,-1.621,0.087,1.699,0.000,-1.482,2.254,3.944,0.000,-4.309,
2025:06:10:23:41:363,-42.095,-1.621,0.053,2.655,0.000,-2.005,3.327,3.944,0.000,-4.309,
2025:06:10:23:41:386,-41.999,-1.621,-0.005,2.191,0.000,-1.237,2.516,3.944,0.000,-4.309,
2025:06:10:23:41:407,-41.915,-1.621,-0.045,5.034,0.000,-2.384,5.570,3.944,0.000,-4.309,
2025:06:10:23:41:431,-41.793,-1.621,-0.082,3.953,0.000,-0.993,4.075,3.944,0.000,-4.309,
