TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:11:21:44:761,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:21:45:681,359.158,134.144,358.962,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:21:45:721,358.828,132.915,358.496,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:21:45:796,358.738,132.510,358.524,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:21:45:840,358.530,131.851,358.502,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:21:45:863,358.392,131.608,358.641,0.734,-0.012,-0.679,-37.521,-0.004,-3.600,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:21:45:895,358.333,131.293,358.657,0.737,0.013,-0.676,-37.497,0.164,-3.584,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:11:21:45:930,358.273,130.946,358.667,0.739,0.026,-0.674,-37.479,0.254,-3.575,隧道,-39.914,0.167,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:45:951,358.264,130.694,358.649,0.741,0.026,-0.671,-37.441,0.255,-3.575,隧道,-39.895,0.168,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:45:973,358.236,130.458,358.604,0.742,0.027,-0.669,-37.421,0.258,-3.575,隧道,-39.884,0.169,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:45:994,358.217,130.196,358.559,0.745,0.027,-0.667,-37.384,0.261,-3.574,隧道,-39.865,0.170,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:017,358.194,129.898,358.531,0.747,0.028,-0.664,-37.347,0.264,-3.574,隧道,-39.846,0.172,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:040,358.155,129.567,358.502,0.750,0.028,-0.661,-37.303,0.269,-3.573,隧道,-39.823,0.175,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:061,358.096,129.245,358.505,0.753,0.029,-0.657,-37.252,0.277,-3.573,隧道,-39.796,0.179,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:084,358.062,128.885,358.530,0.755,0.030,-0.655,-37.214,0.282,-3.572,隧道,-39.777,0.181,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:106,358.036,128.496,358.544,0.759,0.030,-0.651,-37.160,0.286,-3.572,隧道,-39.749,0.183,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:127,358.029,128.145,358.541,0.760,0.030,-0.649,-37.131,0.287,-3.572,隧道,-39.734,0.183,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:150,358.032,127.743,358.558,0.764,0.030,-0.644,-37.065,0.288,-3.572,隧道,-39.699,0.184,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:174,358.029,127.302,358.597,0.764,0.030,-0.645,-37.070,0.287,-3.572,隧道,-39.701,0.184,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:195,358.035,126.951,358.618,0.750,0.029,-0.661,-37.295,0.276,-3.573,隧道,-39.814,0.178,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:216,358.033,126.497,358.626,0.750,0.029,-0.661,-37.296,0.275,-3.573,隧道,-39.814,0.178,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:238,358.038,125.993,358.640,0.746,0.029,-0.665,-37.342,0.271,-3.573,隧道,-39.836,0.176,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:268,358.061,125.280,358.664,0.744,0.028,-0.667,-37.375,0.265,-3.574,隧道,-39.851,0.173,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:290,358.059,124.719,358.687,0.745,0.028,-0.666,-37.359,0.264,-3.574,隧道,-39.842,0.172,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:312,358.024,124.134,358.701,0.746,0.034,-0.665,-37.341,0.310,-3.570,隧道,-39.832,0.195,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:07:11:21:46:335,357.973,123.573,358.698,0.794,0.052,-0.606,-39.421,0.271,-1.339,车中车厢内部上部条纹,-36.521,0.460,-3.555,隧道,0.000,0.000,0.000,Null,
2025:07:11:21:46:357,357.957,122.928,358.725,0.890,0.059,-0.453,-33.624,0.656,-3.535,隧道,-33.755,0.648,-3.536,隧道,0.000,0.000,0.000,Null,
2025:07:11:21:46:379,357.998,122.409,358.808,0.967,0.054,-0.249,-25.455,1.021,-3.434,隧道,-33.755,0.648,-3.536,隧道,0.000,0.000,0.000,Null,
2025:07:11:21:46:401,358.066,121.469,358.924,0.979,0.049,-0.198,-21.053,1.139,-3.398,隧道,-33.755,0.648,-3.536,隧道,0.000,0.000,0.000,Null,
2025:07:11:21:46:423,358.136,120.907,359.007,0.979,0.037,-0.198,-19.943,0.927,-3.620,隧道,-20.677,0.899,-3.471,隧道,0.000,0.000,0.000,Null,
2025:07:11:21:46:446,358.227,120.207,359.108,0.980,0.028,-0.199,-19.943,0.716,-3.626,隧道,-31.351,0.392,-1.312,车中车厢内部上部条纹,-20.415,0.703,-3.531,隧道,
2025:07:11:21:46:468,358.316,119.496,359.228,0.982,0.024,-0.190,-19.275,0.641,-3.537,隧道,-30.746,0.362,-1.320,车中车厢内部上部条纹,-20.415,0.703,-3.531,隧道,
2025:07:11:21:46:491,358.378,118.769,359.342,0.986,0.009,-0.167,-15.902,0.322,-3.568,隧道,-28.962,0.202,-1.350,车中车厢内部窗户皮,-20.415,0.703,-3.531,隧道,
2025:07:11:21:46:513,358.577,118.059,359.493,0.985,0.003,-0.172,-16.494,0.157,-3.585,隧道,-28.508,0.175,-1.353,车中车厢内部窗户皮,-20.415,0.703,-3.531,隧道,
2025:07:11:21:46:535,358.697,117.393,359.602,0.985,0.002,-0.173,-16.707,0.129,-3.587,隧道,-28.508,0.175,-1.353,车中车厢内部窗户皮,-20.415,0.703,-3.531,隧道,
2025:07:11:21:46:557,358.885,116.585,359.725,0.987,-0.002,-0.164,-15.060,0.030,-3.597,隧道,-28.522,0.054,-1.364,车中车厢内部窗户皮,-20.415,0.703,-3.531,隧道,
2025:07:11:21:46:580,359.128,116.072,359.812,0.987,-0.004,-0.158,-14.077,-0.022,-3.598,隧道,-28.013,0.027,-1.365,SM_Plug_01a (7),-28.011,0.027,-1.366,车中车厢内部窗户皮,
2025:07:11:21:46:602,359.488,115.382,359.908,0.988,-0.008,-0.152,-12.963,-0.161,-3.584,隧道,-28.013,-0.039,-1.271,SM_Plug_01a (7),-28.011,0.027,-1.366,车中车厢内部窗户皮,
2025:07:11:21:46:624,359.855,114.711,0.009,0.989,-0.013,-0.144,-26.432,-0.126,-1.387,车中部车厢窗户外皮,-11.479,-0.318,-3.569,隧道,-28.011,0.027,-1.366,车中车厢内部窗户皮,
2025:07:11:21:46:646,0.393,113.958,0.126,0.990,-0.018,-0.141,-10.718,-0.482,-3.553,隧道,-26.009,-0.211,-1.382,车中车厢内部窗户皮,-28.011,0.027,-1.366,车中车厢内部窗户皮,
