TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:17:00:646,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:01:895,0.000,160.000,0.000,0.296,-0.149,-0.943,-41.064,0.513,-3.549,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:002,356.992,262.812,0.427,0.296,-0.149,-0.943,-41.230,-0.636,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:112,356.627,263.214,0.397,0.296,-0.149,-0.943,-41.229,-0.636,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:173,356.445,263.147,0.294,0.296,-0.149,-0.943,-41.229,-0.636,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:227,356.259,262.930,0.052,0.296,-0.149,-0.943,-41.229,-0.636,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:260,356.418,262.638,0.149,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:287,356.453,262.564,0.230,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:315,356.423,262.466,0.326,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:341,356.353,262.369,0.364,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:371,356.320,262.279,0.383,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:395,356.340,262.282,0.353,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:417,356.378,262.324,0.360,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:441,356.432,262.439,0.346,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:462,356.469,262.565,0.311,0.296,-0.149,-0.943,-41.230,-0.635,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:17:02:484,356.448,262.689,0.262,-0.990,-0.115,-0.085,-57.916,-1.701,-0.324,车中车内底板.001,-56.921,-1.585,-0.239,32,-71.400,-3.273,-1.476,隧道,
2025:06:16:17:02:507,356.427,262.853,0.246,-0.990,-0.114,-0.084,-58.056,-1.701,-0.331,车中车内底板.001,-56.855,-1.563,-0.228,32,-71.618,-3.268,-1.486,隧道,
2025:06:16:17:02:528,356.394,263.035,0.216,-0.990,-0.112,-0.087,-58.451,-1.701,-0.413,车中车内底板.001,-56.897,-1.526,-0.276,32,-71.839,-3.209,-1.596,隧道,
2025:06:16:17:02:551,356.387,263.207,0.188,-0.990,-0.108,-0.089,-59.012,-1.701,-0.494,车中车内底板.001,-72.368,-3.154,-1.699,隧道,-70.489,-2.950,-1.529,道床,
2025:06:16:17:02:574,356.413,263.332,0.222,-0.990,-0.108,-0.088,-58.971,-1.701,-0.469,车中车内底板.001,-56.837,-1.469,-0.280,32,-72.445,-3.171,-1.668,隧道,
2025:06:16:17:02:595,356.415,263.561,0.208,-0.990,-0.107,-0.087,-59.095,-1.701,-0.456,车中车内底板.001,-56.777,-1.450,-0.253,32,-72.754,-3.180,-1.651,隧道,
2025:06:16:17:02:616,356.343,263.777,0.160,-0.991,-0.105,-0.084,-59.377,-1.701,-0.441,车中车内底板.001,-56.710,-1.418,-0.214,32,-73.365,-3.190,-1.632,隧道,
2025:06:16:17:02:638,356.299,264.010,0.096,-0.991,-0.104,-0.081,-59.603,-1.701,-0.395,车中车内底板.001,-56.639,-1.390,-0.154,32,-74.083,-3.222,-1.573,隧道,
2025:06:16:17:02:661,356.300,264.212,0.120,-0.992,-0.103,-0.077,-59.810,-1.701,-0.339,车中车内底板.001,-56.602,-1.369,-0.092,32,-74.845,-3.261,-1.499,隧道,
2025:06:16:17:02:682,356.324,264.435,0.148,-0.992,-0.102,-0.072,-59.894,-1.701,-0.263,车中车内底板.001,-54.339,-1.128,0.139,59,-56.600,-1.361,-0.025,32,
2025:06:16:17:02:704,356.382,264.496,0.187,-0.992,-0.102,-0.071,-59.962,-1.701,-0.248,车中车内底板.001,-54.343,-1.124,0.153,59,-56.562,-1.352,-0.005,32,
2025:06:16:17:02:725,356.487,264.598,0.282,-0.992,-0.102,-0.070,-59.932,-1.701,-0.226,车中车内底板.001,-54.343,-1.126,0.166,59,-56.542,-1.352,0.011,32,
2025:06:16:17:02:748,356.617,264.709,0.305,-0.992,-0.103,-0.069,-59.750,-1.701,-0.195,车中车内底板.001,-54.340,-1.138,0.178,59,-56.540,-1.367,0.026,32,
2025:06:16:17:02:773,356.724,264.820,0.529,-0.992,-0.103,-0.068,-59.770,-1.701,-0.180,车中车内底板.001,-54.349,-1.138,0.189,59,-56.507,-1.362,0.042,32,
2025:06:16:17:02:795,356.799,264.844,0.636,-0.992,-0.103,-0.067,-59.784,-1.701,-0.164,车中车内底板.001,-54.351,-1.137,0.200,59,-56.502,-1.361,0.056,32,
2025:06:16:17:02:816,356.920,264.792,0.666,-0.992,-0.102,-0.069,-59.901,-1.701,-0.215,车中车内底板.001,-54.366,-1.130,0.171,59,-56.426,-1.343,0.027,32,
2025:06:16:17:02:839,357.067,264.728,0.744,-0.992,-0.103,-0.071,-59.715,-1.701,-0.233,车中车内底板.001,-54.395,-1.147,0.147,59,-56.357,-1.351,0.007,32,
2025:06:16:17:02:860,357.198,264.660,0.864,-0.992,-0.104,-0.074,-59.702,-1.701,-0.289,车中车内底板.001,-54.480,-1.156,0.102,59,-56.297,-1.346,-0.034,32,
2025:06:16:17:02:881,357.346,264.552,1.009,-0.991,-0.105,-0.077,-59.405,-1.701,-0.309,车中车内底板.001,-56.269,-1.368,-0.067,32,-57.291,-1.477,-0.146,72,
2025:06:16:17:02:903,357.534,264.372,1.139,-0.992,-0.100,-0.081,-60.250,-1.701,-0.449,车中车内底板.001,-56.209,-1.293,-0.120,32,-57.272,-1.400,-0.206,72,
2025:06:16:17:02:925,357.754,264.209,1.254,-0.992,-0.091,-0.086,-61.988,-1.701,-0.683,车中车内底板.001,-56.186,-1.167,-0.183,32,-59.290,-1.453,-0.450,45,
2025:06:16:17:02:945,358.007,264.027,1.434,-0.992,-0.091,-0.090,-62.112,-1.701,-0.775,车中车内底板.001,-52.679,-0.839,0.078,4,-56.184,-1.159,-0.239,32,
2025:06:16:17:02:978,358.244,263.736,1.484,-0.991,-0.086,-0.097,-63.081,-1.701,-1.025,车中车内底板.001,-52.656,-0.793,0.000,4,-49.198,-0.492,0.340,98,
2025:06:16:17:02:999,358.352,263.459,1.441,-0.991,-0.085,-0.104,-63.483,-1.701,-1.196,车中车内底板.001,-52.654,-0.776,-0.064,4,-49.176,-0.479,0.300,98,
2025:06:16:17:03:021,358.462,263.189,1.449,-0.990,-0.082,-0.111,-64.316,-1.711,-1.445,车中车厢内部下部条纹,-64.196,-1.701,-1.431,车中车内底板.001,-52.714,-0.753,-0.145,4,
2025:06:16:17:03:043,358.626,262.934,1.419,-0.990,-0.082,-0.117,-63.205,-1.622,-1.445,车中车厢内部下部条纹,-64.166,-1.701,-1.558,车中车内底板.001,-52.785,-0.760,-0.215,4,
2025:06:16:17:03:066,358.792,262.732,1.299,-0.990,-0.070,-0.124,-74.906,-2.207,-3.050,应急疏散平台左侧空气墙,-62.043,-1.296,-1.443,车中车厢内部下部条纹,-67.040,-1.650,-2.067,应急疏散平台.004|应急疏散平台|Dupli|,
2025:06:16:17:03:088,359.070,262.428,1.153,-0.989,-0.074,-0.130,-73.246,-2.198,-3.050,应急疏散平台左侧空气墙,-61.042,-1.290,-1.443,车中车厢内部下部条纹,-65.937,-1.654,-2.087,应急疏散平台.004|应急疏散平台|Dupli|,
2025:06:16:17:03:110,359.344,262.175,1.082,-0.988,-0.074,-0.136,-71.936,-2.120,-3.050,应急疏散平台左侧空气墙,-65.937,-1.669,-2.225,应急疏散平台.004|应急疏散平台|Dupli|,-65.681,-1.650,-2.189,应急疏散平台.003|应急疏散平台|Dupli|,
