TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:04:54:820,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:04:55:848,28.647,232.079,353.894,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:04:55:922,30.603,225.332,350.391,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:04:56:010,32.069,219.098,347.544,-0.271,-0.698,-0.663,-43.781,-2.978,-2.018,隧道,-43.285,-1.701,-0.806,车中车内底板.001,-43.770,-2.950,-1.992,道床,
2025:06:20:04:56:055,33.299,215.266,345.384,-0.150,-0.788,-0.597,-43.211,-3.203,-1.608,隧道,-42.925,-1.701,-0.471,车中车内底板.001,-43.163,-2.950,-1.416,道床,
2025:06:20:04:56:092,33.723,211.983,344.229,-0.092,-0.828,-0.553,-42.955,-3.317,-1.395,隧道,-42.776,-1.701,-0.316,车中车内底板.001,-42.914,-2.950,-1.150,道床,
2025:06:20:04:56:123,33.672,210.978,344.382,-0.077,-0.840,-0.537,-42.891,-3.345,-1.315,隧道,-42.740,-1.701,-0.265,车中车内底板.001,-42.855,-2.950,-1.062,道床,
2025:06:20:04:56:146,33.745,210.429,344.623,-0.069,-0.850,-0.522,-42.856,-3.366,-1.246,隧道,-42.721,-1.701,-0.223,车中车内底板.001,-42.822,-2.950,-0.991,道床,
2025:06:20:04:56:169,33.669,209.708,344.679,-0.065,-0.850,-0.522,-42.838,-3.366,-1.245,隧道,-42.710,-1.701,-0.223,车中车内底板.001,-42.806,-2.950,-0.989,道床,
2025:06:20:04:56:190,33.594,209.151,344.710,-0.065,-0.850,-0.523,-42.835,-3.364,-1.251,隧道,-42.709,-1.701,-0.227,车中车内底板.001,-42.804,-2.950,-0.996,道床,
