TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:11:02:513,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:11:03:723,0.000,160.000,0.000,0.270,-0.080,-0.960,-41.228,0.848,-3.487,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:11:03:825,351.149,342.537,357.347,-0.231,0.071,0.970,-43.125,0.257,3.575,隧道,-42.589,0.092,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:03:881,351.209,341.865,357.128,-0.238,0.069,0.969,-43.145,0.251,3.575,隧道,-42.592,0.092,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:03:938,351.261,341.542,357.152,-0.241,0.067,0.968,-43.154,0.247,3.576,隧道,-42.594,0.091,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:03:994,351.260,340.538,357.293,-0.257,0.061,0.965,-43.198,0.234,3.577,隧道,-42.599,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:013,351.218,340.225,357.382,-0.260,0.061,0.964,-43.209,0.233,3.577,隧道,-42.601,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:038,351.164,339.986,357.461,-0.262,0.060,0.963,-43.214,0.230,3.577,隧道,-42.602,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:058,351.171,339.755,357.502,-0.266,0.059,0.962,-43.224,0.229,3.577,隧道,-42.603,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:081,351.190,339.503,357.547,-0.269,0.058,0.961,-43.234,0.226,3.578,隧道,-42.605,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:103,351.217,339.272,357.563,-0.271,0.057,0.961,-43.242,0.224,3.578,隧道,-42.606,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:124,351.213,339.066,357.545,-0.272,0.056,0.961,-43.243,0.220,3.578,隧道,-42.606,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:146,351.158,338.835,357.543,-0.275,0.056,0.960,-43.252,0.220,3.578,隧道,-42.608,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:171,351.115,338.631,357.526,-0.276,0.056,0.960,-43.256,0.221,3.578,隧道,-42.609,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:193,351.055,338.461,357.534,-0.276,0.056,0.959,-43.258,0.221,3.578,隧道,-42.609,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:214,350.981,338.309,357.512,-0.277,0.057,0.959,-43.259,0.223,3.578,隧道,-42.610,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:235,350.942,338.174,357.487,-0.277,0.057,0.959,-43.261,0.224,3.578,隧道,-42.610,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:257,350.902,338.043,357.485,-0.278,0.058,0.959,-43.263,0.226,3.578,隧道,-42.611,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:280,350.889,337.834,357.508,-0.279,0.059,0.959,-43.266,0.228,3.578,隧道,-42.611,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:302,350.918,337.617,357.550,-0.282,0.059,0.958,-43.275,0.228,3.577,隧道,-42.613,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:325,350.938,337.389,357.529,-0.283,0.059,0.957,-43.280,0.229,3.577,隧道,-42.614,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:345,350.980,337.144,357.516,-0.286,0.057,0.956,-43.289,0.225,3.578,隧道,-42.615,0.090,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:368,351.044,336.861,357.540,-0.288,0.054,0.956,-43.293,0.216,3.579,隧道,-42.616,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:392,351.092,336.600,357.540,-0.290,0.053,0.955,-43.301,0.213,3.579,隧道,-42.617,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:413,351.108,336.371,357.526,-0.291,0.051,0.955,-43.304,0.209,3.579,隧道,-42.618,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:438,351.119,336.130,357.529,-0.294,0.050,0.955,-43.313,0.207,3.580,隧道,-42.619,0.089,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:458,351.116,335.890,357.550,-0.297,0.050,0.954,-43.321,0.206,3.580,隧道,-42.620,0.088,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:480,351.132,335.596,357.600,-0.340,0.033,0.940,-43.448,0.164,3.584,隧道,-42.631,0.085,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:503,351.167,335.248,357.628,-0.319,0.041,0.947,-43.387,0.185,3.582,隧道,-42.627,0.087,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:524,351.204,334.833,357.651,-0.456,-0.003,0.890,-43.822,0.072,3.593,隧道,-42.662,0.078,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:546,351.244,334.302,357.759,-0.492,-0.016,0.870,-43.957,0.032,3.597,隧道,-42.674,0.075,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:570,351.274,333.592,357.890,-0.511,-0.020,0.859,-44.031,0.022,3.598,隧道,-42.682,0.074,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:593,351.325,332.592,357.983,-0.521,-0.018,0.853,-44.075,0.026,3.597,隧道,-42.688,0.074,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:603,351.355,332.090,358.024,-0.523,-0.016,0.852,-44.081,0.033,3.597,隧道,-42.690,0.075,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:636,351.496,330.070,358.170,-0.543,-0.013,0.840,-44.168,0.040,3.596,隧道,-42.703,0.075,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:662,351.643,328.331,358.258,-0.561,-0.013,0.828,-44.250,0.040,3.596,隧道,-42.714,0.075,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:697,351.852,325.508,358.414,-0.590,-0.014,0.808,-44.391,0.037,3.596,隧道,-42.734,0.075,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:720,352.005,323.293,358.550,-0.633,0.000,0.774,-44.611,0.078,3.592,隧道,-42.759,0.079,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:742,352.161,321.100,358.640,-0.749,0.055,0.660,-45.382,0.282,3.572,隧道,-42.833,0.096,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:762,352.333,318.425,358.783,-0.807,0.070,0.586,-45.972,0.373,3.563,隧道,-42.894,0.104,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:784,352.562,315.505,358.991,-0.839,0.078,0.539,-46.422,0.434,3.557,隧道,-42.946,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:806,352.802,312.766,359.103,-0.850,0.084,0.520,-46.617,0.474,3.553,隧道,-42.976,0.115,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:826,353.069,310.087,359.208,-0.841,0.085,0.534,-46.482,0.472,3.554,隧道,-42.976,0.115,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:850,353.388,306.951,359.319,-0.793,0.102,0.601,-45.870,0.495,3.551,隧道,-42.931,0.118,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:873,353.761,303.852,359.386,-0.791,0.109,0.602,-45.866,0.525,3.548,隧道,-42.943,0.122,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:895,354.123,301.012,359.538,-0.776,0.103,0.622,-45.713,0.486,3.552,隧道,-42.938,0.119,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:918,354.553,297.620,359.700,-0.810,0.107,0.576,-46.115,0.537,3.547,隧道,-42.992,0.126,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:16:11:04:939,355.065,293.863,359.805,-0.883,0.077,0.464,-43.190,0.127,1.352,车中车厢内部窗户皮,-47.375,0.490,3.552,隧道,-43.087,0.121,1.326,车中车厢左车门4-2,
2025:06:16:11:04:960,355.350,291.671,359.943,-0.948,0.042,0.315,-43.532,0.118,1.352,车中车厢内部窗户皮,-50.165,0.414,3.559,隧道,-43.098,0.123,1.326,车中车厢左车门4-2,
2025:06:16:11:04:984,355.794,288.306,0.237,-0.959,0.036,0.282,-43.680,0.118,1.353,车中车厢内部窗户皮,-51.182,0.401,3.561,隧道,-43.098,0.123,1.326,车中车厢左车门4-2,
2025:06:16:11:05:005,356.234,284.901,0.501,-0.999,-0.038,0.009,-126.635,-3.101,1.799,隧道,-91.267,-1.762,1.479,GameObject (1),-46.519,-0.068,1.074,underground-connection (2),
2025:06:16:11:05:026,356.561,282.444,0.699,-0.996,-0.056,-0.068,-57.043,-0.732,0.042,3,-91.958,-2.699,-2.359,隧道,-69.613,-1.440,-0.822,车中车厢座椅,
2025:06:16:11:05:047,357.003,278.981,0.857,-0.985,-0.080,-0.152,-69.103,-2.072,-3.050,应急疏散平台左侧空气墙,-58.655,-1.223,-1.441,车中车厢内部下部条纹,-63.911,-1.650,-2.251,应急疏散平台.002|应急疏散平台|Dupli|,
2025:06:16:11:05:069,357.211,276.896,0.850,-0.981,-0.105,-0.161,-67.477,-2.571,-3.050,应急疏散平台左侧空气墙,-57.679,-1.526,-1.445,车中车厢内部下部条纹,-59.326,-1.701,-1.714,车中车内底板.001,
2025:06:16:11:05:091,357.496,274.463,0.878,-0.980,-0.113,-0.163,-57.424,-1.620,-1.445,车中车厢内部下部条纹,-58.134,-1.701,-1.563,车中车内底板.001,-55.570,-1.407,-1.137,车中车厢座椅,
