TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:25:04:104,0.000,135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:315,0.000,135.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:451,4.384,121.296,3.326,0.877,-0.022,-0.480,-41.520,0.018,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:485,4.121,121.241,3.322,0.877,-0.017,-0.480,-41.518,0.032,-1.365,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:544,4.001,121.212,3.319,0.876,-0.013,-0.482,-41.531,0.043,-1.364,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:592,3.863,121.191,3.339,0.876,-0.010,-0.482,-41.537,0.052,-1.364,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:610,3.810,121.197,3.384,0.876,-0.008,-0.483,-41.540,0.056,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:635,3.791,121.186,3.402,0.876,-0.007,-0.483,-41.540,0.059,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:656,3.765,121.179,3.398,0.875,-0.006,-0.484,-41.545,0.061,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:689,3.732,121.158,3.429,0.875,-0.005,-0.483,-41.544,0.064,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:711,3.694,121.140,3.447,0.875,-0.005,-0.483,-41.544,0.066,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:25:05:734,3.656,121.107,3.447,0.875,-0.003,-0.483,-41.545,0.070,-1.362,车中车厢内部窗户皮,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
