TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:25:38:734,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:25:39:893,0.000,160.000,0.000,0.156,-0.010,-0.988,-41.774,1.068,-3.420,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:25:40:029,10.580,43.152,359.563,0.722,-0.190,0.666,-39.762,-0.616,3.539,隧道,-42.153,0.014,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:154,10.560,43.100,359.558,0.727,-0.190,0.660,-39.719,-0.621,3.539,隧道,-42.149,0.014,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:215,10.570,43.172,359.542,0.727,-0.190,0.659,-39.718,-0.622,3.539,隧道,-42.149,0.014,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:264,10.587,43.154,359.529,0.727,-0.191,0.660,-39.724,-0.623,3.539,隧道,-42.150,0.013,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:292,10.629,43.105,359.534,0.723,-0.192,0.664,-39.750,-0.623,3.539,隧道,-42.152,0.014,1.335,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:313,10.630,43.106,359.543,0.726,-0.172,0.666,-39.744,-0.551,3.546,隧道,-42.153,0.021,1.334,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:334,10.638,43.116,359.548,0.728,-0.156,0.668,-39.738,-0.492,3.551,隧道,-42.153,0.026,1.334,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:362,10.625,43.149,359.502,0.728,-0.132,0.672,-39.743,-0.403,3.560,隧道,-42.155,0.035,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:385,10.660,43.168,359.437,0.728,-0.124,0.674,-39.746,-0.373,3.563,隧道,-42.156,0.037,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:25:40:405,10.673,43.186,359.452,0.728,-0.120,0.675,-39.749,-0.360,3.565,隧道,-42.156,0.039,1.333,车中车厢左车门4-1,0.000,0.000,0.000,Null,
