TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:11:59:967,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:208,0.000,160.000,0.000,0.239,0.053,-0.970,-41.423,1.435,-3.296,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:325,10.115,208.728,2.278,-0.576,-0.111,-0.810,-45.717,-0.526,-3.548,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:378,10.358,209.871,1.109,-0.599,-0.115,-0.793,-45.911,-0.560,-3.545,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:435,10.039,211.309,0.906,-0.615,-0.108,-0.781,-46.062,-0.534,-3.547,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:493,10.111,212.401,1.465,-0.633,-0.107,-0.766,-46.233,-0.538,-3.547,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:524,10.028,212.320,1.247,-0.632,-0.106,-0.768,-46.220,-0.530,-3.548,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:553,9.506,212.308,1.746,-0.631,-0.089,-0.771,-46.208,-0.431,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:580,9.202,212.311,2.185,-0.626,-0.071,-0.777,-46.160,-0.327,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:610,8.405,212.452,2.723,-0.627,-0.049,-0.778,-46.171,-0.204,-3.580,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:633,7.990,212.448,3.353,-0.625,-0.037,-0.780,-46.154,-0.135,-3.587,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:658,7.679,212.473,3.944,-0.623,-0.026,-0.782,-46.137,-0.070,-3.593,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:680,7.247,212.407,4.288,-0.621,-0.017,-0.784,-46.120,-0.016,-3.598,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:703,6.811,212.227,4.407,-0.616,-0.008,-0.788,-46.076,0.035,-3.597,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:725,6.427,211.911,4.530,-0.610,-0.009,-0.792,-46.020,0.027,-3.597,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:748,6.350,211.606,4.677,-0.602,-0.019,-0.798,-45.949,-0.029,-3.597,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:768,6.663,211.337,4.783,-0.596,-0.041,-0.802,-45.889,-0.149,-3.585,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:791,7.080,211.071,4.812,-0.591,-0.073,-0.803,-45.845,-0.323,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:811,7.389,211.157,4.775,-0.596,-0.093,-0.798,-45.888,-0.435,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:833,7.675,211.667,4.581,-0.625,-0.112,-0.772,-46.154,-0.564,-3.545,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:12:01:856,7.412,212.253,4.042,-0.676,-0.138,-0.724,-47.004,-0.824,-3.861,应急疏散平台左侧空气墙,-46.680,-0.757,-3.514,隧道,0.000,0.000,0.000,Null,
2025:06:15:12:01:878,6.964,212.613,4.409,-0.752,-0.192,-0.631,-47.257,-1.117,-3.050,应急疏散平台左侧空气墙,-45.305,-0.618,-1.412,车中车厢内部窗户皮,-47.645,-1.216,-3.375,隧道,
2025:06:15:12:01:901,6.748,213.129,5.003,-0.783,-0.218,-0.582,-47.864,-1.392,-3.050,应急疏散平台左侧空气墙,-45.717,-0.794,-1.455,GameObject,-48.164,-1.476,-3.274,隧道,
2025:06:15:12:01:925,7.199,213.959,5.420,-0.807,-0.253,-0.534,-48.522,-1.781,-3.050,应急疏散平台左侧空气墙,-45.874,-0.952,-1.299,13,-46.109,-1.026,-1.455,GameObject,
2025:06:15:12:01:947,7.821,214.899,5.317,-0.813,-0.264,-0.519,-48.735,-1.919,-3.050,应急疏散平台左侧空气墙,-45.906,-1.000,-1.244,13,-46.238,-1.108,-1.455,GameObject,
2025:06:15:12:01:971,7.972,216.044,5.200,-0.823,-0.264,-0.504,-49.000,-1.976,-3.050,应急疏散平台左侧空气墙,-45.971,-1.006,-1.194,13,-46.397,-1.142,-1.455,GameObject,
2025:06:15:12:01:994,7.907,217.583,4.790,-0.834,-0.262,-0.486,-49.332,-2.039,-3.050,应急疏散平台左侧空气墙,-46.566,-1.170,-1.437,车中车厢内部下部条纹,-49.227,-2.006,-2.989,隧道,
2025:06:15:12:02:017,7.488,219.449,4.117,-0.845,-0.252,-0.471,-49.656,-2.030,-3.050,应急疏散平台左侧空气墙,-46.761,-1.165,-1.437,车中车厢内部下部条纹,-49.555,-2.000,-2.993,隧道,
2025:06:15:12:02:040,6.516,221.484,4.000,-0.862,-0.226,-0.454,-50.078,-1.886,-3.050,应急疏散平台左侧空气墙,-47.011,-1.081,-1.435,车中车厢内部下部条纹,-50.084,-1.888,-3.053,隧道,
2025:06:15:12:02:062,5.505,223.624,4.050,-0.878,-0.202,-0.434,-50.577,-1.757,-3.050,应急疏散平台左侧空气墙,-50.696,-1.784,-3.109,隧道,-45.260,-0.533,-0.421,19,
2025:06:15:12:02:085,4.171,226.466,3.750,-0.900,-0.176,-0.399,-51.508,-1.666,-3.050,应急疏散平台左侧空气墙,-51.730,-1.710,-3.148,隧道,-45.405,-0.470,-0.343,19,
2025:06:15:12:02:107,2.679,229.461,3.445,-0.939,-0.117,-0.325,-54.040,-1.347,-3.050,应急疏散平台左侧空气墙,-46.565,-0.414,-0.464,8,-54.748,-1.436,-3.295,隧道,
2025:06:15:12:02:130,1.395,232.192,3.487,-0.970,-0.068,-0.232,-59.185,-1.089,-3.050,应急疏散平台左侧空气墙,-60.581,-1.187,-3.384,隧道,-54.748,-1.436,-3.295,隧道,
2025:06:15:12:02:153,0.405,234.594,3.684,-0.984,-0.044,-0.172,-65.296,-0.943,-3.050,应急疏散平台左侧空气墙,-55.880,-0.519,-1.404,车中车厢内部窗户皮,-67.459,-1.041,-3.428,隧道,
2025:06:15:12:02:176,359.338,236.898,3.975,-0.995,-0.005,-0.096,-65.830,-0.029,-1.311,SM_Plug_01a (4),-89.517,-0.140,-3.586,隧道,-66.445,-0.032,-1.370,车中车厢内部窗户皮,
2025:06:15:12:02:199,358.084,238.965,4.001,-0.996,0.003,-0.086,-94.501,0.218,-3.578,隧道,-69.085,0.150,-1.373,车中部车厢窗户外皮,-66.445,-0.032,-1.370,车中车厢内部窗户皮,
2025:06:15:12:02:224,356.752,240.852,3.979,-0.996,0.010,-0.088,-68.112,0.327,-1.328,车中车厢内部上部条纹,-93.142,0.571,-3.544,隧道,-66.445,-0.032,-1.370,车中车厢内部窗户皮,
