TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:30:37:798,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:30:39:008,0.000,160.000,0.000,0.257,0.053,-0.965,-41.330,1.343,-3.336,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:30:39:141,359.569,44.165,356.927,0.751,0.063,0.657,-39.579,0.313,3.569,隧道,-42.142,0.100,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:30:39:235,0.299,43.506,357.516,0.721,0.055,0.691,-39.827,0.276,3.573,隧道,-42.167,0.096,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:30:39:290,0.762,43.231,357.791,0.718,0.047,0.695,-39.850,0.245,3.576,隧道,-42.170,0.093,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:30:39:344,1.051,43.144,357.820,0.718,0.011,0.696,-39.841,0.119,3.588,隧道,-42.170,0.082,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:30:39:377,1.632,43.146,357.979,0.718,-0.011,0.696,-39.832,0.040,3.596,隧道,-42.169,0.075,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:30:39:403,2.136,43.144,358.206,0.718,-0.030,0.696,-39.831,-0.030,3.597,隧道,-42.169,0.069,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:30:39:425,2.372,43.134,358.320,0.718,-0.036,0.695,-39.831,-0.052,3.595,隧道,-42.168,0.067,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:15:30:39:448,2.486,43.112,358.356,0.710,-0.045,0.702,-39.886,-0.079,3.592,隧道,-42.173,0.064,1.331,车中车厢左车门4-1,0.000,0.000,0.000,Null,
