TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:08:33:517,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:08:34:775,0.000,160.000,0.000,0.169,-0.252,-0.953,-41.657,-0.067,-3.593,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:08:34:889,353.518,245.281,4.558,-0.946,-0.158,-0.283,-55.973,-2.155,-3.050,应急疏散平台左侧空气墙,-50.594,-1.254,-1.442,车中车厢内部下部条纹,-55.552,-2.084,-2.924,隧道,
2025:06:20:08:35:013,353.573,245.212,4.560,-0.931,-0.206,-0.301,-50.679,-1.701,-1.663,车中车内底板.001,-53.799,-2.392,-2.672,隧道,-55.552,-2.084,-2.924,隧道,
2025:06:20:08:35:075,353.526,245.255,4.504,-0.929,-0.212,-0.304,-50.438,-1.701,-1.613,车中车内底板.001,-53.600,-2.423,-2.646,隧道,-48.803,-1.328,-1.078,车中车厢座椅,
2025:06:20:08:35:132,353.539,245.299,4.477,-0.928,-0.214,-0.305,-50.369,-1.701,-1.607,车中车内底板.001,-53.520,-2.427,-2.643,隧道,-48.749,-1.328,-1.074,车中车厢座椅,
2025:06:20:08:35:165,353.574,245.332,4.460,-0.927,-0.219,-0.306,-50.179,-1.701,-1.550,车中车内底板.001,-53.406,-2.463,-2.613,隧道,-48.599,-1.328,-1.028,车中车厢座椅,
2025:06:20:08:35:196,353.596,245.331,4.466,-0.928,-0.210,-0.307,-50.517,-1.701,-1.670,车中车内底板.001,-53.555,-2.387,-2.675,隧道,-48.866,-1.328,-1.124,车中车厢座椅,
2025:06:20:08:35:223,353.639,245.327,4.466,-0.930,-0.114,-0.351,-53.209,-1.222,-3.050,应急疏散平台左侧空气墙,-53.989,-1.318,-3.344,隧道,-48.879,-0.689,-1.417,车中车厢内部窗户皮,
2025:06:20:08:35:250,353.659,245.315,4.469,-0.923,-0.031,-0.384,-53.462,-0.287,-3.572,隧道,-48.275,-0.112,-1.411,车中部车厢窗户外皮,-48.879,-0.692,-1.417,车中车厢内部窗户皮,
2025:06:20:08:35:278,353.660,245.295,4.491,-0.922,0.010,-0.386,-53.417,0.197,-3.581,隧道,-48.110,0.139,-1.357,车中车厢内部窗户皮,-48.501,-0.359,-1.393,车中车厢内部窗户皮,
2025:06:20:08:35:306,353.653,245.260,4.519,-0.913,0.058,-0.404,-47.714,0.398,-1.308,车中车厢内部上部条纹,-52.733,0.715,-3.527,隧道,-48.501,-0.359,-1.393,车中车厢内部窗户皮,
