TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:19:26:235,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:19:27:423,0.000,160.000,0.000,0.039,-0.021,-0.999,-42.281,1.120,-3.476,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:19:27:520,350.715,166.226,355.014,-0.066,0.108,-0.992,-42.755,0.556,-3.545,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:19:27:559,350.769,166.002,355.054,-0.062,0.107,-0.992,-42.738,0.553,-3.546,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:19:27:615,350.743,165.947,355.080,-0.062,0.107,-0.992,-42.737,0.555,-3.545,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:19:27:662,350.660,165.812,355.179,0.155,0.134,-0.979,-41.771,0.678,-3.533,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:19:27:681,350.669,165.794,355.190,0.327,0.148,-0.933,-41.707,0.420,-1.302,车中车厢内部上部条纹,-40.932,0.770,-3.510,隧道,0.000,0.000,0.000,Null,
2025:06:11:19:27:702,350.685,165.781,355.194,0.379,0.151,-0.913,-40.652,0.799,-3.502,隧道,-40.932,0.770,-3.510,隧道,0.000,0.000,0.000,Null,
2025:06:11:19:27:725,350.695,165.774,355.200,0.375,0.122,-0.919,-41.577,0.366,-1.319,车中车厢内部上部条纹,-40.673,0.660,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:11:19:27:748,350.703,165.761,355.199,0.375,0.109,-0.921,-41.575,0.336,-1.326,车中车厢内部上部条纹,-40.673,0.597,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:11:19:27:770,350.727,165.756,355.208,0.388,0.065,-0.920,-41.536,0.234,-1.345,车中车厢内部上部条纹,-40.602,0.391,-3.561,隧道,0.000,0.000,0.000,Null,
2025:06:11:19:27:793,350.741,165.753,355.198,0.392,0.049,-0.919,-40.573,0.313,-3.569,隧道,-41.521,0.195,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:19:27:814,350.763,165.750,355.227,0.392,0.035,-0.919,-40.576,0.246,-3.576,隧道,-41.522,0.162,-1.354,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:11:19:27:836,350.791,165.741,355.257,0.380,0.017,-0.925,-40.639,0.158,-3.584,隧道,-41.554,0.118,-1.358,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
