TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:23:52:153,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:160,352.676,154.670,0.071,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:189,352.563,154.716,0.046,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:277,352.548,154.718,0.048,0.286,0.178,-0.942,-41.121,0.898,-3.471,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:315,352.590,154.669,0.071,0.285,0.178,-0.942,-41.122,0.897,-3.472,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:348,352.662,154.612,0.102,0.283,0.177,-0.943,-41.133,0.893,-3.473,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:370,352.673,154.600,0.119,0.280,0.177,-0.943,-41.146,0.892,-3.473,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:392,352.692,154.583,0.138,0.280,0.177,-0.944,-41.149,0.891,-3.474,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:415,352.719,154.579,0.151,0.280,0.176,-0.944,-41.149,0.890,-3.474,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:446,352.754,154.558,0.169,0.276,0.176,-0.945,-41.169,0.886,-3.475,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:470,352.767,154.549,0.181,0.275,0.176,-0.945,-41.175,0.885,-3.475,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:490,352.799,154.545,0.195,0.274,0.175,-0.946,-41.180,0.882,-3.476,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:513,352.797,154.532,0.202,0.275,0.175,-0.945,-41.170,0.883,-3.476,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:534,352.832,154.553,0.186,0.274,0.174,-0.946,-41.175,0.879,-3.477,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:557,352.874,154.564,0.180,0.278,0.174,-0.945,-41.158,0.877,-3.478,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:580,352.881,154.557,0.198,0.276,0.173,-0.945,-41.165,0.875,-3.478,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:603,352.887,154.559,0.214,0.279,0.173,-0.944,-41.152,0.876,-3.478,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:623,352.914,154.562,0.185,0.282,0.167,-0.945,-41.136,0.848,-3.487,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:646,352.964,154.560,0.155,0.283,0.164,-0.945,-41.132,0.836,-3.490,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:668,353.010,154.551,0.154,0.285,0.157,-0.946,-41.123,0.805,-3.500,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:691,353.082,154.544,0.173,0.286,0.154,-0.946,-41.114,0.788,-3.505,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:23:53:723,353.275,154.548,0.184,0.288,0.147,-0.946,-41.776,0.415,-1.304,车中车厢内部上部条纹,-41.104,0.757,-3.514,隧道,0.000,0.000,0.000,Null,
2025:06:09:23:53:746,353.350,154.541,0.206,0.320,0.125,-0.939,-41.691,0.368,-1.318,车中车厢内部上部条纹,-40.936,0.662,-3.535,隧道,0.000,0.000,0.000,Null,
2025:06:09:23:53:768,353.474,154.519,0.214,0.318,0.116,-0.941,-41.697,0.348,-1.324,车中车厢内部上部条纹,-40.949,0.620,-3.539,隧道,0.000,0.000,0.000,Null,
2025:06:09:23:53:790,353.625,154.508,0.217,0.333,0.061,-0.941,-40.868,0.365,-3.564,隧道,-41.653,0.222,-1.347,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:09:23:53:813,353.803,154.470,0.263,0.342,0.051,-0.938,-40.819,0.319,-3.569,隧道,-41.628,0.198,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:09:23:53:836,354.030,154.305,0.315,0.346,0.040,-0.937,-40.796,0.266,-3.574,隧道,-41.616,0.172,-1.353,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:09:23:53:856,354.256,153.916,0.371,0.347,0.029,-0.937,-40.787,0.217,-3.579,隧道,-41.611,0.148,-1.355,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:09:23:53:879,354.560,153.219,0.427,0.354,0.043,-0.934,-40.753,0.284,-3.572,隧道,-41.593,0.181,-1.352,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:09:23:53:902,354.845,151.881,0.436,0.380,0.051,-0.924,-40.603,0.321,-3.568,隧道,-41.516,0.200,-1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:09:23:53:932,355.222,150.276,0.467,0.495,0.043,-0.868,-39.896,0.296,-3.571,隧道,-41.160,0.188,-1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:09:23:53:969,355.943,146.795,0.551,0.678,0.064,-0.732,-40.369,0.273,-1.339,车中车厢内部上部条纹,-38.319,0.468,-3.554,隧道,-39.825,0.374,-3.563,隧道,
