TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:22:16:199,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:204,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:306,337.716,245.138,2.273,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:393,338.128,244.237,2.441,-0.947,0.257,-0.195,-54.380,3.272,-1.479,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:454,338.299,243.746,2.826,-0.952,0.256,-0.169,-54.849,3.369,-1.235,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:509,338.628,243.613,3.309,-0.955,0.256,-0.152,-55.122,3.425,-1.050,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:541,339.222,243.586,3.512,-0.957,0.249,-0.150,-55.461,3.417,-1.078,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:569,339.452,243.484,3.400,-0.957,0.246,-0.154,-55.527,3.397,-1.142,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:595,339.737,243.417,3.360,-0.958,0.242,-0.155,-55.715,3.384,-1.187,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:22:17:623,339.875,243.419,3.280,-0.957,0.241,-0.158,-55.700,3.374,-1.220,隧道,-44.835,0.634,0.570,118,0.000,0.000,0.000,Null,
2025:06:20:22:17:650,339.770,243.519,3.069,-0.957,0.244,-0.156,-55.597,3.386,-1.180,隧道,-44.831,0.639,0.575,118,0.000,0.000,0.000,Null,
2025:06:20:22:17:676,339.673,243.649,2.979,-0.957,0.246,-0.155,-55.517,3.396,-1.147,隧道,-44.830,0.644,0.579,118,0.000,0.000,0.000,Null,
2025:06:20:22:17:701,339.601,243.789,2.819,-0.951,0.250,-0.181,-54.933,3.312,-1.404,隧道,-44.849,0.661,0.513,118,0.000,0.000,0.000,Null,
2025:06:20:22:17:728,339.778,243.894,2.882,-0.945,0.244,-0.220,-54.451,3.125,-1.818,隧道,-44.872,0.668,0.476,118,0.000,0.000,0.000,Null,
2025:06:20:22:17:756,340.132,243.999,2.977,-0.948,0.223,-0.227,-54.966,2.974,-2.024,隧道,-44.872,0.668,0.476,118,0.000,0.000,0.000,Null,
2025:06:20:22:17:785,340.795,244.193,2.997,-0.955,0.186,-0.231,-56.157,2.718,-2.335,隧道,-44.872,0.668,0.476,118,0.000,0.000,0.000,Null,
