TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:20:22:16:199,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:20:22:17:204,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:306,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:393,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:454,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:509,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:541,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:569,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:595,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:623,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:650,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:676,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:701,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:728,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:756,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:785,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:806,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:830,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:855,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:878,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:908,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:932,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:956,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:17:979,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:004,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:016,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:053,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:077,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:100,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:122,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:145,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:169,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:192,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:216,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:22:18:237,-42.457,-1.621,0.945,0.580,0.000,0.521,0.780,0.000,0.000,0.000,
2025:06:20:22:18:262,-42.477,-1.621,0.948,-1.151,0.000,0.184,1.165,0.000,0.000,0.000,
2025:06:20:22:18:287,-42.449,-1.621,0.885,0.755,0.000,-1.385,1.578,0.000,0.000,0.000,
2025:06:20:22:18:311,-42.430,-1.621,0.888,1.170,0.000,0.129,1.177,7.551,0.000,-13.855,
2025:06:20:22:18:334,-42.431,-1.621,0.887,-0.053,0.000,-0.034,0.063,7.551,0.000,-13.855,
2025:06:20:22:18:357,-42.451,-1.621,0.893,-0.336,0.000,0.188,0.385,7.551,0.000,-13.855,
2025:06:20:22:18:378,-42.458,-1.621,0.910,-0.386,0.000,1.031,1.101,7.551,0.000,-13.855,
2025:06:20:22:18:400,-42.459,-1.621,0.921,-0.076,0.000,0.651,0.655,-8.308,0.000,20.364,
2025:06:20:22:18:421,-42.468,-1.621,0.935,-0.141,0.000,0.185,0.233,-8.308,0.000,20.364,
2025:06:20:22:18:442,-42.472,-1.621,0.940,-0.220,0.000,0.301,0.373,-8.308,0.000,20.364,
2025:06:20:22:18:465,-42.473,-1.621,0.942,-0.075,0.000,0.110,0.133,-8.308,0.000,20.364,
2025:06:20:22:18:487,-42.475,-1.621,0.945,-0.109,0.000,0.179,0.210,-8.308,0.000,20.364,
2025:06:20:22:18:508,-42.462,-1.621,0.919,0.860,0.000,-0.708,1.115,-0.119,0.000,-15.354,
2025:06:20:22:18:537,-42.459,-1.621,0.932,-0.585,0.000,1.161,1.300,-0.119,0.000,-15.354,
2025:06:20:22:18:558,-42.472,-1.621,0.923,-0.733,0.000,-0.544,0.913,-0.119,0.000,-15.354,
2025:06:20:22:18:580,-42.477,-1.621,0.918,-0.351,0.000,-0.302,0.463,-0.119,0.000,-15.354,
2025:06:20:22:18:603,-42.479,-1.621,0.916,-0.093,0.000,-0.111,0.145,-0.119,0.000,-15.354,
2025:06:20:22:18:624,-42.480,-1.621,0.918,-0.118,0.000,0.024,0.121,-0.055,0.000,7.736,
