TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:19:14:03:909,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:14:05:057,0.000,160.000,0.000,0.295,-0.002,-0.956,-41.142,1.200,-3.380,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:14:05:151,11.141,271.280,4.835,-0.979,-0.202,-0.031,-51.296,-1.701,0.731,车中车内底板.001,-57.361,-2.950,0.539,道床,-60.303,-3.556,0.446,隧道,
2025:06:19:14:05:220,11.159,270.831,4.938,-0.978,-0.204,-0.041,-51.201,-1.701,0.646,车中车内底板.001,-57.199,-2.950,0.397,道床,-60.190,-3.573,0.272,隧道,
2025:06:19:14:05:286,11.273,270.290,4.962,-0.977,-0.208,-0.044,-51.008,-1.701,0.626,车中车内底板.001,-59.812,-3.577,0.232,隧道,-56.870,-2.950,0.364,道床,
2025:06:19:14:05:337,11.605,269.743,5.121,-0.975,-0.216,-0.047,-50.671,-1.701,0.615,车中车内底板.001,-59.131,-3.579,0.211,隧道,-50.114,-1.578,0.642,21,
2025:06:19:14:05:366,11.942,269.432,5.172,-0.973,-0.225,-0.048,-50.350,-1.701,0.617,车中车内底板.001,-58.469,-3.578,0.214,隧道,-55.752,-2.950,0.349,道床,
2025:06:19:14:05:394,12.211,269.419,5.392,-0.972,-0.232,-0.046,-50.094,-1.701,0.644,车中车内底板.001,-57.920,-3.573,0.270,隧道,-55.316,-2.950,0.395,道床,
2025:06:19:14:05:415,12.348,269.429,5.405,-0.971,-0.237,-0.044,-49.952,-1.701,0.665,车中车内底板.001,-57.610,-3.568,0.315,隧道,-55.073,-2.950,0.431,道床,
2025:06:19:14:05:439,12.481,269.249,5.253,-0.944,-0.328,-0.037,-47.780,-1.701,0.798,车中车内底板.001,-53.084,-3.542,0.591,隧道,-51.379,-2.950,0.658,道床,
2025:06:19:14:05:461,12.555,268.967,5.072,-0.925,-0.376,-0.045,-47.031,-1.701,0.783,车中车内底板.001,-51.567,-3.544,0.562,隧道,-50.104,-2.950,0.633,道床,
2025:06:19:14:05:483,12.519,268.762,4.951,-0.909,-0.406,-0.098,-46.638,-1.701,0.568,车中车内底板.001,-50.866,-3.588,0.114,隧道,-49.436,-2.950,0.267,道床,
2025:06:19:14:05:506,12.482,268.586,4.954,-0.898,-0.426,-0.113,-50.401,-3.597,0.018,隧道,-46.474,-1.735,0.514,GameObject (2),-49.036,-2.950,0.190,道床,
2025:06:19:14:05:527,12.527,268.353,4.907,-0.892,-0.437,-0.119,-50.160,-3.600,-0.010,隧道,-46.353,-1.735,0.500,GameObject (2),-48.833,-2.950,0.168,道床,
2025:06:19:14:05:549,12.583,268.092,4.888,-0.887,-0.444,-0.127,-49.998,-3.595,-0.057,隧道,-46.278,-1.735,0.476,GameObject (2),-48.708,-2.950,0.128,道床,
2025:06:19:14:05:573,12.613,267.912,4.883,-0.885,-0.447,-0.131,-49.925,-3.593,-0.084,隧道,-46.244,-1.735,0.462,GameObject (2),-48.652,-2.950,0.105,道床,
2025:06:19:14:05:594,12.579,267.849,4.960,-0.883,-0.450,-0.132,-49.858,-3.593,-0.080,隧道,-46.210,-1.735,0.464,GameObject (2),-48.595,-2.950,0.108,道床,
2025:06:19:14:05:616,12.635,267.883,5.034,-0.883,-0.451,-0.130,-49.852,-3.595,-0.062,隧道,-46.206,-1.735,0.473,GameObject (2),-48.588,-2.950,0.123,道床,
2025:06:19:14:05:650,12.754,267.723,5.068,-0.884,-0.448,-0.131,-49.892,-3.593,-0.083,隧道,-46.228,-1.735,0.462,GameObject (2),-48.624,-2.950,0.106,道床,
2025:06:19:14:05:673,12.772,267.714,5.113,-0.885,-0.452,-0.117,-49.845,-3.595,0.046,隧道,-46.202,-1.735,0.526,GameObject (2),-48.582,-2.950,0.213,道床,
2025:06:19:14:05:693,12.770,267.715,5.161,-0.883,-0.458,-0.097,-49.696,-3.577,0.223,隧道,-46.145,-1.735,0.612,GameObject (2),-48.487,-2.950,0.355,道床,
2025:06:19:14:05:716,12.788,267.789,5.223,-0.888,-0.453,-0.080,-49.791,-3.565,0.347,隧道,-46.204,-1.735,0.672,GameObject (2),-48.585,-2.950,0.456,道床,
2025:06:19:14:05:737,12.814,267.847,5.290,-0.889,-0.452,-0.074,-49.814,-3.561,0.395,隧道,-46.220,-1.735,0.696,GameObject (2),-48.612,-2.950,0.496,道床,
2025:06:19:14:05:761,12.869,267.726,5.320,-0.891,-0.449,-0.062,-49.857,-3.551,0.490,隧道,-46.251,-1.735,0.742,GameObject (2),-48.663,-2.950,0.573,道床,
2025:06:19:14:05:783,12.873,267.659,5.336,-0.892,-0.447,-0.061,-49.895,-3.550,0.500,隧道,-46.271,-1.735,0.747,GameObject (2),-48.697,-2.950,0.582,道床,
2025:06:19:14:05:806,12.895,267.561,5.339,-0.893,-0.445,-0.059,-49.932,-3.550,0.509,隧道,-46.290,-1.735,0.751,GameObject (2),-48.728,-2.950,0.589,道床,
2025:06:19:14:05:827,12.945,267.410,5.383,-0.895,-0.443,-0.060,-49.979,-3.550,0.500,隧道,-46.313,-1.735,0.747,GameObject (2),-48.767,-2.950,0.582,道床,
2025:06:19:14:05:849,12.945,267.260,5.321,-0.896,-0.440,-0.062,-50.034,-3.553,0.479,隧道,-46.338,-1.735,0.736,GameObject (2),-48.809,-2.950,0.564,道床,
2025:06:19:14:05:870,12.953,267.111,5.218,-0.897,-0.437,-0.063,-50.118,-3.554,0.465,隧道,-46.378,-1.735,0.729,GameObject (2),-48.876,-2.950,0.553,道床,
2025:06:19:14:05:894,12.914,266.913,4.857,-0.899,-0.434,-0.065,-50.181,-3.556,0.444,隧道,-46.408,-1.735,0.718,GameObject (2),-48.925,-2.950,0.535,道床,
