TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:28:53:580,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:28:54:605,351.265,324.445,358.671,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:28:54:704,351.202,324.470,358.597,-0.717,0.216,0.663,-145.142,0.847,3.487,隧道,-142.805,0.144,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:788,351.236,324.575,358.484,-0.714,0.219,0.665,-145.122,0.858,3.484,隧道,-142.803,0.145,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:832,351.210,324.647,358.441,-0.713,0.222,0.664,-145.119,0.868,3.481,隧道,-142.803,0.146,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:859,351.302,324.696,358.409,-0.713,0.222,0.665,-145.119,0.866,3.481,隧道,-142.803,0.146,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:879,351.292,324.693,358.411,-0.714,0.222,0.664,-145.122,0.868,3.480,隧道,-142.803,0.146,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:911,351.253,324.682,358.390,-0.715,0.224,0.663,-145.127,0.875,3.478,隧道,-142.804,0.147,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:931,351.224,324.683,358.391,-0.715,0.226,0.662,-145.129,0.881,3.477,隧道,-142.804,0.147,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:961,351.208,324.704,358.360,-0.715,0.226,0.662,-145.130,0.884,3.476,隧道,-142.804,0.147,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:54:981,351.181,324.707,358.356,-0.711,0.228,0.666,-145.100,0.884,3.476,隧道,-142.802,0.147,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:010,351.152,324.728,358.344,-0.706,0.229,0.670,-145.065,0.883,3.476,隧道,-142.799,0.147,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:033,351.144,324.755,358.350,-0.704,0.230,0.672,-145.056,0.883,3.476,隧道,-142.798,0.147,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:056,351.162,324.746,358.361,-0.703,0.234,0.672,-145.045,0.897,3.472,隧道,-142.797,0.149,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:077,351.151,324.762,358.375,-0.697,0.239,0.676,-145.004,0.908,3.468,隧道,-142.794,0.150,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:099,351.132,324.770,358.346,-0.696,0.240,0.677,-144.998,0.911,3.468,隧道,-142.793,0.150,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:123,351.129,324.762,358.333,-0.694,0.240,0.679,-144.982,0.906,3.469,隧道,-142.792,0.149,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:145,351.157,324.752,358.342,-0.693,0.239,0.680,-144.978,0.902,3.470,隧道,-142.791,0.149,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:166,351.170,324.736,358.354,-0.692,0.235,0.683,-144.969,0.889,3.474,隧道,-142.790,0.148,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:190,351.161,324.726,358.353,-0.691,0.233,0.684,-144.963,0.881,3.477,隧道,-142.790,0.147,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:211,351.167,324.719,358.364,-0.692,0.220,0.688,-144.969,0.836,3.490,隧道,-142.789,0.143,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:223,351.170,324.714,358.370,-0.690,0.217,0.691,-144.954,0.823,3.494,隧道,-142.788,0.142,1.324,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:266,351.208,324.685,358.403,-0.662,0.188,0.726,-144.782,0.703,3.531,隧道,-142.771,0.131,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:288,351.244,324.663,358.428,-0.661,0.183,0.728,-144.775,0.684,3.533,隧道,-142.771,0.129,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:311,351.291,324.646,358.441,-0.665,0.170,0.728,-144.793,0.642,3.537,隧道,-142.772,0.126,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:334,351.336,324.631,358.455,-0.666,0.166,0.727,-144.798,0.630,3.538,隧道,-142.772,0.125,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:356,351.414,324.627,358.453,-0.663,0.160,0.731,-144.781,0.607,3.540,隧道,-142.771,0.123,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:379,351.563,324.626,358.478,-0.663,0.167,0.729,-144.784,0.632,3.538,隧道,-142.771,0.125,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:400,351.851,324.621,358.520,-0.666,0.187,0.722,-144.809,0.704,3.530,隧道,-142.774,0.131,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:421,352.290,324.586,358.563,-0.667,0.185,0.721,-144.816,0.697,3.531,隧道,-142.774,0.131,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:445,352.903,324.538,358.619,-0.669,0.186,0.720,-144.825,0.700,3.531,隧道,-142.775,0.131,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:467,353.698,324.489,358.709,-0.674,0.165,0.720,-144.849,0.631,3.538,隧道,-142.777,0.125,1.325,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:490,354.716,324.429,358.838,-0.688,0.129,0.714,-144.926,0.518,3.549,隧道,-142.784,0.115,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:512,355.834,324.375,359.023,-0.708,0.107,0.698,-145.058,0.453,3.555,隧道,-142.795,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:533,357.010,324.332,359.219,-0.714,0.097,0.693,-145.096,0.420,3.559,隧道,-142.798,0.107,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:556,358.357,324.300,359.454,-0.713,0.085,0.696,-145.088,0.376,3.563,隧道,-142.797,0.103,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:578,359.751,324.283,359.644,-0.710,0.070,0.701,-145.063,0.323,3.568,隧道,-142.795,0.099,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:601,1.291,324.261,359.801,-0.702,0.056,0.710,-145.014,0.271,3.573,隧道,-142.791,0.095,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:623,2.870,324.240,0.038,-0.692,0.048,0.720,-144.948,0.241,3.576,隧道,-142.785,0.092,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:646,4.574,324.221,0.228,-0.696,0.023,0.718,-144.976,0.158,3.584,隧道,-142.787,0.085,1.327,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:667,6.176,324.199,0.608,-0.686,-0.021,0.728,-144.922,0.009,3.599,隧道,-142.783,0.073,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:689,8.203,324.169,0.903,-0.662,-0.101,0.742,-144.777,-0.254,3.575,隧道,-142.774,0.050,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:711,9.740,324.138,1.048,-0.656,-0.131,0.743,-144.744,-0.352,3.565,隧道,-142.772,0.042,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:734,11.767,324.066,1.242,-0.642,-0.197,0.741,-144.688,-0.566,3.544,隧道,-142.770,0.023,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:756,12.684,323.895,1.475,-0.648,-0.214,0.731,-144.729,-0.628,3.538,隧道,-142.775,0.017,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:778,13.434,323.600,1.675,-0.673,-0.172,0.719,-144.862,-0.504,3.550,隧道,-142.786,0.028,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:800,14.667,323.157,2.280,-0.689,-0.158,0.707,-144.964,-0.465,3.554,隧道,-142.796,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:822,15.395,322.539,2.438,-0.688,-0.147,0.710,-144.955,-0.426,3.558,隧道,-142.796,0.035,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:844,16.272,321.575,2.627,-0.688,-0.161,0.708,-144.962,-0.475,3.553,隧道,-142.801,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:867,16.555,320.396,2.620,-0.684,-0.175,0.709,-144.942,-0.521,3.549,隧道,-142.804,0.025,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:889,17.070,318.812,2.696,-0.696,-0.190,0.693,-145.039,-0.588,3.542,隧道,-142.819,0.018,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:912,17.517,316.891,2.604,-0.728,-0.253,0.637,-145.315,-0.864,3.482,隧道,-142.859,-0.011,1.334,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:934,17.889,314.728,2.440,-0.777,-0.308,0.548,-145.832,-1.198,3.380,隧道,-142.933,-0.051,1.336,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:956,18.055,312.178,2.219,-0.802,-0.312,0.509,-146.154,-1.299,3.350,隧道,-142.984,-0.066,1.337,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:09:28:55:987,17.956,307.176,1.712,-0.839,-0.316,0.442,-143.165,-0.127,1.378,车中部车厢窗户外皮,-146.760,-1.481,3.271,隧道,-143.092,-0.099,1.339,车中车厢左车门4-2,
2025:06:09:28:56:009,17.503,302.980,0.999,-0.865,-0.290,0.409,-143.236,-0.126,1.370,车中车厢内部窗户皮,-147.257,-1.477,3.273,隧道,-143.092,-0.099,1.339,车中车厢左车门4-2,
2025:06:09:28:56:030,16.978,299.454,0.699,-0.883,-0.280,0.377,-143.327,-0.142,1.372,车中车厢内部窗户皮,-147.706,-1.531,3.244,隧道,-143.092,-0.099,1.339,车中车厢左车门4-2,
2025:06:09:28:56:054,16.348,294.912,0.196,-0.895,-0.260,0.361,-143.400,-0.143,1.372,车中车厢内部窗户皮,-148.080,-1.500,3.261,隧道,-143.092,-0.099,1.339,车中车厢左车门4-2,
2025:06:09:28:56:098,15.738,290.828,359.905,-0.905,-0.254,0.342,-143.484,-0.159,1.373,车中车厢内部窗户皮,-148.411,-1.545,3.237,隧道,-143.092,-0.099,1.339,车中车厢左车门4-2,
2025:06:09:28:56:128,14.370,281.757,359.587,-0.969,-0.194,0.151,-144.949,-0.382,1.389,车中车厢内部窗户皮,-154.114,-2.218,2.815,隧道,-143.092,-0.099,1.339,车中车厢左车门4-2,
2025:06:09:28:56:152,13.321,276.803,359.179,-0.991,-0.125,-0.058,-156.806,-1.701,0.188,车中车内底板.001,-171.384,-3.534,-0.666,隧道,-155.659,-1.557,0.255,83,
2025:06:09:28:56:175,12.641,273.280,359.406,-0.981,-0.092,-0.169,-166.173,-2.116,-3.050,应急疏散平台左侧空气墙,-156.852,-1.246,-1.442,车中车厢内部下部条纹,-165.564,-2.059,-2.945,隧道,
2025:06:09:28:56:198,12.080,269.798,359.343,-0.965,-0.082,-0.248,-158.399,-1.257,-3.050,应急疏散平台左侧空气墙,-159.951,-1.389,-3.449,隧道,-148.707,-0.435,-0.558,63,
2025:06:09:28:56:220,11.751,267.269,359.302,-0.961,-0.097,-0.259,-157.656,-1.435,-3.050,应急疏散平台左侧空气墙,-148.863,-0.548,-0.681,63,-151.289,-0.793,-1.335,车中车厢座椅,
2025:06:09:28:56:243,11.433,264.437,359.198,-0.980,-0.122,-0.158,-157.706,-1.803,-1.444,车中车厢内部下部条纹,-156.892,-1.701,-1.312,车中车内底板.001,-164.104,-2.603,-2.476,隧道,
2025:06:09:28:56:265,11.482,263.632,359.366,-0.978,-0.121,-0.168,-156.753,-1.661,-1.445,车中车厢内部下部条纹,-157.084,-1.701,-1.502,车中车内底板.001,-163.436,-2.485,-2.596,隧道,
2025:06:09:28:56:286,11.123,262.085,359.541,-0.984,-0.115,-0.134,-157.852,-1.701,-1.089,车中车内底板.001,-166.771,-2.746,-2.302,隧道,-148.980,-0.663,0.118,56,
2025:06:09:28:56:309,10.678,260.814,359.859,-0.989,-0.110,-0.096,-158.619,-1.701,-0.582,车中车内底板.001,-171.150,-3.098,-1.804,隧道,-148.078,-0.527,0.446,24,
2025:06:09:28:56:331,10.202,259.685,0.023,-0.987,-0.091,-0.135,-161.851,-1.701,-1.648,车中车内底板.001,-169.329,-2.395,-2.669,隧道,-149.008,-0.511,0.105,56,
2025:06:09:28:56:354,9.536,258.296,0.205,-0.968,-0.037,-0.248,-160.277,-0.599,-3.541,隧道,-149.145,-0.171,-0.693,63,-149.074,-0.329,-0.359,63,
2025:06:09:28:56:375,8.809,256.750,0.527,-0.959,-0.016,-0.285,-157.968,-0.175,-3.583,隧道,-150.486,-0.051,-1.362,SM_Plug_01a (7),-150.518,-0.052,-1.371,车中车厢内部窗户皮,
2025:06:09:28:56:398,7.929,255.253,0.863,-0.952,0.010,-0.306,-156.783,0.224,-3.578,隧道,-150.486,-0.051,-1.362,SM_Plug_01a (7),-150.518,-0.052,-1.371,车中车厢内部窗户皮,
