TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:15:59:57:534,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:484,359.731,183.482,358.699,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:509,359.480,184.967,358.736,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:587,359.469,185.025,358.750,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:632,359.486,185.333,358.587,-0.210,0.056,-0.976,-43.465,0.332,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:652,359.461,185.399,358.550,-0.212,0.056,-0.976,-43.474,0.334,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:674,359.428,185.460,358.554,-0.249,0.071,-0.966,-43.651,0.403,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:696,359.405,185.515,358.540,-0.217,0.059,-0.974,-43.498,0.344,-3.566,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:720,359.377,185.522,358.550,-0.218,0.062,-0.974,-43.501,0.359,-3.565,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:741,359.365,185.511,358.574,-0.217,0.064,-0.974,-43.500,0.367,-3.564,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:763,359.353,185.472,358.544,-0.217,0.065,-0.974,-43.496,0.375,-3.563,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:786,359.322,185.431,358.534,-0.216,0.068,-0.974,-43.493,0.387,-3.562,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:807,359.291,185.378,358.542,-0.215,0.069,-0.974,-43.488,0.393,-3.561,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:829,359.284,185.328,358.558,-0.214,0.073,-0.974,-43.485,0.408,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:851,359.303,185.285,358.561,-0.214,0.073,-0.974,-43.482,0.410,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:874,359.317,185.261,358.537,-0.214,0.075,-0.974,-43.482,0.419,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:897,359.332,185.246,358.515,-0.214,0.077,-0.974,-43.483,0.425,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:919,359.362,185.250,358.504,-0.203,0.079,-0.976,-43.431,0.433,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:941,359.398,185.259,358.502,-0.124,0.080,-0.989,-43.065,0.437,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:963,359.445,185.260,358.514,-0.059,0.081,-0.995,-42.777,0.437,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:58:984,359.441,185.270,358.503,-0.064,0.080,-0.995,-42.798,0.434,-3.557,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:006,359.454,185.276,358.513,-0.065,0.080,-0.995,-42.802,0.431,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:030,359.480,185.270,358.537,-0.064,0.071,-0.995,-42.800,0.393,-3.561,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:052,359.505,185.250,358.564,-0.064,0.058,-0.996,-42.796,0.336,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:075,359.508,185.223,358.574,-0.063,0.044,-0.997,-42.793,0.274,-3.573,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:098,359.545,185.171,358.597,-0.061,0.037,-0.997,-42.785,0.241,-3.576,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:119,359.593,185.104,358.663,-0.060,0.033,-0.998,-42.779,0.225,-3.578,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:141,359.697,185.027,358.728,-0.057,0.021,-0.998,-42.768,0.173,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:162,359.872,184.922,358.767,-0.053,0.016,-0.998,-42.750,0.149,-3.585,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:185,0.131,184.782,358.823,-0.013,-0.004,-1.000,-42.568,0.062,-3.594,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:207,0.478,184.594,358.949,0.007,-0.025,-1.000,-42.480,-0.031,-3.597,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:15:59:59:236,1.298,184.195,359.120,0.024,-0.188,-0.982,-42.404,-0.768,-3.574,隧道,-42.397,-0.824,-3.867,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:259,1.954,183.800,359.374,0.032,-0.255,-0.966,-42.369,-1.049,-3.426,隧道,-42.381,-0.950,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:281,2.727,183.378,359.498,0.024,-0.226,-0.974,-42.400,-0.938,-3.523,隧道,-42.411,-0.828,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:303,3.576,182.846,359.617,0.042,-0.277,-0.960,-42.323,-1.145,-3.396,隧道,-42.338,-1.046,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:326,4.390,182.302,359.659,0.037,-0.252,-0.967,-42.344,-1.036,-3.430,隧道,-42.358,-0.937,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:348,5.137,181.729,359.731,0.046,-0.273,-0.961,-42.300,-1.130,-3.401,隧道,-42.317,-1.030,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:370,5.903,181.117,359.829,0.053,-0.269,-0.962,-42.268,-1.110,-3.407,隧道,-42.287,-1.011,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:392,6.673,180.530,359.879,0.063,-0.280,-0.958,-42.225,-1.161,-3.392,隧道,-42.247,-1.062,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:414,7.445,179.885,359.925,0.070,-0.287,-0.955,-42.188,-1.194,-3.382,隧道,-42.213,-1.094,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:437,8.094,179.227,359.956,0.079,-0.290,-0.954,-42.146,-1.209,-3.377,隧道,-42.173,-1.109,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:457,8.481,178.894,359.837,0.083,-0.293,-0.953,-42.127,-1.219,-3.374,隧道,-42.156,-1.119,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:481,8.824,178.574,359.875,0.086,-0.290,-0.953,-42.116,-1.209,-3.377,隧道,-42.146,-1.110,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:503,9.083,178.257,359.872,0.089,-0.289,-0.953,-42.101,-1.205,-3.378,隧道,-42.132,-1.105,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:525,9.377,177.800,359.796,0.094,-0.287,-0.953,-42.076,-1.196,-3.381,隧道,-42.109,-1.096,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:546,9.614,177.344,359.702,0.100,-0.287,-0.953,-42.049,-1.195,-3.382,隧道,-42.084,-1.095,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:569,9.737,176.941,359.703,0.103,-0.283,-0.954,-42.033,-1.179,-3.386,隧道,-42.070,-1.079,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:592,9.843,176.527,359.715,0.108,-0.281,-0.954,-42.013,-1.170,-3.389,隧道,-42.051,-1.070,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:614,9.949,176.091,359.767,0.115,-0.282,-0.953,-41.978,-1.175,-3.388,隧道,-42.019,-1.075,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:636,9.985,175.781,359.830,0.114,-0.274,-0.955,-41.980,-1.141,-3.398,隧道,-42.021,-1.041,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:660,10.046,175.301,359.921,0.120,-0.272,-0.955,-41.954,-1.133,-3.400,隧道,-41.998,-1.033,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:680,10.020,174.795,0.010,0.124,-0.267,-0.956,-41.934,-1.111,-3.407,隧道,-41.980,-1.011,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:702,9.914,174.070,0.078,0.133,-0.262,-0.956,-41.891,-1.090,-3.413,隧道,-41.941,-0.991,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:726,9.780,172.753,0.091,0.152,-0.257,-0.954,-41.800,-1.071,-3.419,隧道,-41.859,-0.972,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:746,9.702,171.142,359.981,0.175,-0.251,-0.952,-41.690,-1.051,-3.425,隧道,-41.759,-0.952,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:770,9.596,169.024,359.821,0.228,-0.223,-0.948,-41.421,-0.948,-3.520,隧道,-41.534,-0.838,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:07:15:59:59:792,9.574,167.024,359.572,0.426,-0.146,-0.893,-40.369,-0.639,-3.537,隧道,-41.396,-0.288,-1.388,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:814,9.495,164.604,359.350,0.539,-0.122,-0.834,-39.617,-0.563,-3.545,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:835,9.328,161.505,359.135,0.606,-0.118,-0.787,-39.063,-0.584,-3.542,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:858,9.088,158.547,358.991,0.649,-0.113,-0.753,-38.650,-0.582,-3.543,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:881,8.856,154.843,358.645,0.677,-0.120,-0.726,-38.336,-0.651,-3.536,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:904,8.614,151.095,358.232,0.696,-0.122,-0.708,-38.098,-0.679,-3.533,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:926,8.226,147.299,358.039,0.728,-0.116,-0.676,-37.676,-0.675,-3.533,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:949,7.842,142.895,357.803,0.762,-0.107,-0.639,-37.142,-0.659,-3.535,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:971,7.462,138.873,357.488,0.829,-0.076,-0.553,-35.755,-0.533,-3.547,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:15:59:59:994,7.124,135.067,357.149,0.919,-0.029,-0.394,-31.967,-0.254,-3.575,隧道,-41.012,-0.248,-1.385,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:16:00:00:015,6.789,131.780,356.924,0.950,-0.013,-0.311,-28.657,-0.111,-3.589,隧道,-36.634,-0.081,-1.373,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:16:00:00:039,6.446,128.696,356.795,0.974,0.007,-0.225,-22.986,0.221,-3.578,隧道,-36.634,-0.081,-1.373,车中车厢内部窗户皮,-40.885,-0.824,-3.791,应急疏散平台左侧空气墙,
2025:07:16:00:00:061,6.112,125.668,356.695,0.988,0.023,-0.150,-13.147,0.751,-3.516,隧道,-27.748,0.415,-1.304,车中车厢内部上部条纹,-31.351,0.190,-1.351,车中车厢内部窗户皮,
2025:07:16:00:00:082,5.894,123.541,356.633,0.986,0.019,-0.167,-16.095,0.584,-3.543,隧道,-29.150,0.333,-1.327,车中车厢内部上部条纹,-31.351,0.190,-1.351,车中车厢内部窗户皮,
2025:07:16:00:00:105,5.598,121.389,356.727,0.982,0.017,-0.187,-18.909,0.484,-3.552,隧道,-30.526,0.283,-1.337,车中车厢内部上部条纹,-31.351,0.190,-1.351,车中车厢内部窗户皮,
2025:07:16:00:00:128,5.393,119.499,357.021,0.974,0.016,-0.224,-22.863,0.407,-3.560,隧道,-29.533,0.312,-1.332,车中车厢内部上部条纹,-31.351,0.190,-1.351,车中车厢内部窗户皮,
2025:07:16:00:00:149,5.346,118.221,357.161,0.970,0.013,-0.242,-24.357,0.313,-3.569,隧道,-33.242,0.198,-1.350,车中车厢内部窗户皮,-31.351,0.190,-1.351,车中车厢内部窗户皮,
2025:07:16:00:00:173,5.203,116.791,357.492,0.958,0.009,-0.287,-27.328,0.215,-3.579,隧道,-34.739,0.148,-1.356,车中车厢内部窗户皮,-31.351,0.190,-1.351,车中车厢内部窗户皮,
2025:07:16:00:00:194,5.075,116.175,357.718,0.956,0.008,-0.295,-27.731,0.203,-3.580,隧道,-34.941,0.142,-1.356,车中车厢内部窗户皮,-31.351,0.190,-1.351,车中车厢内部窗户皮,
