TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:54:28:459,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:29:705,0.000,160.000,0.000,0.375,0.013,-0.927,-40.740,1.269,-3.359,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:29:832,358.188,167.455,355.735,0.213,0.044,-0.976,-41.502,0.280,-3.572,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:29:877,358.469,167.137,355.894,0.214,0.039,-0.976,-41.497,0.256,-3.575,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:29:926,358.726,167.447,355.930,0.205,0.034,-0.978,-41.541,0.234,-3.577,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:29:969,359.217,168.492,356.294,0.186,0.026,-0.982,-41.631,0.195,-3.581,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:29:989,359.122,169.021,356.425,0.181,0.028,-0.983,-41.654,0.204,-3.580,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:30:011,359.151,169.391,356.520,0.182,0.028,-0.983,-41.652,0.203,-3.580,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:30:033,359.182,169.859,356.516,0.193,0.022,-0.981,-41.603,0.177,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:30:055,359.450,170.488,356.450,0.193,0.013,-0.981,-41.600,0.139,-3.586,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:54:30:077,359.728,170.701,356.671,0.198,0.005,-0.980,-41.577,0.101,-3.590,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
