TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:09:43:305,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:44:471,0.000,160.000,0.000,0.204,-0.140,-0.969,-41.520,0.572,-3.544,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:44:600,351.183,157.402,358.685,0.281,0.005,-0.960,-41.141,0.101,-3.590,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:09:44:646,351.205,158.409,358.617,0.335,0.002,-0.942,-40.862,0.090,-3.591,隧道,-41.655,0.084,-1.361,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:696,351.194,158.592,358.658,0.338,-0.002,-0.941,-40.845,0.068,-3.593,隧道,-41.647,0.073,-1.362,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:742,351.171,158.735,358.714,0.342,-0.007,-0.940,-40.822,0.047,-3.595,隧道,-41.635,0.063,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:766,351.157,158.731,358.752,0.343,-0.007,-0.939,-40.816,0.045,-3.596,隧道,-41.633,0.062,-1.363,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:791,351.139,158.687,358.754,0.345,-0.015,-0.938,-40.804,0.007,-3.599,隧道,-41.627,0.043,-1.364,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:813,351.153,158.656,358.802,0.346,-0.018,-0.938,-40.798,-0.009,-3.599,隧道,-41.623,0.035,-1.365,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:835,351.148,158.592,358.865,0.349,-0.023,-0.937,-40.782,-0.031,-3.597,隧道,-41.615,0.024,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:857,351.175,158.551,358.846,0.350,-0.024,-0.936,-40.777,-0.038,-3.596,隧道,-41.612,0.020,-1.366,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:878,351.202,158.525,358.793,0.352,-0.027,-0.935,-40.766,-0.051,-3.595,隧道,-41.606,0.014,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:903,351.233,158.478,358.778,0.354,-0.029,-0.935,-40.759,-0.059,-3.594,隧道,-41.602,0.010,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:925,351.278,158.430,358.799,0.357,-0.031,-0.934,-40.744,-0.068,-3.593,隧道,-41.594,0.005,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:946,351.342,158.406,358.762,0.358,-0.032,-0.933,-40.738,-0.073,-3.593,隧道,-41.591,0.003,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:967,351.395,158.360,358.760,0.359,-0.032,-0.933,-40.733,-0.073,-3.593,隧道,-41.588,0.002,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:44:990,351.414,158.260,358.756,0.360,-0.029,-0.932,-40.723,-0.062,-3.594,隧道,-41.584,0.008,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:45:013,351.481,158.150,358.774,0.362,-0.029,-0.932,-40.713,-0.062,-3.594,隧道,-41.579,0.008,-1.367,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:45:034,351.551,158.000,358.874,0.374,-0.016,-0.927,-40.643,0.003,-3.600,隧道,-41.545,0.041,-1.365,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:09:45:057,351.695,157.770,358.903,0.441,-0.032,-0.897,-40.252,-0.080,-3.592,隧道,-41.347,-0.001,-1.368,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
