TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:20:15:14:575,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:15:15:626,351.529,130.057,8.761,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:15:15:724,347.137,127.070,10.394,0.723,0.317,-0.613,-137.842,2.067,-2.938,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:15:15:809,354.218,116.659,14.171,0.904,0.191,-0.383,-133.152,2.028,-2.970,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:15:15:849,0.355,109.328,14.802,0.968,0.101,-0.230,-125.406,1.840,-3.079,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:15:15:883,6.034,102.733,14.310,0.997,0.035,-0.069,-85.800,2.051,-2.952,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:20:15:15:908,6.936,102.001,14.255,0.997,0.053,-0.064,-92.103,2.775,-2.266,隧道,-100.822,2.967,-2.032,隧道,0.000,0.000,0.000,Null,
2025:06:20:15:15:932,8.406,100.607,14.148,0.995,0.082,-0.062,-103.271,3.288,-1.450,隧道,-100.822,2.967,-2.032,隧道,0.000,0.000,0.000,Null,
2025:06:20:15:15:963,9.739,99.501,13.852,0.991,0.114,-0.065,-112.937,3.452,-0.963,隧道,-100.822,2.967,-2.032,隧道,0.000,0.000,0.000,Null,
2025:06:20:15:15:985,10.785,98.712,13.718,0.991,0.115,-0.062,-113.063,3.483,-0.861,隧道,-100.822,2.967,-2.032,隧道,0.000,0.000,0.000,Null,
2025:06:20:15:16:008,11.596,98.101,13.678,0.990,0.124,-0.073,-115.624,3.439,-1.006,隧道,-100.822,2.967,-2.032,隧道,0.000,0.000,0.000,Null,
2025:06:20:15:16:030,12.573,97.268,13.529,0.992,0.111,-0.064,-112.197,3.456,-0.950,隧道,-100.822,2.967,-2.032,隧道,0.000,0.000,0.000,Null,
2025:06:20:15:16:054,13.010,96.640,13.396,0.992,0.111,-0.064,-112.176,3.453,-0.960,隧道,-100.822,2.967,-2.032,隧道,0.000,0.000,0.000,Null,
2025:06:20:15:16:079,13.203,96.086,13.169,0.993,-0.053,-0.105,-109.939,-1.651,-2.432,应急疏散平台.005|应急疏散平台|Dupli|,-109.952,-1.650,-2.431,planty,-109.951,-1.650,-2.431,应急疏散平台.006|应急疏散平台|Dupli|,
2025:06:20:15:16:108,13.440,95.149,12.789,0.984,-0.138,-0.113,-120.752,-2.950,-1.497,道床,-129.656,-1.701,-0.473,车中车内底板.001,-119.205,-3.167,-1.675,隧道,
2025:06:20:15:16:131,13.543,94.491,12.501,0.964,-0.255,-0.079,-130.893,-2.950,0.048,道床,-135.616,-1.701,0.436,车中车内底板.001,-128.486,-3.586,-0.149,隧道,
2025:06:20:15:16:150,13.480,93.946,12.073,0.960,-0.271,-0.071,-131.610,-2.950,0.193,道床,-136.038,-1.701,0.521,车中车内底板.001,-129.316,-3.597,0.023,隧道,
2025:06:20:15:16:173,13.427,93.360,11.782,0.945,-0.318,-0.072,-133.364,-2.950,0.310,道床,-137.069,-1.701,0.591,车中车内底板.001,-131.485,-3.583,0.167,隧道,
2025:06:20:15:16:196,13.401,94.695,11.530,0.937,-0.334,-0.099,-133.869,-2.950,0.161,道床,-137.372,-1.701,0.532,车中车内底板.001,-132.052,-3.598,-0.032,隧道,
2025:06:20:15:16:228,13.244,96.949,11.024,0.926,-0.349,-0.144,-134.343,-2.950,-0.202,道床,-137.657,-1.701,0.313,车中车内底板.001,-132.735,-3.556,-0.452,隧道,
2025:06:20:15:16:250,13.281,100.864,10.838,0.910,-0.359,-0.208,-134.728,-2.950,-0.717,道床,-137.889,-1.701,0.006,车中车内底板.001,-139.190,-1.188,0.304,3,
2025:06:20:15:16:273,13.337,101.207,10.443,0.891,-0.394,-0.225,-135.555,-2.950,-0.674,道床,-138.378,-1.701,0.040,车中车内底板.001,-139.215,-1.331,0.251,3,
2025:06:20:15:16:296,13.711,104.514,10.256,0.877,-0.390,-0.280,-135.617,-2.950,-1.130,道床,-138.423,-1.701,-0.234,车中车内底板.001,-134.791,-3.317,-1.394,隧道,
2025:06:20:15:16:316,14.319,107.503,9.879,0.856,-0.399,-0.328,-135.927,-2.950,-1.441,道床,-138.605,-1.701,-0.416,车中车内底板.001,-135.417,-3.188,-1.636,隧道,
2025:06:20:15:16:339,15.059,107.670,9.583,0.849,-0.411,-0.332,-136.175,-2.950,-1.422,道床,-138.758,-1.701,-0.414,车中车内底板.001,-135.666,-3.196,-1.621,隧道,
2025:06:20:15:16:360,16.187,107.696,9.216,0.840,-0.428,-0.334,-136.494,-2.950,-1.315,道床,-138.943,-1.701,-0.340,车中车内底板.001,-135.927,-3.239,-1.540,隧道,
2025:06:20:15:16:382,17.318,106.974,8.989,0.835,-0.446,-0.321,-136.772,-2.950,-1.142,道床,-139.108,-1.701,-0.244,车中车内底板.001,-136.094,-3.312,-1.403,隧道,
2025:06:20:15:16:404,19.063,106.220,8.374,0.827,-0.479,-0.293,-137.212,-2.950,-0.816,道床,-139.367,-1.701,-0.054,车中车内底板.001,-136.416,-3.411,-1.097,隧道,
2025:06:20:15:16:426,19.932,105.864,7.802,0.824,-0.507,-0.253,-137.517,-2.950,-0.477,道床,-139.545,-1.701,0.145,车中车内底板.001,-136.602,-3.514,-0.758,隧道,
2025:06:20:15:16:448,21.192,105.357,6.782,0.817,-0.529,-0.231,-137.754,-2.950,-0.292,道床,-139.682,-1.701,0.254,车中车内底板.001,-136.833,-3.546,-0.552,隧道,
2025:06:20:15:16:471,21.661,105.059,5.867,0.818,-0.535,-0.212,-137.799,-2.950,-0.170,道床,-139.708,-1.701,0.326,车中车内底板.001,-136.866,-3.560,-0.412,隧道,
2025:06:20:15:16:493,21.663,104.872,5.172,0.821,-0.533,-0.208,-137.762,-2.950,-0.148,道床,-139.686,-1.701,0.339,车中车内底板.001,-136.819,-3.562,-0.387,隧道,
2025:06:20:15:16:515,21.499,104.754,4.550,0.826,-0.523,-0.209,-137.643,-2.950,-0.177,道床,-139.616,-1.701,0.322,车中车内底板.001,-136.680,-3.559,-0.420,隧道,
2025:06:20:15:16:538,21.343,104.774,4.105,0.831,-0.510,-0.222,-137.500,-2.950,-0.281,道床,-139.532,-1.701,0.261,车中车内底板.001,-136.528,-3.547,-0.541,隧道,
2025:06:20:15:16:561,21.327,104.960,3.733,0.832,-0.509,-0.221,-137.478,-2.950,-0.280,道床,-139.519,-1.701,0.261,车中车内底板.001,-136.502,-3.547,-0.539,隧道,
2025:06:20:15:16:585,21.387,105.236,3.431,0.830,-0.505,-0.235,-137.451,-2.950,-0.377,道床,-139.503,-1.701,0.204,车中车内底板.001,-136.487,-3.536,-0.650,隧道,
2025:06:20:15:16:606,21.554,105.475,3.188,0.828,-0.507,-0.239,-137.478,-2.950,-0.398,道床,-139.519,-1.701,0.191,车中车内底板.001,-136.524,-3.534,-0.674,隧道,
2025:06:20:15:16:629,21.953,105.545,2.980,0.825,-0.511,-0.241,-137.542,-2.950,-0.397,道床,-139.557,-1.701,0.192,车中车内底板.001,-136.600,-3.534,-0.673,隧道,
