TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:20:15:14:575,-142.500,-0.491,1.000,0.000,-29.430,0.000,29.430,0.000,0.000,0.000,
2025:06:20:15:15:626,-142.500,-0.985,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:724,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:809,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:849,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:883,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:908,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:932,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:963,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:15:985,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:008,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:030,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:054,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:079,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:108,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:131,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:150,-142.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:173,-142.508,-1.621,1.045,-0.465,0.000,2.686,2.726,0.000,0.000,0.000,
2025:06:20:15:16:196,-142.513,-1.621,1.074,-0.282,0.000,1.736,1.759,0.000,0.000,0.000,
2025:06:20:15:16:228,-142.528,-1.621,1.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:20:15:16:250,-142.553,-1.621,1.040,-0.639,0.000,-1.571,1.696,-6.390,0.000,-15.707,
2025:06:20:15:16:273,-142.553,-1.621,1.093,0.034,0.000,3.174,3.174,-6.390,0.000,-15.707,
2025:06:20:15:16:296,-142.568,-1.621,1.080,-0.900,0.000,-0.738,1.164,-6.390,0.000,-15.707,
2025:06:20:15:16:316,-142.571,-1.621,1.085,-0.474,0.000,-0.284,0.553,-6.390,0.000,-15.707,
2025:06:20:15:16:339,-142.568,-1.621,1.104,0.149,0.000,1.173,1.183,-6.390,0.000,-15.707,
2025:06:20:15:16:360,-142.574,-1.621,1.094,-0.350,0.000,-0.585,0.682,2.893,0.000,9.855,
2025:06:20:15:16:382,-142.588,-1.621,1.069,-0.574,0.000,-0.639,0.859,2.893,0.000,9.855,
2025:06:20:15:16:404,-142.580,-1.621,1.074,0.454,0.000,0.329,0.561,2.893,0.000,9.855,
