TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:43:01:336,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:43:02:498,0.000,160.000,0.000,0.395,0.051,-0.917,-40.662,1.438,-3.293,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:43:02:590,8.778,226.529,359.913,-0.700,-0.093,-0.708,-47.004,-0.504,-3.550,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:43:02:650,8.853,222.833,359.309,-0.716,-0.087,-0.692,-44.952,-0.206,-1.382,车中车厢内部窗户皮,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:711,8.731,219.939,358.596,-0.699,-0.082,-0.711,-46.965,-0.432,-3.557,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:762,8.623,217.514,358.207,-0.675,-0.077,-0.733,-46.683,-0.388,-3.562,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:788,8.511,215.890,358.062,-0.663,-0.074,-0.745,-46.544,-0.363,-3.564,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:811,8.470,215.848,357.992,-0.668,-0.072,-0.740,-46.597,-0.356,-3.565,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:834,8.349,215.913,358.001,-0.679,-0.068,-0.731,-46.721,-0.336,-3.567,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:855,8.308,216.047,358.052,-0.685,-0.060,-0.726,-46.782,-0.292,-3.571,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:879,8.276,216.178,358.080,-0.695,-0.044,-0.718,-46.908,-0.192,-3.581,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:899,8.165,216.357,358.108,-0.701,-0.034,-0.712,-46.988,-0.132,-3.587,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:920,8.060,216.602,358.142,-0.707,-0.025,-0.707,-47.064,-0.082,-3.592,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:943,7.988,216.968,358.213,-0.715,-0.017,-0.699,-47.166,-0.030,-3.597,隧道,-47.197,-0.478,-3.553,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:964,7.946,217.375,358.372,-0.720,-0.014,-0.694,-47.240,-0.011,-3.599,隧道,-44.951,0.033,-1.393,车中部车厢窗户外皮,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:02:987,7.895,217.829,358.519,-0.729,-0.007,-0.684,-44.986,0.057,-1.364,车中车厢内部窗户皮,-47.367,0.035,-3.597,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:009,7.864,218.334,358.665,-0.737,-0.005,-0.676,-45.038,0.063,-1.363,车中车厢内部窗户皮,-47.469,0.048,-3.595,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:031,7.921,218.749,358.904,-0.741,-0.005,-0.671,-45.074,0.063,-1.363,车中车厢内部窗户皮,-47.539,0.048,-3.595,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:054,7.913,219.258,359.236,-0.748,-0.001,-0.663,-45.128,0.077,-1.362,车中车厢内部窗户皮,-47.644,0.075,-3.593,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:075,7.865,219.680,359.510,-0.753,0.000,-0.658,-45.164,0.079,-1.362,车中车厢内部窗户皮,-47.715,0.080,-3.592,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:099,7.785,220.130,359.709,-0.735,-0.007,-0.678,-45.033,0.054,-1.364,车中车厢内部窗户皮,-47.453,0.030,-3.597,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:120,7.761,220.483,359.723,-0.692,-0.007,-0.722,-46.889,0.033,-3.597,隧道,-47.486,0.035,-3.597,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:143,7.803,220.633,359.654,-0.646,-0.008,-0.764,-46.387,0.032,-3.597,隧道,-47.486,0.035,-3.597,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:166,7.893,220.217,359.706,-0.637,-0.010,-0.771,-46.303,0.023,-3.598,隧道,-47.486,0.035,-3.597,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:185,8.041,219.928,359.845,-0.628,-0.013,-0.778,-46.220,0.003,-3.600,隧道,-47.486,0.035,-3.597,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
2025:06:14:43:03:209,8.310,219.424,359.889,-0.619,-0.019,-0.785,-46.131,-0.028,-3.597,隧道,-47.486,0.035,-3.597,隧道,-44.954,-0.206,-1.384,车中部车厢窗户外皮,
