TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:28:44:069,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:28:45:297,0.000,160.000,0.000,0.318,-0.050,-0.947,-41.003,0.982,-3.446,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:28:45:387,353.153,154.437,359.216,0.404,0.069,-0.912,-41.457,0.246,-1.343,车中车厢内部上部条纹,-40.476,0.413,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:447,353.306,153.971,359.223,0.412,0.067,-0.909,-41.433,0.241,-1.344,车中车厢内部上部条纹,-40.429,0.404,-3.560,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:504,353.221,153.856,359.048,0.415,0.069,-0.907,-41.425,0.246,-1.343,车中车厢内部上部条纹,-40.412,0.414,-3.559,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:551,352.926,153.938,358.616,0.414,0.074,-0.907,-41.427,0.258,-1.341,车中车厢内部上部条纹,-40.417,0.439,-3.557,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:571,352.903,154.068,358.499,0.412,0.080,-0.908,-41.435,0.272,-1.339,车中车厢内部上部条纹,-40.431,0.466,-3.554,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:592,352.937,154.212,358.419,0.409,0.088,-0.908,-41.445,0.292,-1.336,车中车厢内部上部条纹,-40.448,0.506,-3.550,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:615,352.940,154.416,358.300,0.406,0.100,-0.909,-41.455,0.320,-1.330,车中车厢内部上部条纹,-40.466,0.563,-3.545,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:636,352.954,154.583,358.234,0.402,0.103,-0.910,-41.466,0.327,-1.328,车中车厢内部上部条纹,-40.488,0.578,-3.543,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:659,352.976,154.734,358.130,0.400,0.108,-0.910,-41.474,0.338,-1.326,车中车厢内部上部条纹,-40.501,0.600,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:682,353.018,154.897,358.002,0.398,0.108,-0.911,-41.480,0.339,-1.326,车中车厢内部上部条纹,-40.513,0.602,-3.541,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:704,353.035,155.050,357.872,0.397,0.109,-0.911,-41.483,0.341,-1.325,车中车厢内部上部条纹,-40.518,0.607,-3.540,隧道,0.000,0.000,0.000,Null,
2025:06:10:28:45:724,353.045,155.189,357.774,0.395,0.110,-0.912,-41.489,0.343,-1.325,车中车厢内部上部条纹,-40.530,0.611,-3.540,隧道,0.000,0.000,0.000,Null,
