TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:10:28:44:069,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:10:28:45:297,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:387,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:447,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:504,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:551,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:571,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:592,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:615,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:636,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:659,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:682,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:704,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:724,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:747,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:770,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:792,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:814,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:837,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:859,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:880,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:903,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:925,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:948,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:970,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:45:991,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:013,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:035,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:057,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:078,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:101,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:122,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:146,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:169,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:190,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:211,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:235,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:257,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:279,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:301,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:323,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:346,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:368,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:389,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:413,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:435,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:457,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:479,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:502,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:524,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:546,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:569,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:595,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:617,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:639,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:660,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:682,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:705,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:727,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:750,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:772,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:793,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:817,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:28:46:839,-42.505,-1.621,0.998,-0.134,0.000,-0.044,0.141,0.000,0.000,0.000,
2025:06:10:28:46:860,-42.509,-1.621,0.997,-0.247,0.000,-0.074,0.258,-1.339,0.000,-0.441,
2025:06:10:28:46:882,-42.511,-1.621,0.996,-0.150,0.000,-0.041,0.156,-1.339,0.000,-0.441,
2025:06:10:28:46:905,-42.519,-1.621,0.995,-0.209,0.000,-0.046,0.214,-1.339,0.000,-0.441,
2025:06:10:28:46:927,-42.526,-1.621,0.993,-0.423,0.000,-0.082,0.431,-1.339,0.000,-0.441,
2025:06:10:28:46:949,-42.529,-1.621,0.993,-0.216,0.000,-0.037,0.219,-1.339,0.000,-0.441,
2025:06:10:28:46:972,-42.541,-1.621,0.991,-0.240,0.000,-0.032,0.242,-3.076,0.000,-0.225,
2025:06:10:28:46:993,-42.549,-1.621,0.990,-0.479,0.000,-0.057,0.483,-3.076,0.000,-0.225,
2025:06:10:28:47:017,-42.553,-1.621,0.990,-0.236,0.000,-0.025,0.237,-3.076,0.000,-0.225,
2025:06:10:28:47:048,-42.564,-1.621,0.988,-0.174,0.000,-0.018,0.175,-3.076,0.000,-0.225,
2025:06:10:28:47:070,-42.577,-1.621,0.987,-0.257,0.000,-0.025,0.259,-3.076,0.000,-0.225,
2025:06:10:28:47:091,-42.585,-1.621,0.986,-0.491,0.000,-0.049,0.494,1.840,0.000,0.417,
2025:06:10:28:47:115,-42.589,-1.621,0.986,-0.241,0.000,-0.025,0.242,1.840,0.000,0.417,
2025:06:10:28:47:136,-42.602,-1.621,0.985,-0.252,0.000,-0.028,0.253,1.840,0.000,0.417,
2025:06:10:28:47:159,-42.611,-1.621,0.984,-0.515,0.000,-0.059,0.519,1.840,0.000,0.417,
2025:06:10:28:47:180,-42.615,-1.621,0.983,-0.255,0.000,-0.031,0.257,1.840,0.000,0.417,
2025:06:10:28:47:202,-42.628,-1.621,0.981,-0.245,0.000,-0.034,0.248,0.023,0.000,-0.063,
