TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:27:15:177,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:16:350,0.000,160.000,0.000,0.181,-0.115,-0.977,-41.634,0.592,-3.542,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:27:16:486,15.780,156.082,6.256,0.421,-0.353,-0.835,-41.343,-0.842,-1.312,车中车厢座椅,-41.843,-0.422,-0.320,20,-40.398,-1.636,-3.188,隧道,
2025:06:10:27:16:548,26.276,154.385,6.014,0.404,-0.540,-0.739,-41.102,-1.701,-1.572,车中车内底板.001,-41.171,-1.609,-1.445,车中车厢内部下部条纹,-41.381,-1.328,-1.061,车中车厢座椅,
2025:06:10:27:16:603,28.572,153.169,6.201,0.365,-0.599,-0.713,-41.347,-1.701,-1.254,车中车内底板.001,-41.562,-1.348,-0.833,车中车厢座椅,-41.862,-0.856,-0.246,20,
2025:06:10:27:16:652,30.621,151.862,6.288,0.434,-0.660,-0.613,-40.438,-2.950,-1.941,道床,-41.259,-1.701,-0.783,车中车内底板.001,-40.405,-3.000,-1.987,隧道,
2025:06:10:27:16:679,32.786,150.256,6.024,0.432,-0.705,-0.563,-40.568,-2.950,-1.549,道床,-41.334,-1.701,-0.552,车中车内底板.001,-40.446,-3.149,-1.708,隧道,
2025:06:10:27:16:702,33.020,149.745,5.642,0.417,-0.728,-0.544,-40.688,-2.950,-1.391,道床,-41.404,-1.701,-0.459,车中车内底板.001,-40.537,-3.214,-1.588,隧道,
2025:06:10:27:16:726,33.054,149.201,5.438,0.413,-0.738,-0.534,-40.730,-2.950,-1.320,道床,-41.428,-1.701,-0.417,车中车内底板.001,-40.566,-3.243,-1.532,隧道,
2025:06:10:27:16:746,33.236,148.579,5.100,0.410,-0.749,-0.521,-40.762,-2.950,-1.236,道床,-41.446,-1.701,-0.367,车中车内底板.001,-40.581,-3.279,-1.465,隧道,
2025:06:10:27:16:771,33.345,147.989,4.853,0.400,-0.765,-0.505,-40.836,-2.950,-1.127,道床,-41.489,-1.701,-0.303,车中车内底板.001,-40.638,-3.327,-1.376,隧道,
2025:06:10:27:16:794,33.370,147.452,4.636,0.395,-0.774,-0.495,-40.875,-2.950,-1.062,道床,-41.512,-1.701,-0.264,车中车内底板.001,-40.674,-3.345,-1.315,隧道,
2025:06:10:27:16:815,33.277,147.094,4.460,0.381,-0.785,-0.489,-40.950,-2.950,-1.011,道床,-41.555,-1.701,-0.234,车中车内底板.001,-40.751,-3.360,-1.266,隧道,
2025:06:10:27:16:838,33.160,146.626,4.258,0.392,-0.789,-0.474,-40.913,-2.950,-0.944,道床,-41.533,-1.701,-0.194,车中车内底板.001,-40.700,-3.379,-1.202,隧道,
2025:06:10:27:16:858,33.061,146.399,4.203,0.408,-0.792,-0.454,-40.858,-2.950,-0.861,道床,-41.501,-1.701,-0.145,车中车内底板.001,-40.624,-3.404,-1.121,隧道,
2025:06:10:27:16:880,33.036,146.123,4.171,0.400,-0.802,-0.444,-40.904,-2.950,-0.803,道床,-41.528,-1.701,-0.111,车中车内底板.001,-40.669,-3.421,-1.064,隧道,
2025:06:10:27:16:903,32.897,145.877,4.222,0.397,-0.805,-0.441,-40.920,-2.950,-0.785,道床,-41.537,-1.701,-0.101,车中车内底板.001,-40.685,-3.426,-1.047,隧道,
2025:06:10:27:16:924,32.538,145.590,4.071,0.400,-0.806,-0.436,-40.913,-2.950,-0.762,道床,-41.533,-1.701,-0.087,车中车内底板.001,-40.674,-3.433,-1.024,隧道,
2025:06:10:27:16:948,31.785,145.204,3.931,0.408,-0.800,-0.440,-40.868,-2.950,-0.790,道床,-41.506,-1.701,-0.103,车中车内底板.001,-40.626,-3.425,-1.052,隧道,
2025:06:10:27:16:970,30.670,144.791,3.654,0.419,-0.791,-0.446,-40.810,-2.950,-0.832,道床,-41.471,-1.701,-0.127,车中车内底板.001,-40.566,-3.412,-1.093,隧道,
2025:06:10:27:16:990,29.266,144.377,3.389,0.446,-0.765,-0.464,-40.649,-2.950,-0.960,道床,-41.376,-1.701,-0.202,车中车内底板.001,-41.508,-1.475,-0.065,44,
2025:06:10:27:17:015,27.575,143.909,2.933,0.464,-0.664,-0.586,-40.297,-2.950,-1.792,道床,-41.169,-1.701,-0.691,车中车内底板.001,-41.576,-1.119,-0.177,44,
2025:06:10:27:17:038,25.728,143.372,2.499,0.550,-0.468,-0.692,-40.318,-1.701,-1.757,车中车内底板.001,-40.566,-1.491,-1.444,车中车厢内部下部条纹,-40.757,-1.328,-1.204,车中车厢座椅,
2025:06:10:27:17:059,24.146,142.866,2.380,0.552,-0.433,-0.713,-40.203,-1.650,-1.969,planty,-40.203,-1.650,-1.969,应急疏散平台,-40.610,-1.331,-1.443,车中车厢内部下部条纹,
