TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:10:27:15:177,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:10:27:16:350,-42.500,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:486,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:548,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:603,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:652,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:679,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:702,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:726,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:746,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:771,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:794,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:815,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:838,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:858,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:880,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:903,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:924,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:948,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:970,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:16:990,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:015,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:038,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:059,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:082,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:102,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:125,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:149,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:169,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:192,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:214,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:237,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:259,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:281,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:304,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:326,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:349,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:371,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:392,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:413,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:437,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:457,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:482,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:17:504,-42.466,-1.621,1.065,1.179,0.000,2.096,2.404,0.000,0.000,0.000,
2025:06:10:27:17:524,-42.458,-1.621,1.100,0.471,0.000,2.125,2.177,0.000,0.000,0.000,
2025:06:10:27:17:547,-42.452,-1.621,1.080,0.382,0.000,-1.202,1.261,3.825,0.000,-12.020,
2025:06:10:27:17:570,-42.436,-1.621,1.115,0.048,0.000,0.829,0.830,3.825,0.000,-12.020,
2025:06:10:27:17:591,-42.463,-1.621,1.089,-1.601,0.000,-1.566,2.239,3.825,0.000,-12.020,
2025:06:10:27:17:615,-42.474,-1.621,1.073,-0.673,0.000,-0.926,1.145,3.825,0.000,-12.020,
2025:06:10:27:17:634,-42.507,-1.621,1.046,-1.952,0.000,-1.623,2.539,3.825,0.000,-12.020,
2025:06:10:27:17:657,-42.496,-1.621,1.052,0.292,0.000,0.101,0.309,-0.130,0.000,14.470,
2025:06:10:27:17:678,-42.520,-1.621,1.037,-1.436,0.000,-0.901,1.695,-0.130,0.000,14.470,
2025:06:10:27:17:701,-42.533,-1.621,1.022,-0.797,0.000,-0.867,1.177,-0.130,0.000,14.470,
2025:06:10:27:17:725,-42.522,-1.621,1.017,0.677,0.000,-0.040,0.678,-0.130,0.000,14.470,
2025:06:10:27:17:746,-42.522,-1.621,1.012,0.003,0.000,-0.293,0.293,-0.130,0.000,14.470,
2025:06:10:27:17:767,-42.517,-1.621,1.014,0.286,0.000,0.117,0.309,-0.833,0.000,-1.283,
2025:06:10:27:17:790,-42.546,-1.621,1.009,-0.862,0.000,0.458,0.976,-0.833,0.000,-1.283,
2025:06:10:27:17:812,-42.524,-1.621,0.995,1.323,0.000,-0.856,1.576,-0.833,0.000,-1.283,
2025:06:10:27:17:848,-42.523,-1.621,0.994,0.000,0.000,0.000,0.000,-0.833,0.000,-1.283,
2025:06:10:27:17:872,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.444,0.000,-1.616,
2025:06:10:27:17:892,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.444,0.000,-1.616,
2025:06:10:27:17:914,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.444,0.000,-1.616,
2025:06:10:27:17:935,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.444,0.000,-1.616,
2025:06:10:27:17:956,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.444,0.000,-1.616,
2025:06:10:27:17:977,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.417,0.000,0.449,
2025:06:10:27:17:999,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.417,0.000,0.449,
2025:06:10:27:18:020,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.417,0.000,0.449,
2025:06:10:27:18:045,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.417,0.000,0.449,
2025:06:10:27:18:067,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,-1.417,0.000,0.449,
2025:06:10:27:18:091,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:112,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:134,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:157,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:179,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:202,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:223,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:245,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:268,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:289,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:311,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:333,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:357,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:378,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:401,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:423,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:445,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:467,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:491,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:512,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:534,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:556,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:579,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:601,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:622,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:642,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:663,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:685,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:706,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:727,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:750,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:771,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:794,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:816,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:863,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:887,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:909,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:925,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:952,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:974,-42.521,-1.621,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:10:27:18:994,-42.521,-1.621,0.991,-0.023,0.000,-0.171,0.173,0.000,0.000,0.000,
2025:06:10:27:19:015,-42.521,-1.621,0.988,-0.024,0.000,-0.166,0.168,0.000,0.000,0.000,
2025:06:10:27:19:037,-42.523,-1.621,0.980,-0.026,0.000,-0.149,0.151,-0.238,0.000,-1.663,
2025:06:10:27:19:060,-42.524,-1.621,0.973,-0.089,0.000,-0.401,0.410,-0.238,0.000,-1.663,
2025:06:10:27:19:082,-42.525,-1.621,0.970,-0.051,0.000,-0.209,0.215,-0.238,0.000,-1.663,
2025:06:10:27:19:104,-42.528,-1.621,0.958,-0.055,0.000,-0.229,0.236,-0.238,0.000,-1.663,
2025:06:10:27:19:126,-42.530,-1.621,0.950,-0.122,0.000,-0.515,0.529,-0.238,0.000,-1.663,
2025:06:10:27:19:148,-42.531,-1.621,0.945,-0.068,0.000,-0.286,0.294,-0.986,0.000,-3.482,
2025:06:10:27:19:170,-42.536,-1.621,0.914,-0.139,0.000,-0.565,0.581,-0.986,0.000,-3.482,
2025:06:10:27:19:193,-42.542,-1.621,0.892,-0.342,0.000,-1.370,1.412,-0.986,0.000,-3.482,
2025:06:10:27:19:216,-42.544,-1.621,0.881,-0.157,0.000,-0.629,0.648,-0.986,0.000,-3.482,
2025:06:10:27:19:240,-42.553,-1.621,0.847,-0.180,0.000,-0.693,0.716,-0.986,0.000,-3.482,
