TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:10:17:609,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:10:18:816,0.000,180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:10:18:935,347.833,13.869,358.138,0.223,0.097,0.970,-41.908,0.321,3.568,隧道,-42.422,0.097,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:18:993,347.561,13.994,358.008,0.225,0.102,0.969,-41.901,0.333,3.567,隧道,-42.421,0.098,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:042,347.481,14.070,357.924,0.225,0.104,0.969,-41.900,0.338,3.567,隧道,-42.421,0.098,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:082,347.166,14.014,357.867,0.224,0.110,0.968,-41.904,0.353,3.565,隧道,-42.421,0.099,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:103,347.099,13.932,357.877,0.223,0.111,0.969,-41.908,0.356,3.565,隧道,-42.422,0.100,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:126,347.021,13.829,357.965,0.221,0.113,0.969,-41.912,0.360,3.565,隧道,-42.422,0.100,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:138,346.996,13.779,358.024,0.221,0.113,0.969,-41.914,0.361,3.564,隧道,-42.423,0.100,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:170,346.875,13.644,358.110,0.235,0.115,0.965,-41.876,0.365,3.564,隧道,-42.420,0.100,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:194,346.795,13.558,358.153,0.271,0.115,0.956,-41.778,0.369,3.564,隧道,-42.413,0.101,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:215,346.722,13.460,358.214,0.357,0.113,0.927,-41.533,0.374,3.563,隧道,-42.395,0.101,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:237,346.617,13.383,358.244,0.356,0.135,0.925,-41.535,0.430,3.558,隧道,-42.395,0.105,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:260,346.554,13.321,358.318,0.356,0.157,0.921,-41.537,0.489,3.552,隧道,-42.395,0.110,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:281,346.484,13.306,358.408,0.355,0.169,0.919,-41.537,0.521,3.549,隧道,-42.395,0.112,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:303,346.307,13.319,358.412,0.373,0.173,0.912,-41.483,0.535,3.547,隧道,-42.391,0.113,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:326,346.156,13.307,358.421,0.359,0.177,0.917,-41.526,0.541,3.547,隧道,-42.394,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:348,346.067,13.267,358.479,0.350,0.179,0.920,-41.552,0.545,3.546,隧道,-42.396,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:371,345.968,13.197,358.541,0.337,0.181,0.924,-41.592,0.549,3.546,隧道,-42.399,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:392,345.918,12.997,358.620,0.333,0.182,0.925,-41.601,0.551,3.546,隧道,-42.401,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:414,345.893,12.678,358.739,0.325,0.183,0.928,-41.626,0.552,3.546,隧道,-42.403,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:437,345.885,12.383,358.782,0.314,0.183,0.932,-41.660,0.551,3.546,隧道,-42.407,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:459,345.850,12.049,358.861,0.306,0.184,0.934,-41.682,0.552,3.546,隧道,-42.409,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:482,345.861,11.589,359.030,0.297,0.185,0.937,-41.711,0.551,3.546,隧道,-42.413,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:503,345.874,11.105,359.131,0.288,0.185,0.940,-41.737,0.550,3.546,隧道,-42.416,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:526,345.948,10.709,359.159,0.281,0.183,0.942,-41.757,0.546,3.546,隧道,-42.418,0.114,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:548,346.033,10.382,359.175,0.275,0.182,0.944,-41.774,0.541,3.547,隧道,-42.420,0.113,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:570,346.127,10.196,359.150,0.273,0.180,0.945,-41.780,0.537,3.547,隧道,-42.421,0.113,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:593,346.213,10.216,359.092,0.274,0.179,0.945,-41.777,0.533,3.548,隧道,-42.421,0.113,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:614,346.317,10.327,359.023,0.278,0.177,0.944,-41.767,0.528,3.548,隧道,-42.420,0.112,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:637,346.474,10.482,359.119,0.282,0.174,0.943,-41.755,0.522,3.549,隧道,-42.419,0.112,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:659,346.528,10.647,359.222,0.286,0.174,0.942,-41.743,0.521,3.549,隧道,-42.417,0.112,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:11:10:19:681,346.486,10.752,359.290,0.289,0.178,0.941,-41.734,0.532,3.548,隧道,-42.416,0.113,1.328,车中车厢左车门4-1,0.000,0.000,0.000,Null,
