TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:17:52:920,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:17:54:098,0.000,160.000,0.000,0.673,0.055,-0.738,-38.702,1.516,-3.252,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:17:54:198,357.768,185.129,0.185,0.248,0.100,-0.964,-41.382,0.533,-3.547,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:17:54:276,357.779,185.028,0.121,0.107,0.121,-0.987,-42.037,0.618,-3.539,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:17:54:326,357.759,185.035,0.132,0.060,0.140,-0.988,-42.383,0.384,-1.314,车中车厢内部上部条纹,-42.249,0.697,-3.531,隧道,0.000,0.000,0.000,Null,
2025:06:09:17:54:381,357.712,185.032,0.134,0.023,0.149,-0.989,-42.462,0.404,-1.307,车中车厢内部上部条纹,-42.410,0.738,-3.520,隧道,0.000,0.000,0.000,Null,
2025:06:09:17:54:401,357.692,185.023,0.128,0.020,0.151,-0.988,-42.470,0.408,-1.306,车中车厢内部上部条纹,-42.426,0.745,-3.518,隧道,0.000,0.000,0.000,Null,
2025:06:09:17:54:422,357.651,185.009,0.122,-0.001,0.156,-0.988,-42.517,0.767,-3.511,隧道,-42.515,0.418,-1.303,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:445,357.630,184.998,0.112,-0.025,0.157,-0.987,-42.624,0.774,-3.509,隧道,-42.568,0.422,-1.302,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:465,357.586,185.003,0.106,-0.059,0.160,-0.985,-42.774,0.784,-3.506,隧道,-42.642,0.427,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:488,357.564,185.012,0.111,-0.072,0.160,-0.984,-42.833,0.788,-3.505,隧道,-42.642,0.427,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:512,357.535,185.020,0.121,-0.089,0.160,-0.983,-42.906,0.788,-3.505,隧道,-42.642,0.427,-1.300,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:534,357.517,185.031,0.137,-0.093,0.160,-0.983,-42.924,0.787,-3.505,隧道,-42.716,0.428,-1.302,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:556,357.499,185.035,0.155,-0.100,0.158,-0.982,-42.958,0.778,-3.508,隧道,-42.733,0.424,-1.301,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:577,357.495,185.045,0.172,-0.104,0.157,-0.982,-42.974,0.776,-3.508,隧道,-42.741,0.423,-1.301,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:601,357.486,185.053,0.181,-0.110,0.155,-0.982,-43.002,0.767,-3.511,隧道,-42.755,0.419,-1.303,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:622,357.472,185.045,0.181,-0.112,0.153,-0.982,-43.010,0.760,-3.513,隧道,-42.759,0.415,-1.304,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:644,357.465,185.035,0.184,-0.112,0.153,-0.982,-43.010,0.757,-3.514,隧道,-42.758,0.414,-1.304,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:666,357.442,185.028,0.188,-0.116,0.150,-0.982,-43.031,0.747,-3.517,隧道,-42.769,0.408,-1.306,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:689,357.418,185.017,0.191,-0.127,0.136,-0.982,-43.081,0.687,-3.532,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:711,357.399,185.007,0.200,-0.205,0.088,-0.975,-43.440,0.474,-3.553,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:734,357.387,185.001,0.224,-0.237,0.051,-0.970,-43.594,0.311,-3.569,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:754,357.408,185.005,0.234,-0.251,0.035,-0.967,-43.661,0.240,-3.576,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:776,357.437,184.997,0.260,-0.248,0.034,-0.968,-43.647,0.232,-3.577,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:799,357.456,184.995,0.309,-0.233,0.039,-0.972,-43.574,0.258,-3.575,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:821,357.506,184.988,0.312,-0.229,0.038,-0.973,-43.553,0.250,-3.575,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:844,357.569,184.986,0.285,-0.226,0.035,-0.973,-43.542,0.237,-3.577,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:09:17:54:867,357.665,184.978,0.292,-0.226,0.031,-0.974,-43.539,0.218,-3.579,隧道,-42.793,0.379,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
