TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:44:03:234,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:424,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:528,350.039,159.307,358.312,0.384,0.225,-0.896,-40.625,1.148,-3.396,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:586,350.682,159.182,357.680,0.386,0.218,-0.896,-40.609,1.115,-3.406,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:638,350.713,159.243,357.511,0.385,0.217,-0.897,-40.616,1.109,-3.408,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:694,350.784,159.400,357.339,0.383,0.213,-0.899,-40.629,1.093,-3.412,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:718,350.796,159.429,357.349,0.382,0.212,-0.899,-40.630,1.088,-3.414,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:739,350.823,159.437,357.355,0.395,0.212,-0.894,-40.559,1.093,-3.412,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:760,350.870,159.443,357.361,0.466,0.213,-0.859,-40.135,1.137,-3.399,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:784,350.949,159.446,357.402,0.449,0.213,-0.868,-40.241,1.125,-3.402,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:806,351.033,159.432,357.444,0.414,0.213,-0.885,-40.452,1.107,-3.408,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:828,351.120,159.419,357.477,0.408,0.214,-0.888,-40.487,1.110,-3.407,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:851,351.175,159.390,357.509,0.408,0.216,-0.887,-40.486,1.115,-3.406,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:873,351.243,159.342,357.560,0.406,0.219,-0.887,-40.495,1.129,-3.401,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:894,351.287,159.289,357.628,0.394,0.218,-0.893,-40.566,1.119,-3.404,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:916,351.291,159.212,357.705,0.374,0.217,-0.902,-40.679,1.106,-3.408,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:939,351.347,159.136,357.768,0.350,0.215,-0.912,-40.805,1.085,-3.415,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:961,351.368,159.063,357.797,0.348,0.214,-0.913,-40.815,1.082,-3.416,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:04:985,351.436,158.984,357.840,0.341,0.212,-0.916,-40.855,1.070,-3.419,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:018,351.544,158.909,357.842,0.337,0.210,-0.918,-40.875,1.058,-3.423,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:040,351.661,158.841,357.807,0.332,0.207,-0.920,-40.897,1.045,-3.427,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:062,351.802,158.784,357.820,0.330,0.205,-0.921,-40.908,1.032,-3.431,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:086,351.983,158.718,357.863,0.330,0.202,-0.922,-40.908,1.018,-3.435,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:106,352.171,158.647,357.897,0.329,0.198,-0.923,-40.911,1.002,-3.440,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:127,352.405,158.540,357.946,0.330,0.194,-0.924,-40.905,0.985,-3.445,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:150,352.661,158.403,358.076,0.338,0.143,-0.930,-41.657,0.412,-1.305,车中车厢内部上部条纹,-40.854,0.753,-3.516,隧道,0.000,0.000,0.000,Null,
2025:06:11:44:05:173,352.984,158.107,358.359,0.398,0.110,-0.911,-41.488,0.343,-1.325,车中车厢内部上部条纹,-40.520,0.612,-3.540,隧道,0.000,0.000,0.000,Null,
2025:06:11:44:05:195,353.387,157.595,358.721,0.479,0.085,-0.874,-41.237,0.291,-1.336,车中车厢内部上部条纹,-40.022,0.506,-3.550,隧道,-39.943,0.520,-3.695,隧道,
2025:06:11:44:05:217,353.942,156.918,359.067,0.531,0.055,-0.846,-39.661,0.368,-3.564,隧道,-41.054,0.223,-1.347,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:240,354.566,156.258,359.419,0.549,0.034,-0.835,-39.522,0.260,-3.574,隧道,-40.983,0.169,-1.353,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:263,355.245,155.511,359.857,0.565,0.008,-0.825,-39.389,0.120,-3.588,隧道,-40.915,0.099,-1.360,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:273,355.368,155.126,0.026,0.571,0.001,-0.821,-39.336,0.082,-3.592,隧道,-40.888,0.080,-1.362,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:295,355.941,154.315,0.146,0.591,-0.020,-0.807,-39.167,-0.031,-3.597,隧道,-40.888,0.080,-1.362,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:330,357.294,151.710,0.647,0.624,-0.068,-0.779,-38.876,-0.311,-3.569,隧道,-40.888,0.080,-1.362,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:359,357.960,149.210,0.968,0.649,-0.073,-0.757,-38.623,-0.349,-3.566,隧道,-40.888,0.080,-1.362,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:386,358.645,145.937,1.277,0.697,-0.052,-0.715,-38.078,-0.246,-3.576,隧道,-40.888,0.080,-1.362,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:408,359.143,142.611,1.358,0.735,-0.069,-0.674,-37.563,-0.378,-3.563,隧道,-40.888,0.080,-1.362,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:430,359.355,138.917,1.169,0.871,0.044,-0.488,-38.432,0.280,-1.338,车中车厢内部上部条纹,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:454,359.562,134.630,1.030,0.909,0.087,-0.407,-32.720,1.001,-3.440,隧道,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:476,359.397,131.337,1.139,0.928,0.135,-0.347,-31.490,1.661,-3.174,隧道,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:498,359.359,127.648,1.322,0.942,0.125,-0.310,-30.063,1.709,-3.149,隧道,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:521,359.364,124.292,1.521,0.932,0.140,-0.335,-31.150,1.769,-3.117,隧道,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:543,359.354,120.451,1.725,0.955,0.169,-0.246,-28.721,2.493,-2.589,隧道,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:565,359.258,117.604,1.857,0.956,0.106,-0.275,-28.111,1.654,-3.178,隧道,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:587,359.194,114.415,2.088,0.964,0.057,-0.260,-26.183,1.036,-3.430,隧道,-34.480,0.481,-3.553,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:609,359.151,111.301,2.245,0.967,-0.010,-0.253,-25.045,-0.092,-3.591,隧道,-33.529,-0.008,-1.368,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:632,359.188,108.414,2.294,0.989,0.030,-0.144,-12.140,1.007,-3.439,隧道,-33.529,-0.008,-1.368,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:653,359.284,106.090,2.488,0.996,0.060,-0.071,2.689,2.794,-2.243,隧道,-33.529,-0.008,-1.368,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:675,359.404,104.241,2.650,0.992,0.126,0.030,-18.044,3.161,1.687,隧道,-33.529,-0.008,-1.368,车中车厢内部窗户皮,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:699,359.445,102.464,2.767,0.994,0.104,0.042,-15.283,2.900,2.114,隧道,-20.028,2.886,2.131,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:722,359.584,100.680,2.974,0.998,0.064,0.017,5.269,3.113,1.776,隧道,-20.028,2.886,2.131,隧道,-39.943,0.486,-3.627,隧道,
2025:06:11:44:05:742,359.746,100.239,3.152,0.999,0.033,-0.006,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:44:05:764,359.903,99.404,3.329,0.998,0.009,-0.058,-3.162,0.423,-1.300,车中车厢内部上部条纹,34.950,0.759,-3.514,隧道.002,49.830,0.890,-4.378,Fire3,
2025:06:11:44:05:789,0.091,99.086,3.477,0.998,0.002,-0.068,-7.871,0.132,-1.357,车中车厢内部窗户皮,25.004,0.183,-3.582,隧道.002,35.744,0.596,-3.541,隧道.002,
