TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:58:01:194,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:462,0.000,160.000,0.000,0.337,0.040,-0.941,-40.940,1.291,-3.352,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:547,341.325,128.747,351.295,0.723,0.357,-0.592,-37.912,2.287,-2.758,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:602,338.995,130.244,351.382,0.697,0.395,-0.599,-38.251,2.420,-2.649,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:666,338.263,130.673,351.430,0.693,0.396,-0.602,-38.295,2.416,-2.652,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:715,337.160,131.230,351.230,0.686,0.408,-0.602,-38.378,2.462,-2.615,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:742,336.631,131.350,351.219,0.684,0.417,-0.598,-38.407,2.504,-2.580,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:764,336.171,131.334,351.349,0.682,0.424,-0.595,-38.430,2.539,-2.551,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:787,336.074,131.278,351.281,0.684,0.426,-0.592,-38.416,2.553,-2.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:808,335.855,131.242,351.247,0.686,0.430,-0.587,-38.402,2.578,-2.506,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:831,335.770,131.157,351.230,0.688,0.432,-0.583,-38.384,2.591,-2.490,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:852,335.660,131.005,351.255,0.692,0.434,-0.577,-38.350,2.613,-2.463,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:875,335.631,130.830,351.301,0.695,0.435,-0.572,-38.319,2.626,-2.448,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:897,335.667,130.621,351.401,0.699,0.435,-0.568,-38.276,2.637,-2.435,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:58:02:919,335.760,130.389,351.564,0.702,0.434,-0.565,-38.239,2.639,-2.431,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
