TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:14:58:01:194,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:14:58:02:462,-42.500,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:547,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:602,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:666,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:715,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:742,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:764,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:787,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:808,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:831,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:852,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:875,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:897,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:919,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:940,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:963,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:02:986,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:03:008,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:03:031,-42.537,-1.621,0.971,-2.226,0.000,-1.727,2.817,0.000,0.000,0.000,
2025:06:14:58:03:052,-42.545,-1.621,0.974,-0.470,0.000,0.145,0.492,0.000,0.000,0.000,
2025:06:14:58:03:075,-42.551,-1.621,0.989,-0.387,0.000,0.919,0.997,0.000,0.000,0.000,
2025:06:14:58:03:097,-42.555,-1.621,0.993,-0.143,0.000,0.073,0.161,-0.664,0.000,1.782,
2025:06:14:58:03:120,-42.540,-1.621,0.988,0.893,0.000,-0.288,0.938,-0.664,0.000,1.782,
2025:06:14:58:03:141,-42.544,-1.621,0.975,-0.034,0.000,-0.237,0.239,-0.664,0.000,1.782,
2025:06:14:58:03:164,-42.542,-1.621,0.969,0.095,0.000,-0.355,0.367,-0.664,0.000,1.782,
2025:06:14:58:03:185,-42.544,-1.621,0.965,-0.097,0.000,-0.204,0.226,-0.664,0.000,1.782,
2025:06:14:58:03:210,-42.536,-1.621,0.993,0.081,0.000,0.472,0.479,-0.302,0.000,-3.824,
2025:06:14:58:03:229,-42.534,-1.621,1.003,0.114,0.000,0.612,0.622,-0.302,0.000,-3.824,
2025:06:14:58:03:251,-42.532,-1.621,1.010,0.102,0.000,0.408,0.421,-0.302,0.000,-3.824,
2025:06:14:58:03:276,-42.531,-1.621,1.014,0.041,0.000,0.134,0.140,-0.302,0.000,-3.824,
2025:06:14:58:03:297,-42.530,-1.621,1.017,0.000,0.000,0.000,0.000,-0.302,0.000,-3.824,
2025:06:14:58:03:438,-42.528,-1.621,1.021,0.117,0.000,0.227,0.256,0.966,0.000,2.043,
2025:06:14:58:03:466,-42.528,-1.621,1.021,0.000,0.000,0.000,0.000,0.966,0.000,2.043,
2025:06:14:58:03:493,-42.528,-1.621,1.021,0.000,0.000,0.000,0.000,0.966,0.000,2.043,
2025:06:14:58:03:514,-42.528,-1.621,1.021,0.000,0.000,0.000,0.000,0.966,0.000,2.043,
2025:06:14:58:03:539,-42.528,-1.621,1.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:03:559,-42.528,-1.621,1.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:03:580,-42.528,-1.621,1.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:14:58:03:604,-42.528,-1.621,1.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
